date,PSX UN Equity
2012-04-16,-1.2162
2012-04-17,-1.5048
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.8889
2012-04-21,
2012-04-22,
2012-04-23,-1.7621
2012-04-24,-2.6065
2012-04-25,0.0
2012-04-26,0.5755
2012-04-27,-2.4034
2012-04-28,
2012-04-29,
2012-04-30,-0.1759
2012-05-01,-3.7885
2012-05-02,-2.3199
2012-05-03,-1.9062999999999999
2012-05-04,-3.9184
2012-05-05,
2012-05-06,
2012-05-07,-2.6856999999999998
2012-05-08,2.5554
2012-05-09,7.9402
2012-05-10,-0.0308
2012-05-11,-2.0012
2012-05-12,
2012-05-13,
2012-05-14,-1.6023
2012-05-15,1.1175
2012-05-16,1.3578000000000001
2012-05-17,-2.6168
2012-05-18,0.3839
2012-05-19,
2012-05-20,
2012-05-21,2.5813
2012-05-22,-1.7397
2012-05-23,-0.6955
2012-05-24,-0.8914
2012-05-25,0.5461
2012-05-26,
2012-05-27,
2012-05-28,
2012-05-29,-0.9265
2012-05-30,-1.8380999999999998
2012-05-31,-1.3469
2012-06-01,-0.3663
2012-06-02,
2012-06-03,
2012-06-04,-1.3035
2012-06-05,1.2530000000000001
2012-06-06,5.4515
2012-06-07,0.9515
2012-06-08,0.9111
2012-06-09,
2012-06-10,
2012-06-11,1.4944
2012-06-12,2.7301
2012-06-13,-2.1499
2012-06-14,2.3192
2012-06-15,4.0859
2012-06-16,
2012-06-17,
2012-06-18,-2.9798999999999998
2012-06-19,0.0
2012-06-20,2.3627000000000002
2012-06-21,-3.4045
2012-06-22,2.0311
2012-06-23,
2012-06-24,
2012-06-25,-3.7763
2012-06-26,-0.8823
2012-06-27,-2.1179
2012-06-28,1.317
2012-06-29,2.8784
2012-06-30,
2012-07-01,
2012-07-02,2.2864
2012-07-03,0.7059
2012-07-04,
2012-07-05,-1.285
2012-07-06,-1.2722
2012-07-07,
2012-07-08,
2012-07-09,-0.3596
2012-07-10,-1.7143000000000002
2012-07-11,2.448
2012-07-12,-1.4038
2012-07-13,5.8467
2012-07-14,
2012-07-15,
2012-07-16,3.32
2012-07-17,1.6343
2012-07-18,1.1175
2012-07-19,-3.504
2012-07-20,-0.7865
2012-07-21,
2012-07-22,
2012-07-23,-0.8494
2012-07-24,0.5997
2012-07-25,0.4825
2012-07-26,1.5819
2012-07-27,1.5573000000000001
2012-07-28,
2012-07-29,
2012-07-30,3.0942
2012-07-31,-0.1328
2012-08-01,1.7819
2012-08-02,0.0784
2012-08-03,3.577
2012-08-04,
2012-08-05,
2012-08-06,1.0083
2012-08-07,-0.7487
2012-08-08,0.9555
2012-08-09,0.4234
2012-08-10,-0.7937
2012-08-11,
2012-08-12,
2012-08-13,0.375
2012-08-14,-0.5479
2012-08-15,1.0769
2012-08-16,2.0317
2012-08-17,3.8611
2012-08-18,
2012-08-19,
2012-08-20,0.7014
2012-08-21,-3.5291
2012-08-22,-0.1685
2012-08-23,-0.3616
2012-08-24,0.0726
2012-08-25,
2012-08-26,
2012-08-27,-0.7012
2012-08-28,2.167
2012-08-29,0.0477
2012-08-30,1.191
2012-08-31,-1.1299
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,0.9762
2012-09-05,-1.5798
2012-09-06,4.0249
2012-09-07,1.9346
2012-09-08,
2012-09-09,
2012-09-10,0.6326
2012-09-11,2.3574
2012-09-12,1.5135
2012-09-13,0.7779
2012-09-14,0.193
2012-09-15,
2012-09-16,
2012-09-17,-1.2626
2012-09-18,-1.3437000000000001
2012-09-19,0.1098
2012-09-20,0.4608
2012-09-21,2.2717
2012-09-22,
2012-09-23,
2012-09-24,-0.1709
2012-09-25,-1.626
2012-09-26,-0.9787
2012-09-27,2.1964
2012-09-28,-0.3439
2012-09-29,
2012-09-30,
2012-10-01,0.4097
2012-10-02,-0.3007
2012-10-03,-2.7143
2012-10-04,0.5093
2012-10-05,1.388
2012-10-06,
2012-10-07,
2012-10-08,-0.1956
2012-10-09,0.3484
2012-10-10,-2.0395
2012-10-11,-0.6645
2012-10-12,-1.5247000000000002
2012-10-13,
2012-10-14,
2012-10-15,1.0474
2012-10-16,4.7544
2012-10-17,0.3442
2012-10-18,-2.3365
2012-10-19,-2.0193
2012-10-20,
2012-10-21,
2012-10-22,2.1057
2012-10-23,-1.448
2012-10-24,-0.3117
2012-10-25,0.5583
2012-10-26,5.4852
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,
2012-10-31,-0.7158
2012-11-01,0.4665
2012-11-02,-2.4694
2012-11-03,
2012-11-04,
2012-11-05,3.3543
2012-11-06,4.7739
2012-11-07,-1.1591
2012-11-08,-0.93
2012-11-09,-3.2449
2012-11-10,
2012-11-11,
2012-11-12,-0.1266
2012-11-13,-1.0348
2012-11-14,-2.3474
2012-11-15,-0.9178
2012-11-16,0.9484
2012-11-17,
2012-11-18,
2012-11-19,5.1344
2012-11-20,1.9534
2012-11-21,0.6726
2012-11-22,
2012-11-23,0.8706
2012-11-24,
2012-11-25,
2012-11-26,-0.5219
2012-11-27,1.0089
2012-11-28,1.8777
2012-11-29,1.098
2012-11-30,1.571
2012-12-01,
2012-12-02,
2012-12-03,-1.5467
2012-12-04,0.0
2012-12-05,-1.6874
2012-12-06,0.5524
2012-12-07,2.6879
2012-12-08,
2012-12-09,
2012-12-10,2.3691
2012-12-11,-1.0078
2012-12-12,0.0189
2012-12-13,-1.5834000000000001
2012-12-14,2.4133
2012-12-15,
2012-12-16,
2012-12-17,0.0935
2012-12-18,-0.654
2012-12-19,-1.2601
2012-12-20,-0.1524
2012-12-21,-0.496
2012-12-22,
2012-12-23,
2012-12-24,-0.3643
2012-12-25,
2012-12-26,-1.1738
2012-12-27,0.3894
2012-12-28,-1.9201000000000001
2012-12-29,
2012-12-30,
2012-12-31,5.003
2013-01-01,
2013-01-02,4.0678
2013-01-03,-3.7459
2013-01-04,-0.094
2013-01-05,
2013-01-06,
2013-01-07,-3.3496
2013-01-08,0.4478
2013-01-09,-0.5234
2013-01-10,0.3702
2013-01-11,-1.8054999999999999
2013-01-12,
2013-01-13,
2013-01-14,1.5223
2013-01-15,1.7332
2013-01-16,4.3645
2013-01-17,1.1555
2013-01-18,-0.1451
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,-0.8353
2013-01-23,1.6663999999999999
2013-01-24,1.0807
2013-01-25,1.2295
2013-01-26,
2013-01-27,
2013-01-28,0.4929
2013-01-29,4.8870000000000005
2013-01-30,1.4696
2013-01-31,-0.3127
2013-02-01,3.5991
2013-02-02,
2013-02-03,
2013-02-04,-2.4382
2013-02-05,-0.343
2013-02-06,1.1637
2013-02-07,2.4951
2013-02-08,1.2014
2013-02-09,
2013-02-10,
2013-02-11,0.2499
2013-02-12,0.3895
2013-02-13,-0.4967
2013-02-14,1.1231
2013-02-15,-1.018
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,1.4064
2013-02-20,-3.2736
2013-02-21,-0.5587
2013-02-22,2.9218
2013-02-23,
2013-02-24,
2013-02-25,-4.3207
2013-02-26,-0.1793
2013-02-27,2.8744
2013-02-28,-0.0476
2013-03-01,1.4929999999999999
2013-03-02,
2013-03-03,
2013-03-04,2.7856
2013-03-05,0.137
2013-03-06,0.4257
2013-03-07,-0.2725
2013-03-08,0.2429
2013-03-09,
2013-03-10,
2013-03-11,-0.5149
2013-03-12,0.8068
2013-03-13,-2.5219
2013-03-14,0.6197
2013-03-15,-1.2317
2013-03-16,
