date,AIRC UN Equity
2020-12-17,-1.7315
2020-12-18,-4.8774
2020-12-19,
2020-12-20,
2020-12-21,4.1342
2020-12-22,-0.825
2020-12-23,-0.7018
2020-12-24,-0.6806
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,1.107
2020-12-29,-0.9385
2020-12-30,1.0263
2020-12-31,0.0521
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,-1.0674
2021-01-05,-0.2632
2021-01-06,-0.4485
2021-01-07,-1.6698
2021-01-08,1.159
2021-01-09,
2021-01-10,
2021-01-11,-1.6787
2021-01-12,0.6504
2021-01-13,3.6618
2021-01-14,-0.0519
2021-01-15,0.1299
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,-0.2595
2021-01-20,2.7583
2021-01-21,-0.2532
2021-01-22,-0.4824
2021-01-23,
2021-01-24,
2021-01-25,0.0255
2021-01-26,-0.5356
