date,MDLZ UW Equity
2012-06-28,0.7752
2012-06-29,2.4403
2012-06-30,
2012-07-01,
2012-07-02,0.725
2012-07-03,0.7969
2012-07-04,
2012-07-05,-0.3571
2012-07-06,-0.2304
2012-07-07,
2012-07-08,
2012-07-09,0.1283
2012-07-10,0.9736
2012-07-11,-0.1015
2012-07-12,-0.6604
2012-07-13,1.5341
2012-07-14,
2012-07-15,
2012-07-16,-0.3274
2012-07-17,0.5558
2012-07-18,0.4271
2012-07-19,0.5754
2012-07-20,-0.0995
2012-07-21,
2012-07-22,
2012-07-23,-2.3904
2012-07-24,-0.5867
2012-07-25,-0.3336
2012-07-26,1.4161000000000001
2012-07-27,0.0762
2012-07-28,
2012-07-29,
2012-07-30,0.2029
2012-07-31,0.5316
2012-08-01,-0.8058
2012-08-02,-1.1424
2012-08-03,4.0318
2012-08-04,
2012-08-05,
2012-08-06,0.2222
2012-08-07,0.7143
2012-08-08,0.5136
2012-08-09,-0.073
2012-08-10,-0.3652
2012-08-11,
2012-08-12,
2012-08-13,0.1955
2012-08-14,-0.2439
2012-08-15,-0.489
2012-08-16,0.0
2012-08-17,-0.4914
2012-08-18,
2012-08-19,
2012-08-20,0.6667
2012-08-21,0.8339
2012-08-22,-0.2919
2012-08-23,0.7075
2012-08-24,1.4293
2012-08-25,
2012-08-26,
2012-08-27,-0.3344
2012-08-28,0.3115
2012-08-29,-0.4539
2012-08-30,-0.7679
2012-08-31,0.4353
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,0.7464
2012-09-05,-0.4063
2012-09-06,1.5838999999999999
2012-09-07,-5.4807
2012-09-08,
2012-09-09,
2012-09-10,0.4999
2012-09-11,-1.0943
2012-09-12,-0.4777
2012-09-13,1.3138
2012-09-14,-0.4239
2012-09-15,
2012-09-16,
2012-09-17,0.1503
2012-09-18,1.7631999999999999
2012-09-19,1.0891
2012-09-20,1.8609
2012-09-21,0.1442
2012-09-22,
2012-09-23,
2012-09-24,-0.072
2012-09-25,-0.7447
2012-09-26,-0.1694
2012-09-27,-0.0727
2012-09-28,0.3154
2012-09-29,
2012-09-30,
2012-10-01,2.7811
2012-10-02,0.6943
2012-10-03,-0.6071
2012-10-04,0.8624
2012-10-05,-0.9263
2012-10-06,
2012-10-07,
2012-10-08,-0.9349
2012-10-09,-0.6897
2012-10-10,-0.402
2012-10-11,-0.0367
2012-10-12,-0.0734
2012-10-13,
2012-10-14,
2012-10-15,0.0
2012-10-16,-0.1837
2012-10-17,1.0305
2012-10-18,-0.1457
2012-10-19,-1.4958
2012-10-20,
2012-10-21,
2012-10-22,0.0
2012-10-23,-1.1111
2012-10-24,-0.6367
2012-10-25,-0.2262
2012-10-26,0.4911
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,
2012-10-31,-0.2256
2012-11-01,0.9797
2012-11-02,-1.9403000000000001
2012-11-03,
2012-11-04,
2012-11-05,0.4947
2012-11-06,0.3786
2012-11-07,-1.0185
2012-11-08,-0.4573
2012-11-09,-0.3828
2012-11-10,
2012-11-11,
2012-11-12,-0.1537
2012-11-13,-0.9238
2012-11-14,-2.2922000000000002
2012-11-15,-0.159
2012-11-16,1.7523
2012-11-17,
2012-11-18,
2012-11-19,1.135
2012-11-20,-1.161
2012-11-21,-0.509
2012-11-22,
2012-11-23,0.8264
2012-11-24,
2012-11-25,
2012-11-26,-0.4684
2012-11-27,-0.902
2012-11-28,1.5433
2012-11-29,0.4677
2012-11-30,0.4267
2012-12-01,
2012-12-02,
2012-12-03,-0.8111
2012-12-04,0.1558
2012-12-05,-0.7776
2012-12-06,0.0
2012-12-07,0.2743
2012-12-08,
2012-12-09,
2012-12-10,1.3677000000000001
2012-12-11,0.7325
2012-12-12,-0.3444
2012-12-13,0.2304
2012-12-14,-0.2682
2012-12-15,
2012-12-16,
2012-12-17,0.1153
2012-12-18,-0.7291
2012-12-19,0.2319
2012-12-20,0.5399
2012-12-21,-1.1891
2012-12-22,
2012-12-23,
2012-12-24,-0.3494
2012-12-25,
2012-12-26,-1.0908
2012-12-27,0.3939
2012-12-28,-0.3943
2012-12-29,
2012-12-30,
2012-12-31,0.8314
2013-01-01,
2013-01-02,4.7507
2013-01-03,-0.1499
2013-01-04,0.4129
2013-01-05,
2013-01-06,
2013-01-07,-0.3364
2013-01-08,0.0375
2013-01-09,1.4248
2013-01-10,0.9612
2013-01-11,0.4028
2013-01-12,
2013-01-13,
2013-01-14,0.2188
2013-01-15,0.837
2013-01-16,0.397
2013-01-17,0.8627
2013-01-18,0.0713
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,-1.8519
2013-01-23,0.8345
2013-01-24,0.1439
2013-01-25,-0.1797
2013-01-26,
2013-01-27,
2013-01-28,0.108
2013-01-29,0.0719
2013-01-30,-0.3593
2013-01-31,0.2164
2013-02-01,1.5473
2013-02-02,
2013-02-03,
2013-02-04,-1.2048
2013-02-05,0.2511
2013-02-06,0.1789
2013-02-07,0.1429
2013-02-08,-0.9986
2013-02-09,
2013-02-10,
2013-02-11,-0.036
2013-02-12,-0.2523
2013-02-13,0.2529
2013-02-14,-4.2523
2013-02-15,0.5645
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,0.9731
2013-02-20,0.1853
2013-02-21,-0.7769
2013-02-22,-0.1864
2013-02-23,
2013-02-24,
2013-02-25,-1.0459
2013-02-26,1.7365
2013-02-27,2.3006
2013-02-28,0.2902
2013-03-01,0.5787
2013-03-02,
2013-03-03,
2013-03-04,1.6541000000000001
2013-03-05,0.849
2013-03-06,0.0351
2013-03-07,0.1052
2013-03-08,0.1051
2013-03-09,
2013-03-10,
2013-03-11,-0.5248
2013-03-12,-0.809
2013-03-13,0.9929
2013-03-14,0.2107
2013-03-15,-0.4905
2013-03-16,
2013-03-17,
2013-03-18,-0.3169
2013-03-19,0.106
2013-03-20,1.2349999999999999
2013-03-21,-0.4531
2013-03-22,4.0966
2013-03-23,
2013-03-24,
2013-03-25,0.5045
2013-03-26,1.3387
2013-03-27,0.6605
2013-03-28,0.8567
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,0.2287
2013-04-02,0.3911
2013-04-03,-1.6558000000000002
2013-04-04,-0.066
2013-04-05,-0.7929
2013-04-06,
2013-04-07,
2013-04-08,0.3996
2013-04-09,-0.0663
2013-04-10,0.2987
2013-04-11,0.4302
2013-04-12,0.659
2013-04-13,
2013-04-14,
2013-04-15,-1.1784
2013-04-16,1.4574
2013-04-17,-2.5792
