date,ICE UN Equity
2005-11-18,-0.7092
2005-11-19,
2005-11-20,
2005-11-21,2.5714
2005-11-22,-2.6462
2005-11-23,-2.8612
2005-11-24,
2005-11-25,0.5891
2005-11-26,
2005-11-27,
2005-11-28,-2.489
2005-11-29,-3.9939999999999998
2005-11-30,1.0322
2005-12-01,8.3591
2005-12-02,3.1429
2005-12-03,
2005-12-04,
2005-12-05,1.9668
2005-12-06,-0.6248
2005-12-07,-3.0891
2005-12-08,1.5514999999999999
2005-12-09,0.5556
2005-12-10,
2005-12-11,
2005-12-12,0.6906
2005-12-13,-2.3594
2005-12-14,-1.6578
2005-12-15,-2.8571
2005-12-16,0.5588
2005-12-17,
2005-12-18,
2005-12-19,0.5265
2005-12-20,1.6583999999999999
2005-12-21,-0.4293
2005-12-22,-0.2587
2005-12-23,-1.2968
2005-12-24,
2005-12-25,
2005-12-26,
2005-12-27,2.9196999999999997
2005-12-28,-0.4823
2005-12-29,3.0217
2005-12-30,0.5811
2005-12-31,
2006-01-01,
2006-01-02,
2006-01-03,4.1541
2006-01-04,-2.5357
2006-01-05,6.5312
2006-01-06,2.5693
2006-01-07,
2006-01-08,
2006-01-09,8.1597
2006-01-10,5.5033
2006-01-11,1.9778
2006-01-12,-6.3086
2006-01-13,1.3421
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,4.1077
2006-01-18,-1.2937
2006-01-19,3.6479
2006-01-20,-2.4236
2006-01-21,
2006-01-22,
2006-01-23,3.1749
2006-01-24,10.4878
2006-01-25,0.4168
2006-01-26,-1.0377
2006-01-27,-2.7455
2006-01-28,
2006-01-29,
2006-01-30,-3.7052
2006-01-31,3.4609
2006-02-01,9.4648
2006-02-02,-0.773
2006-02-03,0.5616
2006-02-04,
2006-02-05,
2006-02-06,0.3603
2006-02-07,-4.0567
2006-02-08,0.0561
2006-02-09,-0.9162
2006-02-10,-2.3778
2006-02-11,
2006-02-12,
2006-02-13,1.9524
2006-02-14,-1.441
2006-02-15,0.0
2006-02-16,-0.7888
2006-02-17,-0.4072
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,-3.3489
2006-02-22,-0.8259
2006-02-23,1.361
2006-02-24,9.2184
2006-02-25,
2006-02-26,
2006-02-27,4.3119
2006-02-28,-3.6939
2006-03-01,3.6712
2006-03-02,4.5807
2006-03-03,2.0889
2006-03-04,
2006-03-05,
2006-03-06,1.1716
2006-03-07,-2.1367
2006-03-08,-1.35
2006-03-09,8.1095
2006-03-10,4.9226
2006-03-11,
2006-03-12,
2006-03-13,6.1662
2006-03-14,-3.7318
2006-03-15,0.9764
2006-03-16,-3.608
2006-03-17,1.9614
2006-03-18,
2006-03-19,
2006-03-20,4.5081
2006-03-21,-1.2927
2006-03-22,-3.2171
2006-03-23,-1.3826
2006-03-24,0.2237
2006-03-25,
2006-03-26,
2006-03-27,3.9435000000000002
2006-03-28,-1.7894999999999999
2006-03-29,-1.2391
2006-03-30,5.2694
2006-03-31,-3.1828
2006-04-01,
2006-04-02,
2006-04-03,-8.6169
2006-04-04,3.0111
2006-04-05,-3.3385
2006-04-06,-4.8225
2006-04-07,-11.3712
2006-04-08,
2006-04-09,
2006-04-10,2.9434
2006-04-11,3.7573
2006-04-12,1.8195000000000001
2006-04-13,1.9257
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,-1.4979
2006-04-18,14.3252
2006-04-19,4.7158
2006-04-20,1.0393
2006-04-21,-1.4285999999999999
2006-04-22,
2006-04-23,
2006-04-24,-2.5362
2006-04-25,3.8067
2006-04-26,0.7162
2006-04-27,1.8347
2006-04-28,-0.405
2006-04-29,
2006-04-30,
2006-05-01,-6.1001
2006-05-02,1.1051
2006-05-03,3.6041
2006-05-04,-1.6111
2006-05-05,7.5351
2006-05-06,
2006-05-07,
2006-05-08,6.2525
2006-05-09,-2.0799
2006-05-10,0.7771
2006-05-11,1.7478
2006-05-12,-4.5344999999999995
2006-05-13,
2006-05-14,
2006-05-15,1.0982
2006-05-16,-0.8245
2006-05-17,-7.6273
2006-05-18,-2.9429
2006-05-19,3.0615
2006-05-20,
2006-05-21,
