word,k,lag,score
nasdaq,6,2,0.00018503618932107826
finance,6,2,0.00018519254396058538
metals,6,2,0.00018521038127233344
nasdaq,7,2,0.00018524334837731587
markets,4,1,0.0001852698124281101
food,4,1,0.00018527264158830475
nasdaq,5,2,0.00018528591062668347
world,3,3,0.00018529212612688662
nasdaq,8,2,0.00018530966207889332
kentucky,4,1,0.00018532838724576785
gains,6,2,0.00018534459090089128
food,3,1,0.000185347860571873
banking,5,2,0.00018535085679914789
gains,2,2,0.00018535374120285595
markets,1,2,0.00018536923287201232
invest,3,1,0.00018538245645722775
markets,10,1,0.00018538326385210768
forex,6,2,0.0001853925088642146
markets,2,2,0.00018539875271262783
nasdaq,3,3,0.0001854038032918615
dow_jones,6,2,0.00018540466701926398
banking,6,2,0.0001854069546681882
earths,2,2,0.0001854095241720045
derivatives,2,3,0.00018540966193588773
oil,6,1,0.00018541106275853748
gains,1,2,0.00018541617307696816
nasdaq,4,2,0.0001854198910182851
arts,8,2,0.00018542226827006776
banking,7,1,0.00018542577332587582
markets,2,1,0.00018542853706155683
million,8,1,0.00018542867422045596
ceo,1,1,0.00018542944210198764
world,4,3,0.00018543077012826294
consumption,3,2,0.00018543219031966467
food,8,2,0.00018543516642246155
votes,1,3,0.00018543627950341475
crash,6,2,0.00018543875757123747
seats,5,1,0.00018544015660715865
oil,3,2,0.00018544394479456635
stock,8,1,0.00018544450470255036
crash,7,2,0.00018544847542137518
stock,7,1,0.0001854486082747092
food,2,1,0.00018545567200403462
restaurant,4,3,0.00018545569544515687
million,9,1,0.00018545637249682187
texas,3,2,0.00018545638833087274
cash,1,1,0.00018545826507377212
invest,8,1,0.0001854585853245704
kentucky,3,1,0.00018545935428447452
votes,3,2,0.00018545945957662788
nasdaq,2,3,0.0001854613980129037
ceo,8,1,0.00018546149191358126
bank,6,2,0.00018546250398360616
food,7,2,0.00018546250737841647
markets,8,1,0.00018546283180790853
headlines,3,2,0.00018546369578309522
derivatives,8,1,0.0001854647251485008
stock,9,1,0.00018546476755365506
money,4,1,0.0001854651344349229
DOW_JONES,6,2,0.00018546539865462372
house,5,1,0.00018546728247717325
oil,10,1,0.00018546749758968748
house,4,1,0.00018546762385390493
world,9,1,0.0001854678456902449
nyse,3,3,0.0001854694907212935
inflation,1,1,0.0001854711683704046
banking,9,1,0.00018547131499304617
returns,1,2,0.00018547154749630853
food,5,1,0.00018547177947723435
world,1,3,0.00018547269914859568
ceo,9,1,0.00018547273718965725
consumption,4,3,0.0001854732827324866
fine,5,1,0.0001854749573867114
office,6,2,0.0001854763751872456
money,1,2,0.00018547647344502942
holiday,3,1,0.00018547748391058342
texas,4,2,0.00018547815111314835
house,6,1,0.00018547897380546128
college,4,2,0.0001854790810387927
gains,5,2,0.0001854819047820461
banking,2,3,0.00018548191877855517
chance,10,1,0.000185483042781838
inflation,8,1,0.00018548316555308249
market,1,2,0.0001854840198782542
bonds,10,1,0.00018548483350269994
stocks,7,1,0.00018548518104492945
movement,7,1,0.0001854856643058368
markets,5,1,0.00018548628566892862
religion,8,1,0.00018548632286450906
forex,3,3,0.00018548641374655775
conflict,4,1,0.00018548741969845662
world,10,1,0.00018548771177305745
success,8,2,0.00018548804698497237
markets,9,1,0.00018548838126770668
seats,4,1,0.00018548959891069887
labor,8,2,0.0001854903163789318
washington,6,2,0.00018549036004497288
bonds,7,1,0.00018549077923108936
party,3,3,0.00018549205979302355
firm,6,2,0.0001854924848171961
religion,3,1,0.00018549304463618543
vermont,3,1,0.00018549316980620974
court,6,2,0.00018549321064720742
stock,2,3,0.00018549332348491782
cash,8,1,0.0001854934884131514
returns,2,2,0.00018549352435656745
world,6,2,0.00018549378956508322
movement,8,1,0.00018549379500571432
ceo,2,1,0.0001854938333925732
cancer,8,2,0.00018549434769524482
food,6,2,0.00018549455084498998
food,7,1,0.00018549464231538385
seats,2,2,0.00018549541442703274
carolina,6,2,0.00018549551179497178
conflict,10,1,0.00018549557913204303
unemployment,8,2,0.00018549661946936957
gains,4,1,0.00018549668438793
restaurant,10,1,0.00018549825218000228
nasdaq,2,2,0.00018549840414217275
ltd,6,2,0.00018549863095278132
stock,6,2,0.00018549895186479803
million,2,3,0.000185499063175233
nyse,9,1,0.0001854992573987553
risk,1,1,0.00018549978294563825
markets,1,1,0.00018550043640735604
dow_jones,7,2,0.00018550082445000377
labor,7,2,0.00018550306714075823
crisis,3,2,0.0001855031467770854
unemployment,4,1,0.00018550355147664978
restaurant,2,2,0.00018550373493741312
risk,3,1,0.00018550403902901642
success,2,3,0.00018550418260013883
college,8,2,0.000185504333423992
chance,7,1,0.00018550453282475406
cash,10,1,0.00018550496829697647
conflict,3,1,0.00018550554462639084
kentucky,1,1,0.00018550618925156518
finance,7,2,0.00018550685538488098
votes,2,2,0.0001855068645665614
crisis,5,1,0.0001855072294489322
crash,3,3,0.0001855078055746872
kitchen,7,2,0.00018550782775601652
money,8,1,0.00018550831885053156
dividend,1,1,0.00018550884625110272
case,6,2,0.00018550911328008138
global,8,2,0.0001855094325332611
cash,2,1,0.00018551008878117664
finance,3,3,0.00018551042557392192
cash,7,1,0.00018551062933774853
world,7,2,0.00018551078057003808
governor,2,3,0.00018551090549154538
party,1,2,0.00018551098540470394
ceo,7,1,0.00018551132573481466
consumption,2,3,0.00018551136399163985
kentucky,2,1,0.0001855118033794408
religion,5,1,0.00018551236444466497
votes,4,3,0.00018551269106479538
committee,2,3,0.00018551307183738787
economics,2,1,0.00018551326959196507
profit,3,1,0.0001855140232769779
credit,6,2,0.00018551411180926677
william,8,2,0.0001855141462977318
texas,3,3,0.0001855145860421185
risk,2,1,0.00018551539413997557
transaction,4,2,0.00018551584673020288
holiday,4,1,0.00018551585123269417
stocks,8,1,0.00018551593575794154
growth,1,1,0.0001855159628085689
virginia,6,2,0.00018551703881622227
transaction,1,2,0.00018551720004239276
oil,4,2,0.00018551730317143956
invest,10,1,0.00018551748758559143
unemployment,1,3,0.0001855177207542407
stocks,5,1,0.00018551784092041697
house,1,2,0.00018551807410003188
debt,6,1,0.00018551814540447646
derivatives,10,1,0.00018551836370853618
economics,8,2,0.00018551864908364205
metals,7,2,0.00018551920470854448
returns,4,2,0.00018551969270777513
risk,9,1,0.00018551976680030585
money,5,2,0.00018552013736982813
economic,9,1,0.00018552047190516002
fond,6,1,0.00018552062239818475
religion,7,1,0.00018552077721440042
restaurant,4,2,0.00018552136599471312
law,6,2,0.00018552226399251915
global,2,1,0.00018552313854098103
million,8,2,0.00018552331358492207
culture,8,2,0.00018552334076534288
stock,1,3,0.00018552344279938607
risk,8,1,0.00018552349759724793
hedge,8,1,0.0001855236125258131
million,3,1,0.0001855236357826694
georgia,3,3,0.00018552379548838008
water,3,2,0.00018552427838154618
finance,9,1,0.00018552430985122812
inflation,2,1,0.00018552433616975095
nyse,4,3,0.0001855244638267825
happy,3,3,0.00018552473364542854
loss,8,1,0.000185525058726164
religion,4,1,0.00018552508341303868
crisis,2,3,0.00018552520226858098
forex,1,2,0.0001855255009908626
inflation,3,1,0.00018552586689427414
sell,8,2,0.00018552593649978866
bubble,5,1,0.00018552676681824013
ore,1,1,0.00018552701572902884
bonds,4,3,0.00018552720954958168
ceo,3,1,0.0001855272766471492
elected,2,3,0.0001855274004616736
conflict,1,2,0.00018552773952885138
stocks,1,3,0.00018552872273560185
markets,7,1,0.00018552888959690053
housing,3,3,0.00018552901160027497
votes,2,3,0.0001855290937497599
earths,5,2,0.0001855295380657509
rich,9,1,0.00018552964843861056
returns,3,2,0.00018552990492669318
consumption,2,2,0.00018553000887469367
fed,1,1,0.00018553023005845096
vermont,8,1,0.00018553035166022022
vermont,3,2,0.00018553046569978916
ore,8,1,0.00018553054961141331
oil,5,1,0.00018553072059730567
society,8,2,0.00018553076526563775
color,1,1,0.0001855308651473891
governor,1,1,0.00018553206622540295
economics,1,2,0.00018553237161202856
food,6,1,0.0001855326133332988
energy,6,2,0.00018553290739603426
ltd,8,1,0.00018553299361378307
justice,6,2,0.00018553305447606923
carolina,5,2,0.00018553323643525878
election,15,3,0.00018553335468303635
georgia,6,2,0.00018553349151476534
inflation,6,1,0.00018553376108629093
present,3,1,0.00018553382988190252
risk,3,2,0.0001855339102965103
gold,8,1,0.0001855339349305086
seats,1,1,0.00018553396614385436
million,4,1,0.00018553403907056758
house,3,1,0.00018553412819492058
culture,4,2,0.00018553422138186575
gains,8,1,0.00018553522019759306
movie,6,1,0.00018553536054954158
seats,3,2,0.00018553545847561643
risk,7,1,0.00018553557770270828
loss,6,1,0.00018553562356251487
crisis,4,2,0.00018553572080001865
credit,7,1,0.0001855357613520384
water,3,3,0.0001855359823536347
votes,4,2,0.00018553599466830385
water,1,1,0.00018553660463258465
finance,8,1,0.00018553721050756128
police,8,2,0.00018553741867394425
bonds,9,1,0.00018553745598957568
travel,4,2,0.000185537540635694
restaurant,5,2,0.00018553773387413542
william,3,2,0.00018553785253788571
governor,8,1,0.00018553786810535336
elected,6,2,0.00018553852963293504
government,3,3,0.00018553886783582448
credit,5,2,0.0001855388960532771
nyse,10,1,0.00018553945672220373
global,1,1,0.00018553948412613564
texas,2,3,0.00018553960846051952
economic,8,2,0.0001855397799390037
housing,3,2,0.00018554009657248535
tennessee,4,2,0.00018554013961279045
greed,7,1,0.00018554018196743042
gold,3,1,0.00018554035107083632
global,7,2,0.00018554085919537618
house,2,2,0.0001855411170366922
case,9,1,0.00018554117855583413
religion,6,1,0.0001855415313683581
gains,3,2,0.00018554161695982102
cash,4,1,0.0001855417179257099
rare,5,2,0.00018554172263049885
nyse,7,2,0.00018554176907054266
risk,1,3,0.00018554191696492934
crisis,1,3,0.00018554234967461586
firm,1,2,0.00018554249101601126
stocks,5,2,0.00018554253828897786
elected,10,1,0.00018554315184979558
justice,3,3,0.00018554315385089647
market,4,1,0.00018554324758364833
housing,4,2,0.00018554331294968416
million,7,1,0.00018554336702285908
returns,5,2,0.0001855434503950487
crash,8,2,0.00018554362383658518
corporation,6,1,0.0001855438327058905
members,1,2,0.0001855439185782931
members,2,2,0.00018554399254263758
ltd,9,1,0.0001855441320719852
happy,4,3,0.0001855442265492358
happy,1,2,0.00018554451169691541
marketing,8,2,0.00018554453872448684
gold,5,2,0.00018554457263190836
nasdaq,1,3,0.0001855446074706462
ore,4,1,0.00018554467452620813
success,3,1,0.0001855448247112704
carolina,2,2,0.00018554489225059182
invest,6,1,0.00018554491654850438
headlines,8,2,0.00018554534868647413
conflict,8,2,0.000185545604899127
union,4,3,0.0001855459026684021
georgia,3,2,0.0001855460001183909
william,1,1,0.00018554604445934582
chance,2,1,0.00018554607376193862
tourism,5,2,0.00018554637170290232
conflict,2,1,0.00018554662932458488
consumption,1,2,0.0001855468966950473
transaction,9,1,0.00018554694735524213
arts,3,2,0.00018554696327192002
committee,6,2,0.00018554716042696746
greed,3,1,0.00018554728701304047
technology,8,2,0.0001855476945002066
finance,1,1,0.0001855477540337695
police,4,2,0.00018554796360803567
arts,7,2,0.00018554830989665752
lifestyle,2,3,0.00018554895129102296
inflation,1,3,0.00018554921985550088
governor,9,1,0.0001855492454270145
marketing,7,2,0.0001855493079655005
arts,4,2,0.00018554932353892538
money,2,2,0.00018554942442473073
democratic,4,3,0.0001855494309961412
inc,6,2,0.00018554967950324113
marriage,6,1,0.00018554974413474102
consumption,3,3,0.00018554983999408538
fine,3,2,0.00018555005003855624
