,date,return_direction,prediction
0,2006-01-03,1,0.5640423697389991
1,2006-01-04,1,0.5610080004908428
2,2006-01-05,1,0.5640423697389991
3,2006-01-06,1,0.5640423697389991
4,2006-01-09,1,0.5640423697389991
5,2006-01-10,1,0.5640423697389991
6,2006-01-11,1,0.5640423697389991
7,2006-01-12,0,0.5640423697389991
8,2006-01-13,0,0.5640423697389991
9,2006-01-17,0,0.5640423697389991
10,2006-01-18,1,0.5640423697389991
11,2006-01-19,1,0.5640423697389991
12,2006-01-20,0,0.5640423697389991
13,2006-01-23,1,0.5640423697389991
14,2006-01-24,1,0.5640423697389991
15,2006-01-25,1,0.5640423697389991
16,2006-01-26,1,0.5640423697389991
17,2006-01-27,1,0.5640423697389991
18,2006-01-30,1,0.5640423697389991
19,2006-01-31,0,0.5640423697389991
20,2006-02-01,1,0.5640423697389991
21,2006-02-02,0,0.5640423697389991
22,2006-02-03,0,0.561890656056579
23,2006-02-06,0,0.5640423697389991
24,2006-02-07,0,0.5640423697389991
25,2006-02-08,1,0.5632048913297546
26,2006-02-09,1,0.5640423697389991
27,2006-02-10,1,0.5640423697389991
28,2006-02-13,0,0.5640423697389991
29,2006-02-14,1,0.5640423697389991
30,2006-02-15,1,0.5640423697389991
31,2006-02-16,1,0.5620596868978442
32,2006-02-17,0,0.5614307969813571
33,2006-02-21,0,0.5640423697389991
34,2006-02-22,1,0.5640423697389991
35,2006-02-23,0,0.5640423697389991
36,2006-02-24,0,0.5640423697389991
37,2006-02-27,1,0.5640423697389991
38,2006-02-28,0,0.5640423697389991
39,2006-03-01,1,0.5640423697389991
40,2006-03-02,0,0.5640423697389991
41,2006-03-03,0,0.5640423697389991
42,2006-03-06,0,0.5640423697389991
43,2006-03-07,0,0.5640423697389991
44,2006-03-08,1,0.5640423697389991
45,2006-03-09,0,0.5640423697389991
46,2006-03-10,1,0.5640423697389991
47,2006-03-13,1,0.5640423697389991
48,2006-03-14,1,0.5640423697389991
49,2006-03-15,1,0.5640423697389991
50,2006-03-16,1,0.5640423697389991
51,2006-03-17,1,0.5640423697389991
52,2006-03-20,1,0.5640423697389991
53,2006-03-21,0,0.5640423697389991
54,2006-03-22,1,0.5640423697389991
55,2006-03-23,0,0.5640423697389991
56,2006-03-24,1,0.5640423697389991
57,2006-03-27,1,0.5640423697389991
58,2006-03-28,0,0.5640423697389991
59,2006-03-29,1,0.5640423697389991
60,2006-03-30,0,0.5640423697389991
61,2006-03-31,0,0.5640423697389991
62,2006-04-03,0,0.5640423697389991
63,2006-04-04,1,0.5640423697389991
64,2006-04-05,1,0.5640423697389991
65,2006-04-06,0,0.5640423697389991
66,2006-04-07,0,0.5640423697389991
67,2006-04-10,0,0.5640423697389991
68,2006-04-11,0,0.5640423697389991
69,2006-04-12,1,0.5640423697389991
70,2006-04-13,1,0.5640423697389991
71,2006-04-17,0,0.5640423697389991
72,2006-04-18,1,0.5640423697389991
73,2006-04-19,1,0.5640423697389991
74,2006-04-20,1,0.5640423697389991
75,2006-04-21,0,0.5640423697389991
76,2006-04-24,0,0.5640423697389991
77,2006-04-25,0,0.5640423697389991
78,2006-04-26,1,0.5640423697389991
79,2006-04-27,1,0.5640423697389991
80,2006-04-28,0,0.5580612201508689
81,2006-05-01,0,0.5640423697389991
82,2006-05-02,1,0.5640423697389991
83,2006-05-03,1,0.5640423697389991
84,2006-05-04,1,0.5640423697389991
85,2006-05-05,1,0.5640423697389991
86,2006-05-08,1,0.5640423697389991
87,2006-05-09,1,0.5640423697389991
88,2006-05-10,1,0.5640423697389991
89,2006-05-11,0,0.5640423697389991
90,2006-05-12,0,0.5640423697389991
91,2006-05-15,1,0.5640423697389991
92,2006-05-16,0,0.5640423697389991
93,2006-05-17,0,0.5640423697389991
94,2006-05-18,0,0.5640423697389991
95,2006-05-19,1,0.5640423697389991
96,2006-05-22,0,0.5640423697389991
97,2006-05-23,0,0.5640423697389991
98,2006-05-24,0,0.5640423697389991
99,2006-05-25,1,0.5640423697389991
100,2006-05-26,1,0.560993172354078
101,2006-05-30,0,0.5640423697389991
102,2006-05-31,1,0.5640423697389991
103,2006-06-01,1,0.5640423697389991
104,2006-06-02,0,0.5640423697389991
105,2006-06-05,0,0.5506025467415998
106,2006-06-06,0,0.5640423697389991
107,2006-06-07,0,0.5640423697389991
108,2006-06-08,0,0.5640423697389991
109,2006-06-09,1,0.5640423697389991
110,2006-06-12,0,0.5640423697389991
111,2006-06-13,0,0.5640423697389991
112,2006-06-14,1,0.5640423697389991
113,2006-06-15,1,0.5640423697389991
114,2006-06-16,0,0.5640423697389991
115,2006-06-19,0,0.5640423697389991
116,2006-06-20,0,0.5640423697389991
117,2006-06-21,1,0.5640423697389991
118,2006-06-22,0,0.5640423697389991
119,2006-06-23,0,0.5640423697389991
120,2006-06-26,1,0.5640423697389991
121,2006-06-27,0,0.5640423697389991
122,2006-06-28,0,0.5640423697389991
123,2006-06-29,1,0.5640423697389991
124,2006-06-30,1,0.5640423697389991
125,2006-07-03,0,0.5640423697389991
126,2006-07-05,0,0.5640423697389991
127,2006-07-06,1,0.5640423697389991
128,2006-07-07,0,0.5640423697389991
129,2006-07-10,1,0.5640423697389991
130,2006-07-11,0,0.5640423697389991
131,2006-07-12,0,0.5640423697389991
132,2006-07-13,0,0.5640423697389991
133,2006-07-14,0,0.5640423697389991
134,2006-07-17,1,0.5640423697389991
135,2006-07-18,0,0.5640423697389991
136,2006-07-19,1,0.5640423697389991
137,2006-07-20,0,0.5640423697389991
138,2006-07-21,0,0.5640423697389991
