ticker,UNH UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.1764999999999999
2000-01-04,-1.2791000000000001
2000-01-05,-0.2356
2000-01-06,4.2503
2000-01-07,11.0985
2000-01-10,-1.7328999999999999
2000-01-11,0.2075
2000-01-12,-0.9317
2000-01-13,3.1348
2000-01-14,-0.1013
2000-01-18,-4.2596
2000-01-19,0.8475
2000-01-20,2.521
2000-01-21,-4.3033
2000-01-24,-5.4604
2000-01-25,0.0
2000-01-26,-0.2265
2000-01-27,-1.5891
2000-01-28,-2.8834999999999997
2000-01-31,0.7126
2000-02-01,2.7123
2000-02-02,2.6406
2000-02-03,-0.8949
2000-02-04,2.0316
2000-02-07,2.9867
2000-02-08,-3.8668
2000-02-09,-3.5754
2000-02-10,7.3001
2000-02-11,-3.0238
2000-02-14,2.1158
2000-02-15,3.5987
2000-02-16,3.2632
2000-02-17,2.5484
2000-02-18,-7.9523
2000-02-22,1.6199
2000-02-23,-2.2317
2000-02-24,-8.4783
2000-02-25,-2.6128
2000-02-28,0.3659
2000-02-29,-0.6075
2000-03-01,6.846
2000-03-02,-3.8902
2000-03-03,3.6905
2000-03-06,-3.5591
2000-03-07,-6.6667
2000-03-08,-2.4234999999999998
2000-03-09,2.8758
2000-03-10,3.4307
2000-03-13,-1.5971
2000-03-14,0.0
2000-03-15,2.7466
2000-03-16,1.3366
2000-03-17,-1.5588
2000-03-20,3.2887
2000-03-21,1.8868
2000-03-22,-1.9676
2000-03-23,3.1877
2000-03-24,5.1487
2000-03-27,-3.1556
2000-03-28,-0.4494
2000-03-29,0.0
2000-03-30,3.4402
2000-03-31,4.1485
2000-04-03,4.0881
2000-04-04,-2.1148
2000-04-05,-1.2346
2000-04-06,2.8125
2000-04-07,0.1013
2000-04-10,3.4413
2000-04-11,2.4462
2000-04-12,4.2025
2000-04-13,-2.6581
2000-04-14,-5.9322
2000-04-17,2.1021
2000-04-18,1.7647
2000-04-19,-0.289
2000-04-20,3.7681
2000-04-24,3.4451
2000-04-25,-1.7102
2000-04-26,-1.3736
2000-04-27,-0.3714
2000-04-28,-0.5592
2000-05-01,-3.1865
2000-05-02,-2.4201
2000-05-03,-2.7778
2000-05-04,1.9388
2000-05-05,1.001
2000-05-08,4.6581
2000-05-09,2.8409
2000-05-10,0.7366
2000-05-11,1.1883
2000-05-12,3.1617
2000-05-15,4.8161000000000005
2000-05-16,1.086
2000-05-17,-1.3223
2000-05-18,4.6064
2000-05-19,-2.1617
2000-05-22,-0.0818
