ticker,RE UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9607999999999999
2000-01-04,-0.2857
2000-01-05,6.3037
2000-01-06,4.8518
2000-01-07,5.3985
2000-01-10,-0.4878
2000-01-11,0.2451
2000-01-12,0.7335
2000-01-13,0.0
2000-01-14,2.6699
2000-01-18,0.0
2000-01-19,-1.4184
2000-01-20,0.0
2000-01-21,1.9184999999999999
2000-01-24,-4.2353
2000-01-25,-0.9828
2000-01-26,-1.737
2000-01-27,2.0202
2000-01-28,-0.495
2000-01-31,0.2488
2000-02-01,0.4963
2000-02-02,-0.9877
2000-02-03,-0.9975
2000-02-04,0.5038
2000-02-07,0.2506
2000-02-08,0.25
2000-02-09,0.0
2000-02-10,-6.7332
2000-02-11,-4.2781
2000-02-14,-1.6760000000000002
2000-02-15,1.9886
2000-02-16,6.9638
2000-02-17,12.5
2000-02-18,-3.2407
2000-02-22,-4.3062000000000005
2000-02-23,3.5
2000-02-24,-7.2464
2000-02-25,-2.8646000000000003
2000-02-28,4.8257
2000-02-29,0.5115
2000-03-01,3.3079
2000-03-02,-1.4778
2000-03-03,6.25
2000-03-06,-2.3624
2000-03-07,-0.7246
2000-03-08,-5.1095
2000-03-09,1.2821
2000-03-10,-3.2911
2000-03-13,4.4503
2000-03-14,0.7519
2000-03-15,5.4726
2000-03-16,9.9057
2000-03-17,-5.1502
2000-03-20,1.3575
2000-03-21,0.8929
2000-03-22,-1.1062
2000-03-23,4.2506
2000-03-24,0.4292
2000-03-27,-3.8462
2000-03-28,2.4444
2000-03-29,1.9523000000000001
2000-03-30,2.9787
2000-03-31,7.8512
2000-04-03,-4.2146
2000-04-04,-1.6
2000-04-05,-0.2033
2000-04-06,-1.4257
2000-04-07,-0.4132
2000-04-10,-1.0373
2000-04-11,-1.0482
2000-04-12,-0.4237
2000-04-13,0.8511
2000-04-14,-6.3291
2000-04-17,2.4775
2000-04-18,1.7582
2000-04-19,1.5119
2000-04-20,-1.0638
2000-04-24,5.5914
2000-04-25,-1.833
2000-04-26,-2.2822
2000-04-27,-1.4862
2000-04-28,0.8621
2000-05-01,5.5556
2000-05-02,-3.6437
2000-05-03,-1.2605
2000-05-04,6.1702
2000-05-05,2.8056
2000-05-08,-0.5848
2000-05-09,-1.9607999999999999
2000-05-10,-0.8
2000-05-11,-0.6048
2000-05-12,1.217
2000-05-15,5.8116
2000-05-16,6.0606
2000-05-17,-1.7856999999999998
2000-05-18,-2.5455
2000-05-19,1.6791
2000-05-22,1.1009
