ticker,EMC UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.2632
2000-01-04,-7.0109
2000-01-05,-3.3898
2000-01-06,-3.5693
2000-01-07,7.0263
2000-01-10,6.3306000000000004
2000-01-11,-2.7563
2000-01-12,-0.1134
2000-01-13,-1.9296
2000-01-14,4.1667
2000-01-18,-0.3889
2000-01-19,4.1829
2000-01-20,1.9272
2000-01-21,1.1029
2000-01-24,-5.4545
2000-01-25,3.9011
2000-01-26,-6.0814
2000-01-27,-3.7161999999999997
2000-01-28,-4.5614
2000-01-31,4.4118
2000-02-01,-1.4085
2000-02-02,2.8571
2000-02-03,3.6458
2000-02-04,-1.7309
2000-02-07,4.2045
2000-02-08,3.3806
2000-02-09,-3.5865
2000-02-10,3.7199
2000-02-11,-3.7975
2000-02-14,0.8772
2000-02-15,1.1413
2000-02-16,1.3971
2000-02-17,0.053
2000-02-18,-0.3178
2000-02-22,-1.5939999999999999
2000-02-23,2.9698
2000-02-24,4.8768
2000-02-25,-1.75
2000-02-28,-4.631
2000-02-29,1.6009
2000-03-01,-0.5252
2000-03-02,-1.4784
2000-03-03,1.179
2000-03-06,1.9068
2000-03-07,5.7173
2000-03-08,3.8348
2000-03-09,-0.2367
2000-03-10,-0.9492
2000-03-13,-3.3062
2000-03-14,-4.4599
2000-03-15,-4.3568
2000-03-16,6.5076
2000-03-17,4.7352
2000-03-20,2.6738
2000-03-21,3.4091
2000-03-22,-2.0147
2000-03-23,2.8037
2000-03-24,3.2727
2000-03-27,-0.2201
2000-03-28,-1.4998
2000-03-29,-6.4487
2000-03-30,-0.8138
2000-03-31,-3.4749
2000-04-03,1.25
2000-04-04,1.2346
2000-04-05,-1.1707
2000-04-06,5.4294
2000-04-07,8.1461
2000-04-10,-6.4069
2000-04-11,-3.7927999999999997
2000-04-12,-6.4423
2000-04-13,-1.9527
2000-04-14,-6.7086
2000-04-17,12.2472
2000-04-18,4.004
2000-04-19,-3.4167
2000-04-20,5.2317
2000-04-24,-1.8939
2000-04-25,3.7645
2000-04-26,1.5814
2000-04-27,3.9377
2000-04-28,-2.0705
2000-05-01,2.6090999999999998
2000-05-02,-2.0167
2000-05-03,-2.8188
2000-05-04,1.9337
2000-05-05,-0.3613
2000-05-08,-3.6718
2000-05-09,-5.3647
2000-05-10,-5.0224
2000-05-11,5.1309
2000-05-12,1.9422000000000001
2000-05-15,3.0777
2000-05-16,-0.4265
2000-05-17,-3.2366
2000-05-18,-4.8697
2000-05-19,-2.9473000000000003
