ticker,FNMA UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6056
2000-01-04,-2.7572
2000-01-05,-2.072
2000-01-06,6.6815
2000-01-07,1.2526
2000-01-10,-2.3711
2000-01-11,0.0
2000-01-12,1.056
2000-01-13,3.9707
2000-01-14,4.1206
2000-01-18,-6.1776
2000-01-19,-1.4403000000000001
2000-01-20,-2.5052
2000-01-21,-4.0685
2000-01-24,0.0
2000-01-25,-1.7856999999999998
2000-01-26,4.0909
2000-01-27,3.8734
2000-01-28,-1.5838999999999999
2000-01-31,2.8970000000000002
2000-02-01,0.8342
2000-02-02,-0.7239
2000-02-03,2.7083
2000-02-04,-3.4483
2000-02-07,-2.9412000000000003
2000-02-08,1.1905000000000001
2000-02-09,-3.4225
2000-02-10,-3.5437
2000-02-11,0.5741
2000-02-14,-1.8265
2000-02-15,1.9767000000000001
2000-02-16,0.3421
2000-02-17,-3.1818
2000-02-18,-4.2254
2000-02-22,3.1863
2000-02-23,-1.0689
2000-02-24,-3.1212
2000-02-25,0.6196
2000-02-28,5.9113
2000-02-29,-1.3953
2000-03-01,-0.4717
2000-03-02,-1.6588
2000-03-03,2.2892
2000-03-06,-2.9446
2000-03-07,-5.9466
2000-03-08,4.0
2000-03-09,-1.4888
2000-03-10,0.8816
2000-03-13,2.9962999999999997
2000-03-14,0.8485
2000-03-15,7.3317
2000-03-16,8.8466
2000-03-17,0.4115
2000-03-20,-3.9959
2000-03-21,5.9765
2000-03-22,-0.1007
2000-03-23,0.8065
2000-03-24,-1.4
2000-03-27,-3.6511
2000-03-28,-0.7368
2000-03-29,-1.1665
2000-03-30,-3.7554
2000-03-31,0.6689
2000-04-03,6.0908
2000-04-04,-2.2965
2000-04-05,2.2436
2000-04-06,1.6719
2000-04-07,-1.3361
2000-04-10,-1.0417
2000-04-11,0.7368
2000-04-12,5.4336
2000-04-13,-0.6938
2000-04-14,-1.1976
2000-04-17,-0.5051
2000-04-18,0.7107
2000-04-19,-3.7298
2000-04-20,1.8848
2000-04-24,4.7276
2000-04-25,2.0608
2000-04-26,-1.4923
2000-04-27,-1.3725
2000-04-28,-4.0755
2000-05-01,-2.5907
2000-05-02,-3.2979
2000-05-03,-0.6601
2000-05-04,-2.5471
2000-05-05,-0.1136
2000-05-08,3.1854
2000-05-09,0.0
2000-05-10,1.8742999999999999
2000-05-11,3.8961
2000-05-12,0.5208
2000-05-15,5.1813
2000-05-16,-1.7734
2000-05-17,-0.4012
2000-05-18,1.2085
