ticker,SO UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1915
2000-01-04,1.0989
2000-01-05,5.163
2000-01-06,0.2584
2000-01-07,1.8041
2000-01-10,-0.7595
2000-01-11,-0.7653
2000-01-12,1.7995
2000-01-13,-1.2626
2000-01-14,-1.2788
2000-01-18,-3.1088
2000-01-19,2.4064
2000-01-20,-0.2611
2000-01-21,2.6178
2000-01-24,2.551
2000-01-25,0.995
2000-01-26,0.4926
2000-01-27,0.2451
2000-01-28,-0.978
2000-01-31,1.2346
2000-02-01,-0.9756
2000-02-02,-0.7389
2000-02-03,0.5856
2000-02-04,-2.25
2000-02-07,-0.5115
2000-02-08,0.5141
2000-02-09,-0.7673
2000-02-10,1.0309
2000-02-11,-0.5102
2000-02-14,0.0
2000-02-15,-0.2564
2000-02-16,-1.7995
2000-02-17,-1.5707
2000-02-18,-1.5957
2000-02-22,0.2703
2000-02-23,-1.8868
2000-02-24,-3.022
2000-02-25,-1.4163999999999999
2000-02-28,4.3103
2000-02-29,-2.2039
2000-03-01,-1.1268
2000-03-02,1.1396
2000-03-03,-0.5634
2000-03-06,-3.966
2000-03-07,0.295
2000-03-08,-0.5882
2000-03-09,-0.2959
2000-03-10,0.2967
2000-03-13,0.8876
2000-03-14,-3.5191
2000-03-15,6.079
2000-03-16,4.298
2000-03-17,-3.5714
2000-03-20,-0.8547
2000-03-21,-2.0115
2000-03-22,-2.0528
2000-03-23,2.6946
2000-03-24,2.0408
2000-03-27,0.8571
2000-03-28,-1.6997
2000-03-29,0.2882
2000-03-30,-0.2874
2000-03-31,0.2882
2000-04-03,4.023
2000-04-04,2.2099
2000-04-05,0.0
2000-04-06,-2.4324
2000-04-07,-1.385
2000-04-10,4.7753
2000-04-11,0.8043
2000-04-12,2.6596
2000-04-13,3.1088
2000-04-14,-4.5226
2000-04-17,2.6316
2000-04-18,2.8205
2000-04-19,-0.7481
2000-04-20,2.7638
2000-04-24,1.467
2000-04-25,2.8916
2000-04-26,3.0445
2000-04-27,-5.1455
2000-04-28,-3.1553
2000-05-01,-2.7569
2000-05-02,0.7732
2000-05-03,0.5115
2000-05-04,1.2723
2000-05-05,-1.5074999999999998
2000-05-08,1.7856999999999998
2000-05-09,0.2506
2000-05-10,1.25
2000-05-11,2.2222
2000-05-12,-3.1401
2000-05-15,1.995
2000-05-16,-1.2225
2000-05-17,-2.9703
2000-05-18,2.8061
2000-05-19,1.9851
2000-05-22,0.9732
2000-05-23,-0.9639
