ticker,JNPR UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,-3.2246
2009-11-02,0.4704
2009-11-03,0.078
2009-11-04,-0.3509
2009-11-05,1.7214
2009-11-06,-2.5769
2009-11-09,0.3948
2009-11-10,-2.0448
2009-11-11,1.7664
2009-11-12,-2.5641
2009-11-13,5.8704
2009-11-16,-0.7266
2009-11-17,-0.5778
2009-11-18,-0.8136
2009-11-19,-1.2109
2009-11-20,-0.3559
2009-11-23,3.4524
2009-11-24,-0.1151
2009-11-25,0.6528
2009-11-27,-2.0603
2009-11-30,1.792
2009-12-01,2.5258000000000003
2009-12-02,0.0373
2009-12-03,0.4478
2009-12-04,1.5230000000000001
2009-12-07,0.0732
2009-12-08,-0.6216
2009-12-09,0.4047
2009-12-10,-1.0627
2009-12-11,-0.8148
2009-12-14,-0.1867
2009-12-15,-0.8979
2009-12-16,-0.4908
2009-12-17,-3.2246
2009-12-18,2.3128
2009-12-21,1.2644
2009-12-22,-0.1135
2009-12-23,-0.6818
2009-12-24,0.8009
2009-12-28,1.3999
2009-12-29,0.1119
2009-12-30,1.1554
2009-12-31,-1.7318
2010-01-04,1.9123
2010-01-05,-1.5819999999999999
2010-01-06,-2.6916
2010-01-07,0.4994
2010-01-08,0.344
2010-01-11,-0.1905
2010-01-12,-1.2977
2010-01-13,2.3975
2010-01-14,-0.5287
2010-01-15,0.9112
2010-01-19,1.091
2010-01-20,-3.0517
2010-01-21,0.2687
2010-01-22,-4.4793
2010-01-25,1.6834
2010-01-26,-2.0102
2010-01-27,0.6436
2010-01-28,-2.1183
2010-01-29,1.3883
2010-02-01,0.9263
2010-02-02,0.4389
2010-02-03,0.6357
2010-02-04,-1.7370999999999999
2010-02-05,0.4419
2010-02-08,-0.36
2010-02-09,0.843
2010-02-10,-0.3981
2010-02-11,0.9592
2010-02-12,-1.9794
2010-02-16,2.7868
2010-02-17,0.668
2010-02-18,1.249
2010-02-19,5.7826
2010-02-22,-0.8382
2010-02-23,-1.1393
2010-02-24,3.9032999999999998
2010-02-25,0.1789
2010-02-26,-0.0714
2010-03-01,1.9657
2010-03-02,0.1402
2010-03-03,0.665
2010-03-04,-0.3129
2010-03-05,1.4998
2010-03-08,1.7182
2010-03-09,0.9797
2010-03-10,1.6728
2010-03-11,0.2303
2010-03-12,-1.7072
2010-03-15,0.4342
2010-03-16,1.0974
2010-03-17,0.9539
2010-03-18,-1.4337
2010-03-19,-1.1901
2010-03-22,0.8364
2010-03-23,2.4552
