ticker,TAP B UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
8/8/2002,4.1522
8/9/2002,6.5781
8/12/2002,4.4888
8/13/2002,1.1337
8/14/2002,0.236
8/15/2002,3.8846
8/16/2002,0.3399
8/19/2002,4.2349
8/20/2002,1.5168
8/21/2002,-6.1366
8/22/2002,-3.5247
8/23/2002,-5.716
8/26/2002,-6.5625
8/27/2002,4.8829
8/28/2002,-0.5102
8/29/2002,3.5897
8/30/2002,0.8045
9/3/2002,-8.9626
9/4/2002,-3.6413
9/5/2002,-0.2799
9/6/2002,-2.0351
9/9/2002,2.5072
9/10/2002,0.2096
9/11/2002,0.3487
9/12/2002,-0.9729
9/13/2002,1.4035
9/16/2002,-2.1453
9/17/2002,-1.6973
9/18/2002,-3.0935
9/19/2002,-7.2012
9/20/2002,2.88
9/23/2002,3.1882
9/24/2002,-4.7476
9/25/2002,-0.1582
9/26/2002,8.6371
9/27/2002,-2.0423
9/30/2002,0.7446
10/1/2002,3.8433
10/2/2002,0.427
10/3/2002,0.7087
10/4/2002,0.6334
10/7/2002,-0.9091
10/8/2002,-1.4114
10/9/2002,-6.2992
10/10/2002,9.1673
10/11/2002,4.2687
10/14/2002,0.0671
10/15/2002,5.6338
10/16/2002,-3.8095
10/17/2002,1.9802
10/18/2002,-4.0129
10/21/2002,0.4046
10/22/2002,-2.2834
10/23/2002,0.9622
10/24/2002,-5.7862
10/25/2002,8.3092
10/28/2002,-5.1368
10/29/2002,-4.3601
10/30/2002,-3.6765
10/31/2002,3.2061
11/1/2002,4.068
11/4/2002,1.1372
11/5/2002,0.2108
11/6/2002,5.7504
11/7/2002,-0.1989
11/8/2002,-1.7276
11/11/2002,-0.1352
11/12/2002,0.2031
11/13/2002,0.6081
11/14/2002,-3.2236
11/15/2002,2.6371
11/18/2002,0.7437
11/19/2002,-1.2081
11/20/2002,-2.3777
11/21/2002,2.9228
11/22/2002,6.6261
11/25/2002,-4.1218
11/26/2002,1.1905
11/27/2002,-2.1569
11/29/2002,6.8804
12/2/2002,-2.625
12/3/2002,-2.439
12/4/2002,-1.3816
12/5/2002,-1.4009
12/6/2002,0.3383
12/9/2002,-2.8995
12/10/2002,5.2083
12/11/2002,-1.9142
12/12/2002,2.6918
12/13/2002,-2.6868
12/16/2002,1.8182
12/17/2002,1.0582
12/18/2002,-1.4398
12/19/2002,-1.328
12/20/2002,4.9125
12/23/2002,-1.0263
12/24/2002,-1.2314
12/26/2002,-0.4593
12/27/2002,-2.5049
12/30/2002,0
