ticker,0848680D UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0427
2000-01-04,-3.128
2000-01-05,2.3483
2000-01-06,-3.0593
2000-01-07,0.8876
2000-01-10,1.2708
2000-01-11,-7.6255
2000-01-12,5.9561
2000-01-13,3.2544
2000-01-14,-0.6686
2000-01-18,-1.4423
2000-01-19,0.2927
2000-01-20,-4.1829
2000-01-21,0.3046
2000-01-24,-0.4049
2000-01-25,0.4065
2000-01-26,-0.5061
2000-01-27,-2.238
2000-01-28,0.3122
2000-01-31,7.3651
2000-02-01,-2.029
2000-02-02,-2.3669000000000002
2000-02-03,-1.6162
2000-02-04,-0.7187
2000-02-07,4.4467
2000-02-08,3.3663
2000-02-09,-3.6398
2000-02-10,2.5845000000000002
2000-02-11,-2.3256
2000-02-14,2.3810000000000002
2000-02-15,0.969
2000-02-16,-0.7678
2000-02-17,1.6441
2000-02-18,-3.7108
2000-02-22,-0.7905
2000-02-23,-2.5896
2000-02-24,-3.4765
2000-02-25,-1.589
2000-02-28,0.8611
2000-02-29,4.1622
2000-03-01,2.459
2000-03-02,1.0
2000-03-03,0.8911
2000-03-06,0.9814
2000-03-07,-4.1788
2000-03-08,-0.7114
2000-03-09,3.173
2000-03-10,-2.5794
2000-03-13,-2.3422
2000-03-14,-3.7539
2000-03-15,0.325
2000-03-16,1.9438
2000-03-17,1.3771
2000-03-20,-1.4628999999999999
2000-03-21,1.8028
2000-03-22,-5.625
2000-03-23,-1.766
2000-03-24,6.5169
2000-03-27,1.3713
2000-03-28,-0.8325
2000-03-29,-0.1049
2000-03-30,1.1555
2000-03-31,4.6729
2000-04-03,-0.3968
2000-04-04,-2.7888
2000-04-05,0.0
2000-04-06,1.2295
2000-04-07,-1.417
2000-04-10,0.5133
2000-04-11,-1.2257
2000-04-12,-0.8273
2000-04-13,-1.9811999999999999
2000-04-14,-1.383
2000-04-17,-1.6181
2000-04-18,1.3158
2000-04-19,2.5974
2000-04-20,1.0549
2000-04-24,-3.1315
2000-04-25,4.3103
2000-04-26,-2.0661
2000-04-27,3.481
2000-04-28,0.3058
2000-05-01,3.1504
2000-05-02,-2.9557
2000-05-03,-1.4213
2000-05-04,0.5149
2000-05-05,-0.7172
2000-05-08,-0.516
2000-05-09,-0.6224
2000-05-10,-1.6701000000000001
2000-05-11,0.8493
2000-05-12,-1.3684
2000-05-15,-0.1067
2000-05-16,-0.5342
2000-05-17,-0.3222
2000-05-18,-3.0172
2000-05-19,-3.3333
2000-05-22,3.1034
