ticker,GT UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-19,-1.9174
2012-12-20,-1.1278
2012-12-21,-0.5323
2012-12-24,-0.3823
2012-12-26,1.0744
2012-12-27,1.8982999999999999
2012-12-28,-0.9687
2012-12-31,3.9127
2013-01-02,1.4482
2013-01-03,0.4283
2013-01-04,1.99
2013-01-07,-1.7422
2013-01-08,-0.2837
2013-01-09,2.1337
2013-01-10,-1.6017000000000001
2013-01-11,-2.477
2013-01-14,1.2337
2013-01-15,0.4301
2013-01-16,-1.142
2013-01-17,0.2166
2013-01-18,-0.5043
2013-01-22,0.4345
2013-01-23,-1.1536
2013-01-24,0.7294
2013-01-25,0.4345
2013-01-28,0.0721
2013-01-29,0.2882
2013-01-30,-0.7184
2013-01-31,-0.4342
2013-02-01,0.1453
2013-02-04,-2.5399000000000003
2013-02-05,1.4147
2013-02-06,-0.2203
2013-02-07,-0.4415
2013-02-08,0.4435
2013-02-11,2.3547000000000002
2013-02-12,-0.3595
2013-02-13,1.5873
2013-02-14,0.6392
2013-02-15,-0.494
2013-02-19,-0.0709
2013-02-20,-1.6324
2013-02-21,-2.3810000000000002
2013-02-22,-0.5913
2013-02-25,-3.3457
2013-02-26,-0.7692
2013-02-27,0.0
2013-02-28,0.6202
2013-03-01,-0.1541
2013-03-04,-2.2377
2013-03-05,1.026
2013-03-06,0.8594
2013-03-07,0.2324
2013-03-08,1.0819
2013-03-11,-0.7645
2013-03-12,0.0
2013-03-13,3.3898
2013-03-14,0.9687
2013-03-15,1.3284
2013-03-18,-2.3307
2013-03-19,-1.044
2013-03-20,1.055
2013-03-21,-3.132
2013-03-22,-1.4627
2013-03-25,-1.0937999999999999
2013-03-26,1.3428
2013-03-27,-0.4677
2013-03-28,-1.2529
2013-04-01,-1.5067
2013-04-02,-1.6103
2013-04-03,-1.3093
2013-04-04,1.5755
2013-04-05,-0.7347
2013-04-08,2.2204
2013-04-09,0.9654
2013-04-10,1.2749
2013-04-11,0.9441
2013-04-12,-2.5721
2013-04-15,-4.4
2013-04-16,3.8494
2013-04-17,-3.1426
2013-04-18,-0.3328
2013-04-19,1.419
2013-04-22,-0.9877
2013-04-23,1.5794000000000001
2013-04-24,2.3731999999999998
2013-04-25,3.4373
2013-04-26,-3.323
2013-04-29,0.4796
2013-04-30,-0.5967
2013-05-01,-2.3609
2013-05-02,0.2459
2013-05-03,1.1447
2013-05-06,3.8804
2013-05-07,1.7121
2013-05-08,-0.153
2013-05-09,-1.2261
