ticker,DVN UA Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3308
2000-01-04,-2.3121
2000-01-05,1.7751000000000001
2000-01-06,5.0388
2000-01-07,0.5535
2000-01-10,-1.2844
2000-01-11,1.487
2000-01-12,-1.4652
2000-01-13,2.2305
2000-01-14,0.5455
2000-01-18,8.1374
2000-01-19,2.6756
2000-01-20,1.4658
2000-01-21,6.26
2000-01-24,-2.719
2000-01-25,-2.4845
2000-01-26,-2.5478
2000-01-27,-1.7974
2000-01-28,0.0
2000-01-31,-6.4892
2000-02-01,2.669
2000-02-02,-1.2132
2000-02-03,0.8772
2000-02-04,0.1739
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-1.9097
2000-02-10,5.1327
2000-02-11,-3.0303
2000-02-14,3.2986
2000-02-15,2.3529
2000-02-16,0.821
2000-02-17,0.6515
2000-02-18,-1.2945
2000-02-22,0.4918
2000-02-23,-3.752
2000-02-24,-1.1864
2000-02-25,-1.3721999999999999
2000-02-28,2.087
2000-02-29,1.5332
2000-03-01,4.3624
2000-03-02,5.1447
2000-03-03,-2.2936
2000-03-06,1.7214
2000-03-07,11.3846
2000-03-08,-2.2099
2000-03-09,0.1412
2000-03-10,-0.5642
2000-03-13,0.539
2000-03-14,0.2825
2000-03-15,-3.2394
2000-03-16,2.6201
2000-03-17,-1.5603
2000-03-20,-2.5937
2000-03-21,2.2189
2000-03-22,-0.5789
2000-03-23,-0.7278
2000-03-24,-0.2933
2000-03-27,-1.6176
2000-03-28,1.6442
2000-03-29,5.0
2000-03-30,5.8824
2000-03-31,2.7778
2000-04-03,1.0296
2000-04-04,-3.1847
2000-04-05,-0.5263
2000-04-06,2.1164
2000-04-07,-1.8135
2000-04-10,-3.6939
2000-04-11,0.137
2000-04-12,1.2312
2000-04-13,3.2432
2000-04-14,-1.8325
2000-04-17,-5.4667
2000-04-18,0.2821
2000-04-19,3.3755
2000-04-20,-0.9524
2000-04-24,-0.9615
2000-04-25,2.6352
2000-04-26,1.3514
2000-04-27,2.0
2000-04-28,0.7843
2000-05-01,-0.6485
2000-05-02,-1.5666
2000-05-03,-1.061
2000-05-04,5.0938
2000-05-05,1.4031
2000-05-08,2.5157
2000-05-09,-1.5951
2000-05-10,-2.1197
2000-05-11,4.9681999999999995
2000-05-12,2.3058
2000-05-15,6.7616
2000-05-16,-0.6667
2000-05-17,2.0134
2000-05-18,2.6316
2000-05-19,-1.0684
2000-05-22,0.0
2000-05-23,-0.108
2000-05-24,2.7027
