ticker,DISCK UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-19,-9.7297
2008-09-22,1.018
2008-09-23,-1.4819
2008-09-24,-4.633
2008-09-25,1.388
2008-09-26,-3.547
2008-09-29,-5.6774000000000004
2008-09-30,-3.1464
2008-10-01,1.0593
2008-10-02,-6.3592
2008-10-03,-3.0597
2008-10-06,-0.3849
2008-10-07,-8.8099
2008-10-08,-5.0
2008-10-09,-2.9438
2008-10-10,-4.0441
2008-10-13,17.2414
2008-10-14,7.0261
2008-10-15,-6.3359
2008-10-16,-3.097
2008-10-17,4.2893
2008-10-20,2.7419000000000002
2008-10-21,-1.4129
2008-10-22,-5.414
2008-10-23,-4.2088
2008-10-24,-13.9719
2008-10-27,2.145
2008-10-28,4.5
2008-10-29,13.3014
2008-10-30,6.3345
2008-10-31,5.7983
2008-11-03,-2.027
2008-11-04,4.0613
2008-11-05,-2.3564
2008-11-06,-14.4042
2008-11-07,19.0308
2008-11-10,-1.1843
2008-11-11,-1.573
2008-11-12,-9.7412
2008-11-13,9.5278
2008-11-14,3.6182
2008-11-17,-6.5379000000000005
2008-11-18,-5.7234
2008-11-19,-0.9275
2008-11-20,1.7872
2008-11-21,3.0936
2008-11-24,6.8126999999999995
2008-11-25,-3.4169
2008-11-26,4.8742
2008-11-28,13.4183
2008-12-01,-12.9544
2008-12-02,-0.5315
2008-12-03,3.0534
2008-12-04,-8.2222
2008-12-05,7.2639
2008-12-08,6.9977
2008-12-09,-7.7356
2008-12-10,-1.4482
2008-12-11,-7.1152
2008-12-12,4.1632
2008-12-15,-2.6379
2008-12-16,2.1346
2008-12-17,0.5627
2008-12-18,6.9544
2008-12-19,3.438
2008-12-22,-4.4798
2008-12-23,-0.4539
2008-12-24,-0.5319
2008-12-26,0.3056
2008-12-29,0.0762
2008-12-30,1.1416
2008-12-31,0.7524
2009-01-02,2.9126
2009-01-05,2.1771
2009-01-06,2.6278
2009-01-07,-4.4983
2009-01-08,3.1884
2009-01-09,1.1938
2009-01-12,-0.2082
2009-01-13,2.8512
2009-01-14,-1.3523
2009-01-15,-0.8225
2009-01-16,0.3455
2009-01-20,-7.5758
2009-01-21,7.0045
2009-01-22,0.2786
2009-01-23,-0.0694
2009-01-26,-1.3899
2009-01-27,2.6075
2009-01-28,0.2747
2009-01-29,-3.1507
2009-01-30,1.6973
2009-02-02,0.2782
2009-02-03,-1.6644
2009-02-04,-4.0903
2009-02-05,-1.6912
2009-02-06,2.917
2009-02-09,0.0
