ticker,DLPH UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-22,2.7723
2017-11-24,0.1541
2017-11-27,0.0385
2017-11-28,-3.1538
2017-11-29,-0.3177
2017-11-30,-0.3984
2017-12-01,4.0
2017-12-04,-2.2692
2017-12-05,11.1767
2017-12-06,-4.1947
2017-12-07,-2.2538
2017-12-08,-3.6099
2017-12-11,-1.451
2017-12-12,0.8357
2017-12-13,-2.2297
2017-12-14,-1.11
2017-12-15,3.9796
2017-12-18,4.2395
2017-12-19,1.5251000000000001
2017-12-20,1.2797
2017-12-21,-2.0509
2017-12-22,-1.0095
2017-12-26,-1.5864
2017-12-27,1.7079
2017-12-28,-0.1509
2017-12-29,-0.8503
2018-01-02,4.8408999999999995
2018-01-03,-1.8906
2018-01-04,4.521
2018-01-05,0.1241
2018-01-08,-1.1154
2018-01-09,3.5094
2018-01-10,-3.3731
2018-01-11,3.5625
2018-01-12,2.7831
2018-01-16,-2.9263
2018-01-17,2.6161
2018-01-18,-3.326
2018-01-19,-1.24
2018-01-22,-1.3616
2018-01-23,0.4482
2018-01-24,0.3213
2018-01-25,-1.2987
2018-01-26,0.9913
2018-01-29,2.8913
2018-01-30,-1.8387
2018-01-31,-2.4032999999999998
2018-02-01,1.032
2018-02-02,-2.3835
2018-02-05,-4.8467
2018-02-06,3.5423999999999998
2018-02-07,1.0843
2018-02-08,-3.9577999999999998
2018-02-09,0.4622
2018-02-12,-1.1884000000000001
2018-02-13,-1.5907
2018-02-14,1.0842
2018-02-15,1.3261
2018-02-16,-2.0978
2018-02-20,-3.735
2018-02-21,2.185
2018-02-22,0.2198
2018-02-23,0.0997
2018-02-26,-1.7928
2018-02-27,-1.7647
2018-02-28,-1.4041000000000001
2018-03-01,-1.7173
2018-03-02,-0.4901
2018-03-05,0.3212
2018-03-06,1.7076
2018-03-07,-0.5247
2018-03-08,-0.1055
2018-03-09,3.1257
2018-03-12,-0.1024
2018-03-13,0.3485
2018-03-14,-2.4311
2018-03-15,-0.3769
2018-03-16,1.5553
2018-03-19,-0.1656
2018-03-20,-0.6219
2018-03-21,1.4602
2018-03-22,-2.1382
2018-03-23,-2.1639
2018-03-26,3.0921
2018-03-27,-1.3955
2018-03-28,-0.3802
2018-03-29,1.039
2018-04-02,1.0703
2018-04-03,2.8654
2018-04-04,0.8276
2018-04-05,0.3203
2018-04-06,-2.1153
2018-04-09,-0.6116
2018-04-10,1.6821000000000002
2018-04-11,-1.4323000000000001
2018-04-12,1.6578
