ticker,HST UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-11-03,4.0219
2020-11-04,-3.4271
2020-11-05,-0.546
2020-11-06,-4.0714
2020-11-09,30.0906
2020-11-10,-1.9062000000000001
2020-11-11,-4.1854
2020-11-12,-4.7582
2020-11-13,8.5176
2020-11-16,3.5849
2020-11-17,3.0237
2020-11-18,0.0707
2020-11-19,2.1201
2020-11-20,-2.0761
2020-11-23,3.9576000000000002
2020-11-24,0.8158
2020-11-25,-0.6743
2020-11-27,-0.7468
2020-11-30,-4.0356
2020-12-01,3.4212
2020-12-02,2.6532999999999998
2020-12-03,1.4434
2020-12-04,3.5738
2020-12-07,-3.0671
2020-12-08,-0.1978
2020-12-09,0.2642
2020-12-10,-2.3057
2020-12-11,-2.1578
2020-12-14,-3.3081
2020-12-15,3.4212
2020-12-16,-0.6547
2020-12-17,-0.8672
2020-12-18,-1.3996
2020-12-21,-2.2711
2020-12-22,-1.0893
2020-12-23,3.0837
2020-12-24,1.1396
2020-12-28,2.5352
2020-12-29,-1.4423
2020-12-30,1.7422
2020-12-31,0.2055
2021-01-04,-3.2809
2021-01-05,-1.4134
2021-01-06,5.7348
2021-01-07,-0.4746
2021-01-08,0.2725
2021-01-11,-2.3777
2021-01-12,1.5310000000000001
2021-01-13,1.0966
2021-01-14,1.7627000000000002
2021-01-15,-2.1319
2021-01-19,0.4765
2021-01-20,1.2873
2021-01-21,-2.0736
2021-01-22,-1.5027
2021-01-25,-3.6755
2021-01-26,-2.8078
