ticker,TAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4524
2000-01-04,-1.233
2000-01-05,4.7440999999999995
2000-01-06,-1.1919
2000-01-07,2.1713
2000-01-10,-3.8961
2000-01-11,-1.3514
2000-01-12,0.9963
2000-01-13,3.9457
2000-01-14,-2.847
2000-01-18,-3.0525
2000-01-19,1.2594
2000-01-20,-0.8706
2000-01-21,-2.133
2000-01-24,-2.5641
2000-01-25,-0.7895
2000-01-26,-1.3263
2000-01-27,1.2097
2000-01-28,-0.1328
2000-01-31,3.1915
2000-02-01,0.2577
2000-02-02,-0.2571
2000-02-03,1.6753
2000-02-04,-3.6755
2000-02-07,3.6842
2000-02-08,-4.9492
2000-02-09,1.8692
2000-02-10,3.0144
2000-02-11,0.1272
2000-02-14,1.0165
2000-02-15,1.6352
2000-02-16,-3.7129
2000-02-17,-2.5707
2000-02-18,-2.5066
2000-02-22,-0.5413
2000-02-23,-0.9524
2000-02-24,-6.7308
2000-02-25,-0.7894
2000-02-28,2.8316
2000-02-29,1.7391
2000-03-01,-0.8547
2000-03-02,-2.5862
2000-03-03,-0.1475
2000-03-06,-0.7386
2000-03-07,-7.5893
2000-03-08,1.1272
2000-03-09,1.4331
2000-03-10,0.157
2000-03-13,-1.8809
2000-03-14,0.4792
2000-03-15,6.5183
2000-03-16,3.5821
2000-03-17,2.4496
2000-03-20,-1.8284
2000-03-21,0.7163
2000-03-22,-2.276
2000-03-23,3.9301
2000-03-24,-4.0616
2000-03-27,1.6058
2000-03-28,0.8621
2000-03-29,2.2792
2000-03-30,7.6602
2000-03-31,-1.0349
2000-04-03,3.0065
2000-04-04,-2.2843
2000-04-05,1.039
2000-04-06,2.8278
2000-04-07,-0.625
2000-04-10,-0.1258
2000-04-11,2.1411
2000-04-12,-0.1233
2000-04-13,-0.4938
2000-04-14,-5.8313
2000-04-17,3.2938
2000-04-18,0.8929
2000-04-19,-1.1378
2000-04-20,2.3018
2000-04-24,7.0
2000-04-25,2.1028000000000002
2000-04-26,-1.6018
2000-04-27,-3.6047000000000002
2000-04-28,-1.5682
2000-05-01,1.5931
2000-05-02,-1.5682
2000-05-03,4.7794
2000-05-04,3.0409
2000-05-05,-3.2917
2000-05-08,4.5775
2000-05-09,-0.7856
2000-05-10,0.4525
2000-05-11,3.3784
2000-05-12,-2.9412000000000003
2000-05-15,1.2346
2000-05-16,0.2217
2000-05-17,0.3319
2000-05-18,-0.7718
2000-05-19,-0.6667
2000-05-22,3.6913
