ticker,REG UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-14,-1.0226
2018-11-15,-2.1133
2018-11-16,1.5832000000000002
2018-11-19,0.063
2018-11-20,-0.0157
2018-11-21,-0.5665
2018-11-23,-0.6647
2018-11-26,-0.3027
2018-11-27,0.0959
2018-11-28,0.3672
2018-11-29,-0.0795
2018-11-30,1.3372
2018-12-03,0.6283
2018-12-04,-1.3580999999999999
2018-12-06,4.1621
2018-12-07,-1.1547
2018-12-10,-1.3833
2018-12-11,-0.3585
2018-12-12,-2.6904
2018-12-13,0.1447
2018-12-14,-1.2841
2018-12-17,-5.3008
2018-12-18,1.7685
2018-12-19,-2.5645
2018-12-20,-0.381
2018-12-21,-0.1217
2018-12-24,-2.9586
2018-12-26,4.1607
2018-12-27,0.4477
2018-12-28,0.2228
2018-12-31,0.3592
2019-01-02,-3.1868
2019-01-03,0.1408
2019-01-04,0.3691
2019-01-07,0.9807
2019-01-08,2.1159
2019-01-09,-0.1189
2019-01-10,1.2753
2019-01-11,0.3862
2019-01-14,0.0669
2019-01-15,1.287
2019-01-16,0.9406
2019-01-17,0.4577
2019-01-18,0.3906
2019-01-22,-0.2269
2019-01-23,-0.1462
2019-01-24,-0.0325
2019-01-25,2.1322
2019-01-28,1.1952
2019-01-29,0.6457
2019-01-30,1.6429
2019-01-31,0.0616
2019-02-01,-0.8462
2019-02-04,0.6051
2019-02-05,-0.108
2019-02-06,-0.4323
2019-02-07,1.9228
2019-02-08,-0.0152
2019-02-11,0.8369
2019-02-12,-1.4184
2019-02-13,0.2296
2019-02-14,0.4276
2019-02-15,0.8516
2019-02-19,0.377
2019-02-20,-1.1116
2019-02-21,0.8203
2019-02-22,0.1431
2019-02-25,-0.1518
2019-02-26,0.0152
2019-02-27,-1.064
2019-02-28,0.2458
2019-03-01,-1.6398000000000001
2019-03-04,0.5298
2019-03-05,0.8989
2019-03-06,-1.0138
2019-03-07,-0.6673
2019-03-08,-0.3749
2019-03-11,1.2075
2019-03-12,0.6817
2019-03-13,0.5232
2019-03-14,0.0
2019-03-15,-0.8573
2019-03-18,-0.4478
2019-03-19,-0.2016
2019-03-20,0.7305
2019-03-21,1.8361
2019-03-22,0.1667
2019-03-25,0.0303
2019-03-26,1.4819
2019-03-27,0.3874
2019-03-28,1.0094
2019-03-29,-0.8229
2019-04-01,0.2815
2019-04-02,-0.0296
2019-04-03,0.4286
2019-04-04,0.0442
2019-04-05,1.2945
2019-04-08,-0.9149
2019-04-09,-0.9966
