ticker,WPX UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-13,-3.8961
2011-12-14,-2.3243
2011-12-15,-0.332
2011-12-16,-2.3876
2011-12-19,-1.8771
2011-12-20,1.4493
2011-12-21,0.0
2011-12-22,0.6857
2011-12-23,4.9376
2011-12-27,0.0
2011-12-28,-0.649
2011-12-29,-2.0142
2011-12-30,0.9444
2012-01-03,-0.3853
2012-01-04,-2.0994
2012-01-05,-1.1287
2012-01-06,-1.3699
2012-01-09,-3.5301
2012-01-10,1.8596
2012-01-11,-2.768
2012-01-12,-5.1484
2012-01-13,0.0
2012-01-17,-1.0856
2012-01-18,-0.9038
2012-01-19,-3.3876
2012-01-20,-0.5394
2012-01-23,2.3051
2012-01-24,1.4579
2012-01-25,5.6826
2012-01-26,-3.0284
2012-01-27,2.2945
2012-01-30,2.0561
2012-01-31,0.6105
2012-02-01,0.2427
2012-02-02,-0.1211
2012-02-03,-0.303
2012-02-06,1.3374
2012-02-07,3.8392
2012-02-08,4.7371
2012-02-09,-1.7650000000000001
2012-02-10,-1.516
2012-02-13,0.0
2012-02-14,0.2281
2012-02-15,2.3891
2012-02-16,2.8889
2012-02-17,1.8898000000000001
2012-02-21,0.9009
2012-02-22,-3.2563
2012-02-23,3.3659
2012-02-24,-1.1555
2012-02-27,-0.7439
2012-02-28,-0.4283
2012-02-29,-2.3656
2012-03-01,0.9912
2012-03-02,-2.7808
2012-03-05,2.8043
2012-03-06,-0.6001
2012-03-07,0.6586
2012-03-08,2.7808
2012-03-09,-0.9549
2012-03-12,-1.3926
2012-03-13,4.7257
2012-03-14,-0.3112
2012-03-15,0.0
2012-03-16,1.3528
2012-03-19,0.9754
2012-03-20,-3.7112
2012-03-21,1.3728
2012-03-22,-2.6562
2012-03-23,1.8192
2012-03-26,1.1035
2012-03-27,1.7671999999999999
2012-03-28,-3.9837
2012-03-29,-3.4043
2012-03-30,-0.826
2012-04-02,2.4431
2012-04-03,0.8672
2012-04-04,-2.0956
2012-04-05,-3.8968
2012-04-09,-2.9697
2012-04-10,-2.7075
2012-04-11,-3.0853
2012-04-12,1.9351
2012-04-13,-2.327
2012-04-16,-1.3166
2012-04-17,1.9695
2012-04-18,-3.1776
2012-04-19,0.2574
2012-04-20,-0.5135
2012-04-23,-0.4516
2012-04-24,1.361
2012-04-25,2.8772
2012-04-26,4.7856
2012-04-27,2.0166
2012-04-30,2.1512000000000002
2012-05-01,0.683
2012-05-02,-3.1091
2012-05-03,-2.4504
