ticker,KSS UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.2814
2000-01-04,-1.1883
2000-01-05,1.3876
2000-01-06,3.1934
2000-01-07,6.8966
2000-01-10,0.2481
2000-01-11,-0.8251
2000-01-12,-2.7454
2000-01-13,0.7699
2000-01-14,4.584
2000-01-18,-0.4058
2000-01-19,0.815
2000-01-20,-0.9701
2000-01-21,-0.3265
2000-01-24,-3.7674
2000-01-25,-2.2128
2000-01-26,2.0888
2000-01-27,-3.1543
2000-01-28,-3.081
2000-01-31,1.9074
2000-02-01,4.2781
2000-02-02,0.8547
2000-02-03,5.0847
2000-02-04,3.3871
2000-02-07,-0.234
2000-02-08,1.0164
2000-02-09,-2.709
2000-02-10,1.3524
2000-02-11,-0.157
2000-02-14,-2.044
2000-02-15,-1.9262000000000001
2000-02-16,-5.8101
2000-02-17,-4.344
2000-02-18,3.3606
2000-02-22,-0.0879
2000-02-23,1.847
2000-02-24,-4.5769
2000-02-25,0.724
2000-02-28,6.469
2000-02-29,2.3629
2000-03-01,3.7923
2000-03-02,-2.1446
2000-03-03,-1.2987
2000-03-06,1.0691
2000-03-07,-1.7901
2000-03-08,6.0481
2000-03-09,8.75
2000-03-10,-4.454
2000-03-13,1.8797000000000001
2000-03-14,-1.5497999999999998
2000-03-15,2.1739
2000-03-16,11.0785
2000-03-17,-5.0859
2000-03-20,3.5491
2000-03-21,2.0161
2000-03-22,-2.2398
2000-03-23,1.4825
2000-03-24,2.5896
2000-03-27,-0.1942
2000-03-28,-1.297
2000-03-29,0.7884
2000-03-30,3.8462
2000-03-31,2.9504
2000-04-03,1.5854
2000-04-04,-4.3217
2000-04-05,1.2547
2000-04-06,2.7881
2000-04-07,2.3508
2000-04-10,2.4735
2000-04-11,-2.5286999999999997
2000-04-12,1.0024
2000-04-13,-5.6626
2000-04-14,-8.9109
2000-04-17,-1.5625
2000-04-18,8.2816
2000-04-19,0.8923
2000-04-20,3.1586
2000-04-24,-2.0208
2000-04-25,5.0
2000-04-26,-0.8333
2000-04-27,-2.1609
2000-04-28,-5.7669
2000-05-01,8.3333
2000-05-02,-0.3606
2000-05-03,-7.4789
2000-05-04,-0.9126
2000-05-05,4.6053
2000-05-08,-1.8868
2000-05-09,-1.5385
2000-05-10,0.1302
2000-05-11,1.8205
2000-05-12,2.1711
2000-05-15,2.375
2000-05-16,0.3663
2000-05-17,2.9196999999999997
2000-05-18,2.1277
2000-05-19,-3.125
2000-05-22,-2.0311
2000-05-23,2.6829
