ticker,SSP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6974
2000-01-04,-0.6925
2000-01-05,0.4184
2000-01-06,-0.1389
2000-01-07,0.9736
2000-01-10,4.1322
2000-01-11,0.3968
2000-01-12,0.2635
2000-01-13,1.3141
2000-01-14,0.1297
2000-01-18,-1.4249
2000-01-19,0.3942
2000-01-20,-1.178
2000-01-21,3.5762
2000-01-24,-0.6394
2000-01-25,-2.3166
2000-01-26,1.1858
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,-1.9531
2000-02-01,2.9215999999999998
2000-02-02,-1.6774
2000-02-03,-0.2625
2000-02-04,-0.3947
2000-02-07,0.5284
2000-02-08,0.1314
2000-02-09,-1.1811
2000-02-10,0.0
2000-02-11,-0.664
2000-02-14,-2.5401
2000-02-15,0.2743
2000-02-16,-3.2832
2000-02-17,-0.4243
2000-02-18,-0.4261
2000-02-22,-0.8559
2000-02-23,-0.8633
2000-02-24,0.7257
2000-02-25,1.0432
2000-02-28,-0.7153
2000-02-29,-0.5764
2000-03-01,1.8841
2000-03-02,1.138
2000-03-03,0.8439
2000-03-06,-4.1841
2000-03-07,-0.1456
2000-03-08,0.5831
2000-03-09,0.7246
2000-03-10,-2.1583
2000-03-13,1.1764999999999999
2000-03-14,-0.1453
2000-03-15,1.6012
2000-03-16,4.8711
2000-03-17,-2.8689
2000-03-20,0.0
2000-03-21,0.4219
2000-03-22,0.5602
2000-03-23,4.3175
2000-03-24,-2.2697
2000-03-27,-0.2732
2000-03-28,0.8219
2000-03-29,0.2717
2000-03-30,3.523
2000-03-31,1.5707
2000-04-03,-0.7732
2000-04-04,-0.5195
2000-04-05,-1.5666
2000-04-06,2.5199
2000-04-07,-0.3881
2000-04-10,-3.3766
2000-04-11,2.2849
2000-04-12,1.4455
2000-04-13,-1.2953000000000001
2000-04-14,-4.3307
2000-04-17,0.5487
2000-04-18,0.0
2000-04-19,-1.2278
2000-04-20,-0.2762
2000-04-24,5.8172
2000-04-25,-2.8796
2000-04-26,0.6739
2000-04-27,-1.3387
2000-04-28,1.3569
2000-05-01,-1.6064
2000-05-02,-2.0408
2000-05-03,-0.1389
2000-05-04,-0.9736
2000-05-05,-0.2809
2000-05-08,-0.2817
2000-05-09,0.9887
2000-05-10,2.2378
2000-05-11,3.6936
2000-05-12,5.5409
2000-05-15,0.0
2000-05-16,0.25
2000-05-17,-1.7456
2000-05-18,-1.1421000000000001
2000-05-19,-2.5674
2000-05-22,-1.3175
