ticker,HLT UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-13,2.7907
2013-12-16,-2.6244
2013-12-17,1.3476
2013-12-18,0.0917
2013-12-19,2.0614
2013-12-20,-1.5709
2013-12-23,-1.6872
2013-12-24,-0.2319
2013-12-26,0.8833
2013-12-27,-0.4608
2013-12-30,1.3426
2013-12-31,1.6446
2014-01-02,-1.7528000000000001
2014-01-03,0.6862
2014-01-06,-0.0454
2014-01-07,0.0
2014-01-08,0.1364
2014-01-09,-0.7263
2014-01-10,-0.823
2014-01-13,0.1383
2014-01-14,1.7495
2014-01-15,-0.8597
2014-01-16,0.2282
2014-01-17,1.3206
2014-01-21,-1.4830999999999999
2014-01-22,2.4635
2014-01-23,0.8905
2014-01-24,-0.9267
2014-01-27,-2.049
2014-01-28,-0.4093
2014-01-29,-1.0959
2014-01-30,0.0
2014-01-31,-0.0462
2014-02-03,-3.2333
2014-02-04,0.3819
2014-02-05,-1.0937000000000001
2014-02-06,1.9231
2014-02-07,2.1226
2014-02-10,-1.1085
2014-02-11,1.3078
2014-02-12,0.9221
2014-02-13,0.2741
2014-02-14,0.2278
2014-02-18,-1.0909
2014-02-19,-1.057
2014-02-20,-0.1858
2014-02-21,3.0712
2014-02-24,0.4966
2014-02-25,0.4942
2014-02-26,0.7599
2014-02-27,-0.2218
2014-02-28,-0.578
2014-03-03,0.5814
2014-03-04,0.3112
2014-03-05,0.9309
2014-03-06,-1.2736
2014-03-07,1.0231
2014-03-10,-1.4531
2014-03-11,-1.2064
2014-03-12,1.0855
2014-03-13,-1.3423
2014-03-14,-0.0907
2014-03-17,0.4085
2014-03-18,2.0344
2014-03-19,-1.3735
2014-03-20,-0.4043
2014-03-21,3.6987
2014-03-24,-1.0004
2014-03-25,-1.2302
2014-03-26,-0.6228
2014-03-27,-0.4924
2014-03-28,0.09
2014-03-31,-0.0449
2014-04-01,1.3939
2014-04-02,-0.3548
2014-04-03,-2.0027
2014-04-04,-1.9527999999999999
2014-04-07,-1.019
2014-04-08,-0.0468
2014-04-09,0.7022
2014-04-10,-1.5342
2014-04-11,0.3305
2014-04-14,0.4706
2014-04-15,0.1405
2014-04-16,1.029
2014-04-17,0.787
2014-04-21,-1.424
2014-04-22,0.233
2014-04-23,-0.093
2014-04-24,0.0465
2014-04-25,-0.7907
2014-04-28,0.1875
2014-04-29,-1.3102
2014-04-30,3.5088
2014-05-01,1.1452
2014-05-02,-0.1359
2014-05-05,0.4989
2014-05-06,0.0
2014-05-07,2.2563
