ticker,CPRI UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-16,-0.4132
2011-12-19,3.2365
2011-12-20,2.291
2011-12-21,4.3222
2011-12-22,2.7119
2011-12-23,-0.9901
2011-12-27,0.7407
2011-12-28,0.7721
2011-12-29,-0.6932
2011-12-30,0.1102
2012-01-03,-0.367
2012-01-04,-2.7624
2012-01-05,0.1894
2012-01-06,-1.7013
2012-01-09,0.7692
2012-01-10,0.8397
2012-01-11,-1.0598
2012-01-12,-0.153
2012-01-13,1.7625
2012-01-17,5.6099
2012-01-18,1.2478
2012-01-19,0.9859
2012-01-20,2.3361
2012-01-23,1.3969
2012-01-24,-0.8737
2012-01-25,3.3898
2012-01-26,-2.3607
2012-01-27,0.2351
2012-01-30,-0.0335
2012-01-31,3.7198
2012-02-01,1.1309
2012-02-02,1.1821
2012-02-03,2.6524
2012-02-06,1.9071
2012-02-07,-1.4187
2012-02-08,1.6840000000000002
2012-02-09,2.2885
2012-02-10,-1.4719
2012-02-13,0.4183
2012-02-14,27.4918
2012-02-15,0.0
2012-02-16,-1.4002
2012-02-17,-1.0178
2012-02-21,-1.7217
2012-02-22,-0.1217
2012-02-23,-0.7065
2012-02-24,1.8399999999999999
2012-02-27,5.1795
2012-02-28,-2.2217000000000002
2012-02-29,1.3118
2012-03-01,5.7341
2012-03-02,4.8546
2012-03-05,1.4181
2012-03-06,-3.7425
2012-03-07,-1.5168
2012-03-08,2.1258
2012-03-09,5.3314
2012-03-12,-2.0569
2012-03-13,0.3706
2012-03-14,-2.4205
2012-03-15,0.1682
2012-03-16,-2.8750999999999998
2012-03-19,-2.0743
2012-03-20,6.1121
2012-03-21,1.1229
2012-03-22,0.1851
2012-03-23,-3.5304
2012-03-26,0.1702
2012-03-27,-1.1682
2012-03-28,-3.2452
2012-03-29,1.4882
2012-03-30,1.9698
2012-04-02,-0.9444
2012-04-03,1.8635000000000002
2012-04-04,0.936
2012-04-05,0.1686
2012-04-09,-1.5359
2012-04-10,-7.7564
2012-04-11,-0.6254
2012-04-12,2.5175
2012-04-13,-0.8186
2012-04-16,-3.4846
2012-04-17,1.8527
2012-04-18,0.2332
2012-04-19,-2.5128
2012-04-20,-1.4797
2012-04-23,5.1114
2012-04-24,-4.7707
2012-04-25,3.001
2012-04-26,4.2293
2012-04-27,3.4716
2012-04-30,-0.5011
2012-05-01,5.3427
2012-05-02,1.0601
2012-05-03,-5.471
2012-05-04,-4.6997
2012-05-07,0.6849
2012-05-08,-5.3288
