ticker,NVR UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-03,0.1262
2008-01-04,-6.8645
2008-01-07,-0.9036
2008-01-08,-3.5591
2008-01-09,1.6360999999999999
2008-01-10,2.2871
2008-01-11,0.2494
2008-01-14,1.0284
2008-01-15,-2.5098000000000003
2008-01-16,1.7021
2008-01-17,1.9491
2008-01-18,1.7317
2008-01-22,6.9779
2008-01-23,9.0449
2008-01-24,3.4893
2008-01-25,-1.1667
2008-01-28,1.6863000000000001
2008-01-29,4.0879
2008-01-30,-3.9194
2008-01-31,4.7177
2008-02-01,4.6714
2008-02-04,-5.1437
2008-02-05,-1.6825999999999999
2008-02-06,-4.6151
2008-02-07,1.1922
2008-02-08,-4.2991
2008-02-11,1.0976
2008-02-12,-2.2026
2008-02-13,-0.6625
2008-02-14,-1.9293
2008-02-15,-2.1824
2008-02-19,4.7157
2008-02-20,0.6532
2008-02-21,0.3643
2008-02-22,-3.2491
2008-02-25,1.8502999999999998
2008-02-26,6.0509
2008-02-27,-0.8599
2008-02-28,-2.1293
2008-02-29,-6.0471
2008-03-03,-0.1258
2008-03-04,4.3519
2008-03-05,-0.9317
2008-03-06,-5.5477
2008-03-07,0.184
2008-03-10,-1.9214
2008-03-11,3.6865
2008-03-12,0.4281
2008-03-13,4.4486
2008-03-14,-5.386
2008-03-17,-1.3411
2008-03-18,7.6046
2008-03-19,3.4452
2008-03-20,1.2810000000000001
2008-03-24,-1.5396
2008-03-25,0.8615
2008-03-26,-2.0122
2008-03-27,0.2236
2008-03-28,3.5948
2008-03-31,-0.2721
2008-04-01,4.6025
2008-04-02,-2.8944
2008-04-03,4.9497
2008-04-04,-0.2904
2008-04-07,-1.1573
2008-04-08,-1.2664
2008-04-09,-3.2091
2008-04-10,4.4473
2008-04-11,1.1028
2008-04-14,-5.2092
2008-04-15,2.9475
2008-04-16,5.131
2008-04-17,2.9342
2008-04-18,-1.9941
2008-04-21,3.1053
2008-04-22,-2.6642
2008-04-23,-3.1915
2008-04-24,4.2245
2008-04-25,0.1868
2008-04-28,0.9742
2008-04-29,-4.0737
2008-04-30,-4.7759
2008-05-01,4.9715
2008-05-02,-1.087
2008-05-05,0.0157
2008-05-06,0.3798
2008-05-07,0.7083
2008-05-08,-2.8134
2008-05-09,-2.4396
2008-05-12,0.0557
2008-05-13,-1.0687
2008-05-14,-0.5906
2008-05-15,1.5127000000000002
2008-05-16,-1.4738
2008-05-19,-1.9967000000000001
2008-05-20,-3.0628
2008-05-21,-2.7077
