ticker,ABBV UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-11,0.9143
2012-12-12,-5.5493
2012-12-13,1.3189
2012-12-14,-2.3669000000000002
2012-12-17,1.2121
2012-12-18,3.0838
2012-12-19,-0.5228
2012-12-20,0.2044
2012-12-21,3.0012
2012-12-24,-0.2829
2012-12-26,-0.9362
2012-12-27,0.1432
2012-12-28,-1.2868
2012-12-31,-1.0429
2013-01-02,2.8103
2013-01-03,-0.8257
2013-01-04,-1.2633
2013-01-07,0.2035
2013-01-08,-2.1764
2013-01-09,0.5636
2013-01-10,0.295
2013-01-11,0.7353
2013-01-14,0.709
2013-01-15,1.496
2013-01-16,2.7168
2013-01-17,2.4761
2013-01-18,2.4712
2013-01-22,-2.4116
2013-01-23,3.7891
2013-01-24,-0.8995
2013-01-25,0.3737
2013-01-28,-1.8883
2013-01-29,1.1385
2013-01-30,-1.0185
2013-01-31,-0.6499
2013-02-01,1.3355000000000001
2013-02-04,0.269
2013-02-05,-0.2146
2013-02-06,-0.1613
2013-02-07,-1.9386
2013-02-08,-0.4668
2013-02-11,-1.1034
2013-02-12,-1.1994
2013-02-13,-0.4235
2013-02-14,3.6859
2013-02-15,2.7618
2013-02-19,1.6232
2013-02-20,1.0998
2013-02-21,0.4403
2013-02-22,-0.8252
2013-02-25,-2.8341
2013-02-26,-0.7493
2013-02-27,-0.9706
2013-02-28,0.5173
2013-03-01,2.4106
2013-03-04,1.1373
2013-03-05,-1.909
2013-03-06,0.6132
2013-03-07,-0.6624
2013-03-08,-0.4001
2013-03-11,0.8838
2013-03-12,-1.3273
2013-03-13,0.0
2013-03-14,1.0492
2013-03-15,2.5027
2013-03-18,-0.8831
2013-03-19,0.5241
2013-03-20,1.8248
2013-03-21,-1.4593
2013-03-22,1.2471
2013-03-25,0.8981
2013-03-26,2.2635
2013-03-27,-0.1492
2013-03-28,1.5691000000000002
2013-04-01,0.8337
2013-04-02,-0.9971
2013-04-03,-0.3439
2013-04-04,2.5388
2013-04-05,-0.6971
2013-04-08,1.1135
2013-04-09,1.8674
2013-04-10,2.5147
2013-04-11,-0.0459
2013-04-12,-0.2546
2013-04-15,-3.8292
2013-04-16,2.4373
2013-04-17,-0.4947
2013-04-18,0.1894
2013-04-19,0.1654
2013-04-22,4.2699
2013-04-23,2.1267
2013-04-24,-1.8166
2013-04-25,-0.1805
2013-04-26,3.6166
2013-04-29,-1.3307
2013-04-30,1.813
2013-05-01,-1.0858
2013-05-02,-3.4248
2013-05-03,1.5685
