ticker,NVDA UA Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-30,-2.6846
2002-09-03,-6.5024999999999995
2002-09-04,-0.7376
2002-09-05,-4.2463
2002-09-06,1.9956
2002-09-09,0.5435
2002-09-10,15.8919
2002-09-11,4.3843
2002-09-12,-4.0214
2002-09-13,-1.6760000000000002
2002-09-16,-5.7765
2002-09-17,-1.8090000000000002
2002-09-18,-2.1494
2002-09-19,-4.1841
2002-09-20,0.2183
2002-09-23,-4.0305
2002-09-24,0.9081
2002-09-25,4.9494
2002-09-26,-5.3591
2002-09-27,-2.8313
2002-09-30,-0.4662
2002-10-01,5.7377
2002-10-02,-0.2215
2002-10-03,-4.9945
2002-10-04,-4.0888
2002-10-07,-5.2375
2002-10-08,-3.4704
2002-10-09,-2.1305
2002-10-10,6.1224
2002-10-11,13.0769
2002-10-14,-3.7415000000000003
2002-10-15,11.3074
2002-10-16,-9.418
2002-10-17,9.5794
2002-10-18,-0.3198
2002-10-21,9.6257
2002-10-22,3.8049
2002-10-23,3.6654
2002-10-24,-3.8078
2002-10-25,3.77
2002-10-28,2.8156
2002-10-29,-6.3604
2002-10-30,6.6981
2002-10-31,5.2166
2002-11-01,18.4874
2002-11-04,10.3546
2002-11-05,-3.7275
2002-11-06,7.0761
2002-11-07,-9.5387
2002-11-08,-21.7092
2002-11-11,-7.8345
2002-11-12,8.6915
2002-11-13,3.5149
2002-11-14,6.5365
2002-11-15,9.0837
2002-11-18,2.7757
2002-11-19,0.7818
2002-11-20,4.0903
2002-11-21,9.3496
2002-11-22,-2.4164
2002-11-25,3.746
2002-11-26,-2.448
2002-11-27,7.1518
2002-11-29,1.5222
2002-12-02,-1.4418
2002-12-03,-5.7343
2002-12-04,-13.1595
2002-12-05,1.1437
2002-12-06,-0.1413
2002-12-09,-7.9264
2002-12-10,8.9162
2002-12-11,-2.6112
2002-12-12,-0.0725
2002-12-13,-4.0609
2002-12-16,6.2736
2002-12-17,-0.2134
2002-12-18,-7.5552
2002-12-19,-2.2359
2002-12-20,1.2618
2002-12-23,0.6231
2002-12-24,-2.0124
2002-12-26,-0.6319
2002-12-27,-4.6899999999999995
2002-12-30,-3.6696999999999997
2002-12-31,0.0866
2003-01-02,5.8824
2003-01-03,0.0
2003-01-06,8.7418
2003-01-07,-0.0751
2003-01-08,-9.5489
2003-01-09,0.9975
2003-01-10,1.8107
2003-01-13,-0.0808
2003-01-14,0.1618
2003-01-15,-2.8270999999999997
2003-01-16,-7.2318999999999996
