ticker,PPG UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0959
2000-01-04,-3.4375
2000-01-05,3.7756
2000-01-06,4.7817
2000-01-07,1.7856999999999998
2000-01-10,-3.1189
2000-01-11,-0.4024
2000-01-12,1.5152
2000-01-13,2.4876
2000-01-14,-2.1359
2000-01-18,-2.3810000000000002
2000-01-19,-1.9308999999999998
2000-01-20,-4.0415
2000-01-21,1.2959
2000-01-24,-1.0661
2000-01-25,-2.4784
2000-01-26,1.5470000000000002
2000-01-27,1.197
2000-01-28,-2.4731
2000-01-31,-2.8666
2000-02-01,1.8161
2000-02-02,-1.7837
2000-02-03,-0.5675
2000-02-04,-1.2557
2000-02-07,-3.237
2000-02-08,-0.8363
2000-02-09,-1.6867
2000-02-10,-0.9804
2000-02-11,-3.8366
2000-02-14,4.2471
2000-02-15,3.7037
2000-02-16,0.5952
2000-02-17,0.1657
2000-02-18,-2.7381
2000-02-22,3.06
2000-02-23,1.4252
2000-02-24,-5.8548
2000-02-25,-2.3632
2000-02-28,0.0
2000-02-29,0.6369
2000-03-01,-2.1519
2000-03-02,-2.458
2000-03-03,4.1114
2000-03-06,-2.1656
2000-03-07,-3.125
2000-03-08,-0.9409
2000-03-09,-0.9498
2000-03-10,2.3288
2000-03-13,-1.6064
2000-03-14,0.1361
2000-03-15,9.1033
2000-03-16,5.2304
2000-03-17,-5.2071
2000-03-20,1.9975
2000-03-21,2.2032
2000-03-22,-4.5509
2000-03-23,1.1292
2000-03-24,0.3722
2000-03-27,-2.1014
2000-03-28,0.5051
2000-03-29,2.2613
2000-03-30,4.4226
2000-03-31,-1.5293999999999999
2000-04-03,1.3142
2000-04-04,1.533
2000-04-05,-2.0906
2000-04-06,0.2372
2000-04-07,-1.4201
2000-04-10,-0.2401
2000-04-11,4.0915
2000-04-12,5.6647
2000-04-13,-1.8599999999999999
2000-04-14,-5.1282
2000-04-17,0.1175
2000-04-18,-3.8731999999999998
2000-04-19,-1.0989
2000-04-20,4.6914
2000-04-24,2.4764
2000-04-25,2.9919000000000002
2000-04-26,-2.7933
2000-04-27,-1.1494
2000-04-28,1.1628
2000-05-01,0.2299
2000-05-02,-0.2294
2000-05-03,-3.2184
2000-05-04,1.4252
2000-05-05,3.2787
2000-05-08,0.2721
2000-05-09,1.139
2000-05-10,-1.6892
2000-05-11,2.291
2000-05-12,-1.2318
2000-05-15,3.0612
2000-05-16,-0.33
2000-05-17,-2.0971
2000-05-18,0.0
2000-05-19,-0.451
