ticker,GLW UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.5259
2000-01-04,-9.5947
2000-01-05,-2.3837
2000-01-06,-0.407
2000-01-07,7.9977
2000-01-10,2.0541
2000-01-11,-8.9513
2000-01-12,-3.4322
2000-01-13,12.530100000000001
2000-01-14,-3.9079
2000-01-18,11.9777
2000-01-19,6.2687
2000-01-20,16.6667
2000-01-21,3.9727
2000-01-24,-4.2841000000000005
2000-01-25,-2.3387000000000002
2000-01-26,3.0553
2000-01-27,3.726
2000-01-28,-9.1541
2000-01-31,4.932
2000-02-01,-4.5381
2000-02-02,0.6791
2000-02-03,4.0472
2000-02-04,6.9692
2000-02-07,-0.2273
2000-02-08,3.1511
2000-02-09,-3.4229
2000-02-10,4.5732
2000-02-11,-3.4621
2000-02-14,7.5123
2000-02-15,-1.264
2000-02-16,0.8535
2000-02-17,7.7927
2000-02-18,1.1776
2000-02-22,-1.7135
2000-02-23,-0.9211
2000-02-24,2.2244
2000-02-25,-2.3709
2000-02-28,-4.0585
2000-02-29,4.2996
2000-03-01,7.9787
2000-03-02,1.4741
2000-03-03,-0.2733
2000-03-06,2.1315
2000-03-07,-6.1121
2000-03-08,-4.033
2000-03-09,3.1767
2000-03-10,-1.7319
2000-03-13,-3.329
2000-03-14,-3.5787
2000-03-15,-4.6218
2000-03-16,2.4229
2000-03-17,8.4588
2000-03-20,4.1639
2000-03-21,-2.0305
2000-03-22,5.9585
2000-03-23,7.5795
2000-03-24,-2.5568
2000-03-27,-2.5656
2000-03-28,-1.9449
2000-03-29,-3.4483
2000-03-30,-3.9191000000000003
2000-03-31,2.1053
2000-04-03,-6.7332
2000-04-04,-7.1503
2000-04-05,-1.1905000000000001
2000-04-06,5.7982
2000-04-07,11.6014
2000-04-10,-3.4758
2000-04-11,-10.0099
2000-04-12,-10.7195
2000-04-13,0.6579
2000-04-14,-5.2288
2000-04-17,2.069
2000-04-18,6.25
2000-04-19,2.2258
2000-04-20,-5.3655
2000-04-24,-2.5472
2000-04-25,20.5734
2000-04-26,1.1189
2000-04-27,5.083
2000-04-28,3.9816000000000003
2000-05-01,1.0759
2000-05-02,-3.9135999999999997
2000-05-03,-6.1584
2000-05-04,0.9028
2000-05-05,4.095
2000-05-08,-3.0083
2000-05-09,-2.7948
2000-05-10,-2.9453
2000-05-11,5.1301
2000-05-12,3.2302
2000-05-15,-4.5273
2000-05-16,8.0893
2000-05-17,0.9032
2000-05-18,-2.1739
2000-05-19,-4.6078
