ticker,PVN UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.2361
2000-01-04,-4.3381
2000-01-05,1.5636999999999999
2000-01-06,7.3903
2000-01-07,-0.2867
2000-01-10,0.0
2000-01-11,0.5751
2000-01-12,-1.8585
2000-01-13,3.2775
2000-01-14,0.9168
2000-01-18,-4.2628
2000-01-19,0.438
2000-01-20,-2.689
2000-01-21,-3.9582
2000-01-24,-0.7776
2000-01-25,-3.6834
2000-01-26,5.8584
2000-01-27,3.6895
2000-01-28,-2.6686
2000-01-31,2.818
2000-02-01,-3.5556
2000-02-02,-2.9186
2000-02-03,-0.2373
2000-02-04,-0.6344
2000-02-07,-3.0327
2000-02-08,-3.6214
2000-02-09,-7.1734
2000-02-10,-5.2438
2000-02-11,1.5534
2000-02-14,-5.9273
2000-02-15,10.6707
2000-02-16,-0.0918
2000-02-17,-0.5515
2000-02-18,-3.512
2000-02-22,-2.4904
2000-02-23,-2.4558
2000-02-24,-3.1219
2000-02-25,1.9750999999999999
2000-02-28,5.1784
2000-02-29,0.582
2000-03-01,0.9643
2000-03-02,-2.9608
2000-03-03,3.0512
2000-03-06,-0.8596
2000-03-07,-4.2389
2000-03-08,-1.8109
2000-03-09,11.2705
2000-03-10,-4.4199
2000-03-13,-0.4817
2000-03-14,2.1297
2000-03-15,19.9052
2000-03-16,8.8538
2000-03-17,-0.6536
2000-03-20,-7.6023
2000-03-21,4.8259
2000-03-22,4.4528
2000-03-23,-2.6012
2000-03-24,-1.9287999999999998
2000-03-27,-2.5719
2000-03-28,3.1056
2000-03-29,-0.9036
2000-03-30,1.8997000000000002
2000-03-31,3.3557
2000-04-03,2.9582
2000-04-04,-6.2369
2000-04-05,-1.9432
2000-04-06,1.9055
2000-04-07,-1.2715
2000-04-10,6.6667
2000-04-11,-0.7813
2000-04-12,5.9413
2000-04-13,-0.2703
2000-04-14,-8.6043
2000-04-17,-0.6672
2000-04-18,3.209
2000-04-19,-1.7354
2000-04-20,4.8565000000000005
2000-04-24,1.0526
2000-04-25,-1.1111
2000-04-26,2.3876
2000-04-27,-0.4801
2000-04-28,-2.8946
2000-05-01,1.1356
2000-05-02,3.3684
2000-05-03,-2.5119
2000-05-04,-4.8747
2000-05-05,-1.0981
2000-05-08,0.4441
2000-05-09,-1.8423
2000-05-10,-2.027
2000-05-11,5.7471
2000-05-12,-0.2899
2000-05-15,4.5785
2000-05-16,-0.2085
2000-05-17,0.4875
2000-05-18,2.7720000000000002
2000-05-19,-3.439
