ticker,2968900Q UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6806999999999999
2000-01-04,-3.49
2000-01-05,0.5904
2000-01-06,0.807
2000-01-07,2.8384
2000-01-10,4.3171
2000-01-11,-1.8996
2000-01-12,-2.5587999999999997
2000-01-13,5.181
2000-01-14,-0.7422
2000-01-18,-1.2237
2000-01-19,1.2388
2000-01-20,-2.3114
2000-01-21,6.3326
2000-01-24,-6.2827
2000-01-25,-0.9777
2000-01-26,0.0
2000-01-27,-0.7757
2000-01-28,-3.0561
2000-01-31,1.3195999999999999
2000-02-01,2.0984
2000-02-02,0.7087
2000-02-03,3.589
2000-02-04,-0.4076
2000-02-07,-3.6835
2000-02-08,0.8499
2000-02-09,-3.6517
2000-02-10,1.6764000000000001
2000-02-11,1.147
2000-02-14,0.0
2000-02-15,-3.2601
2000-02-16,-5.4945
2000-02-17,0.8527
2000-02-18,-0.4612
2000-02-22,0.0772
2000-02-23,0.2315
2000-02-24,-0.6159
2000-02-25,-5.4996
2000-02-28,-1.3934
2000-02-29,-11.3882
2000-03-01,3.5647
2000-03-02,0.5435
2000-03-03,4.3243
2000-03-06,-6.0449
2000-03-07,-11.7647
2000-03-08,0.4167
2000-03-09,7.8838
2000-03-10,-4.7115
2000-03-13,0.1009
2000-03-14,0.7056
2000-03-15,3.003
2000-03-16,4.9563
2000-03-17,1.6667
2000-03-20,-1.4572
2000-03-21,2.0333
2000-03-22,6.0688
2000-03-23,1.9641
2000-03-24,-2.5126
2000-03-27,-3.6082
2000-03-28,-2.5846999999999998
2000-03-29,1.4639
2000-03-30,-1.5329000000000002
2000-03-31,1.1905000000000001
2000-04-03,1.086
2000-04-04,-5.8192
2000-04-05,5.5133
2000-04-06,4.1441
2000-04-07,0.173
2000-04-10,-3.9724
2000-04-11,0.4496
2000-04-12,3.4915
2000-04-13,-4.4983
2000-04-14,-6.7029
2000-04-17,-3.301
2000-04-18,3.8153
2000-04-19,2.6112
2000-04-20,-3.1103
2000-04-24,-2.1401
2000-04-25,4.8708
2000-04-26,5.782
2000-04-27,0.0
2000-04-28,3.2258
2000-05-01,1.3889
2000-05-02,-2.5685000000000002
2000-05-03,-2.3726
2000-05-04,2.6103
2000-05-05,2.0175
2000-05-08,-1.8917000000000002
2000-05-09,-2.3663
2000-05-10,-1.7953000000000001
2000-05-11,-0.5484
2000-05-12,3.9522
2000-05-15,3.6250999999999998
2000-05-16,4.0102
2000-05-17,-1.8048
2000-05-18,1.3367
