ticker,FTRCQ UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-19,-1.8293
2011-12-20,2.6915
2011-12-21,3.0242
2011-12-22,-0.1957
2011-12-23,0.3922
2011-12-27,-2.5391
2011-12-28,-3.6071999999999997
2011-12-29,4.158
2011-12-30,2.7944
2012-01-03,3.4951
2012-01-04,-3.3771
2012-01-05,-2.5243
2012-01-06,1.7928
2012-01-09,-1.3699
2012-01-10,0.1984
2012-01-11,-0.198
2012-01-12,-0.1984
2012-01-13,1.3917
2012-01-17,0.1961
2012-01-18,-3.1311
2012-01-19,-1.6162
2012-01-20,0.2053
2012-01-23,-0.6148
2012-01-24,-1.8557000000000001
2012-01-25,-0.3151
2012-01-26,-5.7956
2012-01-27,-4.0268
2012-01-30,-1.3986
2012-01-31,1.182
2012-02-01,-0.9346
2012-02-02,2.8302
2012-02-03,3.4404
2012-02-06,-3.7694
2012-02-07,-0.9217
2012-02-08,-0.9302
2012-02-09,-2.8169
2012-02-10,-2.4154999999999998
2012-02-13,2.4752
2012-02-14,-1.9324
2012-02-15,6.1576
2012-02-16,3.4803
2012-02-17,7.1749
2012-02-21,-3.1381
2012-02-22,-0.8639
2012-02-23,-0.4357
2012-02-24,1.5316999999999998
2012-02-27,-0.431
2012-02-28,0.0
2012-02-29,-0.6494
2012-03-01,-1.9607999999999999
2012-03-02,1.1111
2012-03-05,-3.0769
2012-03-06,-0.6803
2012-03-07,1.5981999999999998
2012-03-08,0.4598
2012-03-09,1.1442
2012-03-12,-1.3575
2012-03-13,1.1468
2012-03-14,-2.0408
2012-03-15,-1.2731
2012-03-16,1.524
2012-03-19,-2.3095
2012-03-20,0.9456
2012-03-21,1.4052
2012-03-22,-1.3857
2012-03-23,-1.8735
2012-03-26,-0.4773
2012-03-27,-1.9184999999999999
2012-03-28,-1.7115
2012-03-29,1.4925
2012-03-30,2.2059
2012-04-02,2.3981
2012-04-03,0.4684
2012-04-04,1.8648
2012-04-05,-1.373
2012-04-09,-4.4084
2012-04-10,-0.2427
2012-04-11,-0.2433
2012-04-12,2.439
2012-04-13,-1.9048
2012-04-16,0.7282
2012-04-17,2.4096
2012-04-18,-1.4118
2012-04-19,-1.432
2012-04-20,0.0
2012-04-23,1.2107
2012-04-24,-1.4354
2012-04-25,0.2427
2012-04-26,-0.9685
2012-04-27,-0.7335
2012-04-30,-0.4926
2012-05-01,0.0
2012-05-02,-0.495
2012-05-03,-1.99
2012-05-04,-1.2690000000000001
2012-05-07,-7.1979
