ticker,THC UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.1915
2000-01-04,-1.5464
2000-01-05,1.5707
2000-01-06,5.4124
2000-01-07,8.0685
2000-01-10,-1.3575
2000-01-11,-3.4404
2000-01-12,0.0
2000-01-13,3.5629
2000-01-14,-0.9174
2000-01-18,-0.6944
2000-01-19,-3.4965
2000-01-20,2.4154999999999998
2000-01-21,-4.717
2000-01-24,-4.703
2000-01-25,-1.2987
2000-01-26,0.7895
2000-01-27,-4.4386
2000-01-28,2.1858
2000-01-31,-2.6738
2000-02-01,-0.2747
2000-02-02,3.3058
2000-02-03,-2.1333
2000-02-04,1.9074
2000-02-07,-2.4064
2000-02-08,0.5479
2000-02-09,-2.4523
2000-02-10,-5.3073
2000-02-11,-1.4748999999999999
2000-02-14,-1.4969999999999999
2000-02-15,0.6079
2000-02-16,-2.1148
2000-02-17,0.0
2000-02-18,-3.0864
2000-02-22,0.6369
2000-02-23,-5.0633
2000-02-24,-0.6667
2000-02-25,-3.0201
2000-02-28,-3.8062
2000-02-29,0.7194
2000-03-01,6.7857
2000-03-02,4.6823
2000-03-03,6.3898
2000-03-06,-5.4054
2000-03-07,1.5873
2000-03-08,-2.8125
2000-03-09,2.2508
2000-03-10,4.0881
2000-03-13,-2.0665
2000-03-14,-1.2346
2000-03-15,10.0
2000-03-16,8.5227
2000-03-17,-2.8796
2000-03-20,-2.4259
2000-03-21,1.3812
2000-03-22,-4.0872
2000-03-23,-1.9886
2000-03-24,0.8696
2000-03-27,-2.0115
2000-03-28,2.6393
2000-03-29,3.1429
2000-03-30,1.9391
2000-03-31,0.0
2000-04-03,5.7065
2000-04-04,-2.3136
2000-04-05,3.6842
2000-04-06,3.2995
2000-04-07,-2.7027
2000-04-10,0.0
2000-04-11,3.0303
2000-04-12,4.902
2000-04-13,-3.0374
2000-04-14,-2.6506
2000-04-17,-0.495
2000-04-18,0.995
2000-04-19,-0.7389
2000-04-20,2.4814
2000-04-24,-0.2421
2000-04-25,1.6989999999999998
2000-04-26,-0.2387
2000-04-27,-1.9139
2000-04-28,-0.4878
2000-05-01,-4.6569
2000-05-02,1.2852999999999999
2000-05-03,-2.0305
2000-05-04,-3.1088
2000-05-05,2.6738
2000-05-08,0.2604
2000-05-09,0.5195
2000-05-10,-1.8088
2000-05-11,1.5789
2000-05-12,0.5181
2000-05-15,7.2165
2000-05-16,-2.8846
2000-05-17,-0.495
2000-05-18,5.7214
2000-05-19,-3.2941
2000-05-22,-0.9732
