date,bank,google
2004-01-01,51.0,46.0
2004-01-02,84.0,36.0
2004-01-03,57.0,27.0
2004-01-04,50.0,33.0
2004-01-05,26.0,27.0
2004-01-06,86.0,29.0
2004-01-07,67.0,38.0
2004-01-08,75.0,27.0
2004-01-09,76.0,29.0
2004-01-10,59.0,37.0
2004-01-11,37.0,30.0
2004-01-12,85.0,31.0
2004-01-13,77.0,30.0
2004-01-14,82.0,31.0
2004-01-15,79.0,32.0
2004-01-16,73.0,29.0
2004-01-17,57.0,33.0
2004-01-18,56.0,35.0
2004-01-19,73.0,26.0
2004-01-20,82.0,25.0
2004-01-21,84.0,24.0
2004-01-22,82.0,33.0
2004-01-23,86.0,32.0
2004-01-24,56.0,36.0
2004-01-25,44.0,37.0
2004-01-26,75.0,24.0
2004-01-27,75.0,30.0
2004-01-28,73.0,26.0
2004-01-29,70.0,31.0
2004-01-30,80.0,30.0
2004-01-31,58.0,35.0
2004-02-01,52.0,35.0
2004-02-02,77.0,29.0
2004-02-03,70.0,37.0
2004-02-04,67.0,29.0
2004-02-05,76.0,30.0
2004-02-06,77.0,32.0
2004-02-07,58.0,28.0
2004-02-08,51.0,30.0
2004-02-09,68.0,26.0
2004-02-10,72.0,23.0
2004-02-11,76.0,32.0
2004-02-12,84.0,28.0
2004-02-13,78.0,34.0
2004-02-14,63.0,35.0
2004-02-15,53.0,20.0
2004-02-16,70.0,25.0
2004-02-17,83.0,21.0
2004-02-18,80.0,35.0
2004-02-19,75.0,32.0
2004-02-20,76.0,31.0
2004-02-21,65.0,45.0
2004-02-22,47.0,31.0
2004-02-23,73.0,29.0
2004-02-24,85.0,27.0
2004-02-25,68.0,25.0
2004-02-26,77.0,30.0
2004-02-27,82.0,30.0
2004-02-28,61.0,27.0
2004-02-29,38.0,37.0
2004-03-01,97.0,35.0
2004-03-02,79.0,24.0
2004-03-03,65.0,24.0
2004-03-04,100.0,30.0
2004-03-05,66.0,23.0
2004-03-06,71.0,31.0
2004-03-07,30.0,30.0
2004-03-08,0.0,0.0
2004-03-09,0.0,0.0
2004-03-10,79.0,22.0
2004-03-11,53.0,36.0
2004-03-12,88.0,30.0
2004-03-13,72.0,32.0
2004-03-14,48.0,27.0
2004-03-15,89.0,25.0
2004-03-16,84.0,30.0
2004-03-17,74.0,30.0
2004-03-18,82.0,31.0
2004-03-19,77.0,39.0
2004-03-20,68.0,41.0
2004-03-21,40.0,33.0
2004-03-22,48.0,34.0
2004-03-23,0.0,0.0
2004-03-24,81.0,27.0
2004-03-25,64.0,35.0
2004-03-26,74.0,25.0
2004-03-27,62.0,40.0
2004-03-28,56.0,21.0
2004-03-29,79.0,35.0
2004-03-30,74.0,29.0
2004-03-31,81.0,28.0
2004-04-01,73.0,81.0
2004-04-02,83.0,62.0
2004-04-03,65.0,40.0
2004-04-04,48.0,45.0
2004-04-05,77.0,38.0
2004-04-06,79.0,36.0
2004-04-07,78.0,31.0
2004-04-08,78.0,43.0
2004-04-09,84.0,32.0
2004-04-10,64.0,36.0
2004-04-11,39.0,39.0
2004-04-12,0.0,0.0
2004-04-13,0.0,0.0
2004-04-14,79.0,45.0
2004-04-15,82.0,35.0
2004-04-16,77.0,38.0
2004-04-17,52.0,32.0
2004-04-18,44.0,44.0
2004-04-19,71.0,30.0
2004-04-20,77.0,28.0
2004-04-21,84.0,37.0
2004-04-22,75.0,40.0
2004-04-23,76.0,36.0
2004-04-24,59.0,33.0
2004-04-25,48.0,40.0
2004-04-26,82.0,33.0
2004-04-27,70.0,37.0
2004-04-28,80.0,39.0
2004-04-29,69.0,51.0
2004-04-30,76.0,72.0
2004-05-01,56.0,57.0
2004-05-02,58.0,47.0
2004-05-03,80.0,41.0
2004-05-04,80.0,41.0
2004-05-05,81.0,38.0
2004-05-06,71.0,40.0
2004-05-07,77.0,41.0
2004-05-08,68.0,39.0
2004-05-09,41.0,39.0
2004-05-10,76.0,41.0
2004-05-11,84.0,33.0
2004-05-12,70.0,35.0
2004-05-13,78.0,34.0
2004-05-14,86.0,32.0
2004-05-15,53.0,35.0
2004-05-16,46.0,42.0
2004-05-17,86.0,30.0
2004-05-18,77.0,38.0
2004-05-19,79.0,38.0
2004-05-20,80.0,38.0
2004-05-21,73.0,33.0
