date,illinois,google,isPartial
2004-01-01,37.0,40.0,False
2004-01-02,53.0,35.0,False
2004-01-03,44.0,39.0,False
2004-01-04,43.0,38.0,False
2004-01-05,36.0,38.0,False
2004-01-06,50.0,35.0,False
2004-01-07,48.0,37.0,False
2004-01-08,51.0,38.0,False
2004-01-09,50.0,29.0,False
2004-01-10,36.0,42.0,False
2004-01-11,40.0,43.0,False
2004-01-12,52.0,38.0,False
2004-01-13,54.0,34.0,False
2004-01-14,50.0,39.0,False
2004-01-15,47.0,38.0,False
2004-01-16,50.0,38.0,False
2004-01-17,39.0,38.0,False
2004-01-18,41.0,39.0,False
2004-01-19,44.0,36.0,False
2004-01-20,51.0,31.0,False
2004-01-21,42.0,31.0,False
2004-01-22,51.0,36.0,False
2004-01-23,50.0,39.0,False
2004-01-24,37.0,41.0,False
2004-01-25,37.0,39.0,False
2004-01-26,54.0,31.0,False
2004-01-27,50.0,33.0,False
2004-01-28,51.0,32.0,False
2004-01-29,48.0,35.0,False
2004-01-30,44.0,34.0,False
2004-01-31,45.0,43.0,False
2004-02-01,38.0,38.0,False
2004-02-02,50.0,32.0,False
2004-02-03,53.0,41.0,False
2004-02-04,46.0,34.0,False
2004-02-05,43.0,40.0,False
2004-02-06,46.0,34.0,False
2004-02-07,34.0,45.0,False
2004-02-08,42.0,36.0,False
2004-02-09,48.0,34.0,False
2004-02-10,52.0,30.0,False
2004-02-11,51.0,38.0,False
2004-02-12,44.0,38.0,False
2004-02-13,44.0,38.0,False
2004-02-14,41.0,35.0,False
2004-02-15,44.0,31.0,False
2004-02-16,53.0,27.0,False
2004-02-17,49.0,26.0,False
2004-02-18,51.0,36.0,False
2004-02-19,52.0,33.0,False
2004-02-20,46.0,35.0,False
2004-02-21,53.0,42.0,False
2004-02-22,43.0,35.0,False
2004-02-23,49.0,37.0,False
2004-02-24,54.0,33.0,False
2004-02-25,51.0,34.0,False
2004-02-26,48.0,33.0,False
2004-02-27,46.0,35.0,False
2004-02-28,40.0,35.0,False
2004-02-29,40.0,37.0,False
2004-03-01,52.0,40.0,False
2004-03-02,49.0,34.0,False
2004-03-03,39.0,35.0,False
2004-03-04,54.0,39.0,False
2004-03-05,40.0,37.0,False
2004-03-06,46.0,37.0,False
2004-03-07,48.0,50.0,False
2004-03-08,0.0,0.0,True
2004-03-09,0.0,0.0,True
2004-03-10,52.0,31.0,False
2004-03-11,45.0,37.0,False
2004-03-12,55.0,37.0,False
2004-03-13,44.0,43.0,False
2004-03-14,48.0,34.0,False
2004-03-15,56.0,34.0,False
2004-03-16,56.0,33.0,False
2004-03-17,58.0,39.0,False
2004-03-18,51.0,42.0,False
2004-03-19,50.0,45.0,False
2004-03-20,46.0,49.0,False
2004-03-21,38.0,40.0,False
2004-03-22,38.0,38.0,False
2004-03-23,0.0,0.0,True
2004-03-24,57.0,35.0,False
2004-03-25,37.0,37.0,False
2004-03-26,49.0,34.0,False
2004-03-27,46.0,42.0,False
2004-03-28,44.0,41.0,False
2004-03-29,55.0,40.0,False
2004-03-30,52.0,42.0,False
2004-03-31,44.0,32.0,False
2004-04-01,53.0,100.0,False
2004-04-02,52.0,68.0,False
2004-04-03,44.0,54.0,False
2004-04-04,42.0,51.0,False
2004-04-05,55.0,43.0,False
2004-04-06,51.0,47.0,False
2004-04-07,51.0,41.0,False
2004-04-08,47.0,46.0,False
2004-04-09,54.0,42.0,False
2004-04-10,40.0,54.0,False
2004-04-11,41.0,43.0,False
2004-04-12,0.0,0.0,True
2004-04-13,0.0,0.0,True
2004-04-14,46.0,39.0,False
2004-04-15,55.0,43.0,False
2004-04-16,47.0,43.0,False
2004-04-17,45.0,51.0,False
2004-04-18,39.0,47.0,False
2004-04-19,54.0,35.0,False
2004-04-20,45.0,39.0,False
2004-04-21,51.0,43.0,False
2004-04-22,50.0,50.0,False
2004-04-23,49.0,44.0,False
2004-04-24,46.0,43.0,False
2004-04-25,37.0,44.0,False
2004-04-26,51.0,48.0,False
2004-04-27,53.0,43.0,False
2004-04-28,52.0,53.0,False
2004-04-29,44.0,68.0,False
2004-04-30,50.0,90.0,False
2004-05-01,38.0,73.0,False
2004-05-02,41.0,63.0,False
