date,return_direction,prediction
2011-01-03,1,0.6127350435689733
2011-01-04,0,0.6182329542297714
2011-01-05,1,0.5707104243947054
2011-01-06,0,0.5870556800036565
2011-01-07,0,0.5956856506285472
2011-01-10,0,0.609859753627838
2011-01-11,1,0.6053518278928007
2011-01-12,1,0.5949281251052784
2011-01-13,0,0.5622290839880575
2011-01-14,1,0.5815577364319284
2011-01-18,1,0.6278507929197129
2011-01-19,0,0.6443934990390738
2011-01-20,0,0.6152724447429648
2011-01-21,1,0.5847449253951128
2011-01-24,1,0.6205377294627453
2011-01-25,1,0.6264628554907298
2011-01-26,1,0.6152545415329909
2011-01-27,1,0.5674145192457472
2011-01-28,0,0.6190102320155406
2011-01-31,1,0.649629921697936
2011-02-01,1,0.7159727157450917
2011-02-02,0,0.6859464349774936
2011-02-03,1,0.5454765288998292
2011-02-04,1,0.653623505952734
2011-02-07,1,0.8022559986860207
2011-02-08,1,0.7226623244075786
2011-02-09,0,0.56133069828722
2011-02-10,1,0.6363636363636364
2011-02-11,1,0.7817115320806394
2011-02-14,1,0.7817532334984877
2011-02-15,0,0.7169279493921649
2011-02-16,1,0.5927353261487113
2011-02-17,1,0.5800851377152673
2011-02-18,1,0.7532513004569641
2011-02-22,0,0.8066763932316735
2011-02-23,0,0.6607142857142857
2011-02-24,0,0.6071428571428571
2011-02-25,1,0.625
2011-02-28,1,0.7321428571428571
2011-03-01,0,0.75
2011-03-02,1,0.5755250592574385
2011-03-03,1,0.6139942794809813
2011-03-04,0,0.6781689192474352
2011-03-07,0,0.7235983412158482
2011-03-08,1,0.709245306519906
2011-03-09,0,0.5509706232967082
2011-03-10,0,0.5762027910971771
2011-03-11,1,0.633292655970561
2011-03-14,0,0.6858062251857595
2011-03-15,0,0.7334656494298188
2011-03-16,0,0.5
2011-03-17,1,0.5178571428571429
2011-03-18,1,0.625
2011-03-21,1,0.5892857142857143
2011-03-22,0,0.42857142857142855
2011-03-23,1,0.5045883759590938
2011-03-24,1,0.5848122316819606
2011-03-25,1,0.7476634144117803
2011-03-28,0,0.56791387439876
2011-03-29,1,0.5712156883128009
2011-03-30,1,0.572305502176414
2011-03-31,0,0.7113229102157766
2011-04-01,1,0.7534953671345231
2011-04-04,1,0.7544572897390218
2011-04-05,0,0.5875887368254165
2011-04-06,1,0.5303447430540458
2011-04-07,0,0.6942594165441478
2011-04-08,0,0.7127362347867896
2011-04-11,0,0.6709803139156647
2011-04-12,0,0.4488066261088024
2011-04-13,1,0.6156266852776655
2011-04-14,1,0.5307217535905275
2011-04-15,1,0.6154037014996058
2011-04-18,0,0.5862379972044871
2011-04-19,1,0.33485975580615013
2011-04-20,1,0.7759346483726148
2011-04-21,1,0.6168558786335838
2011-04-25,0,0.7419064559894389
2011-04-26,1,0.68887911751245
2011-04-27,1,0.615122876663045
2011-04-28,1,0.7819914137898557
2011-04-29,1,0.6642522918060447
2011-05-02,0,0.6573962200862654
2011-05-03,0,0.661099123119661
2011-05-04,0,0.5036697203483352
2011-05-05,0,0.6381370403690858
2011-05-06,1,0.6453092321262636
2011-05-09,1,0.6357966062174587
2011-05-10,1,0.5701679449039243
2011-05-11,0,0.5324036743170232
2011-05-12,1,0.6219202640872746
2011-05-13,0,0.7000008607074231
2011-05-16,0,0.5629371382192256
2011-05-17,0,0.5416948942861767
2011-05-18,1,0.5642503697082923
2011-05-19,1,0.6249494054963034
2011-05-20,0,0.6002147455056338
2011-05-23,0,0.5165412680233403
2011-05-24,0,0.47698114046811474
2011-05-25,1,0.6179861662137103
2011-05-26,1,0.6042558869086844
2011-05-27,1,0.5423536100846923
2011-05-31,1,0.5126512015820276
2011-06-01,0,0.4301949636673444
2011-06-02,0,0.5642583846051589
2011-06-03,0,0.48525615398398764
2011-06-06,0,0.4792847460239714
2011-06-07,0,0.5661846931472535
2011-06-08,0,0.4243105449536088
2011-06-09,1,0.5421589293240022
2011-06-10,0,0.5242352768513759
2011-06-13,1,0.5475860760971054
2011-06-14,1,0.4663150452159342
2011-06-15,0,0.49003520949971285
2011-06-16,1,0.48725623729534867
2011-06-17,1,0.4971837917714206
2011-06-20,1,0.5272292567527831
2011-06-21,1,0.46301408023339863
2011-06-22,0,0.4604768213742572
2011-06-23,0,0.5335275835275836
2011-06-24,0,0.5453946322923219
2011-06-27,1,0.6033297049783959
2011-06-28,1,0.43504727439634305
2011-06-29,1,0.5878847024797911
2011-06-30,1,0.4575804951780342
2011-07-01,1,0.5131372856944295
2011-07-05,0,0.48394019790385856
2011-07-06,1,0.45080503872768
2011-07-07,1,0.5418752745090982
2011-07-08,0,0.5528895326399363
2011-07-11,0,0.5841362083960617
2011-07-12,0,0.5923888960703533
2011-07-13,1,0.5671446496814853
2011-07-14,0,0.6420986061187038
2011-07-15,1,0.5302280985099453
2011-07-18,0,0.472643962920528
2011-07-19,1,0.5352652164591337
2011-07-20,0,0.4280589218497433
2011-07-21,1,0.522428588055919
2011-07-22,1,0.5157168834888877
2011-07-25,0,0.5743683722828472
2011-07-26,0,0.6388745468879272
2011-07-27,0,0.5450298183519273
2011-07-28,0,0.5983800311867201
2011-07-29,0,0.5779633457611105
2011-08-01,0,0.48114187879399395
2011-08-02,0,0.44281535416538137
2011-08-03,1,0.5424822532687624
2011-08-04,0,0.5314352997695476
2011-08-05,0,0.39722182051990995
2011-08-08,0,0.44463394972222203
2011-08-09,1,0.47560300697952523
2011-08-10,0,0.5199205461244449
2011-08-11,1,0.37306618855433943
2011-08-12,1,0.40552229109921417
2011-08-15,1,0.46326300167763584
2011-08-16,0,0.436566606064574
2011-08-17,1,0.42789399887401514
2011-08-18,0,0.4737748813485365
2011-08-19,0,0.42950058072009284
2011-08-22,1,0.41918021108191966
2011-08-23,1,0.4391493672903547
2011-08-24,1,0.5204753550581247
2011-08-25,0,0.41136945940816816
2011-08-26,1,0.367741177595203
2011-08-29,1,0.48022925921515197
2011-08-30,1,0.5422686902889178
2011-08-31,1,0.5815828780836246
2011-09-01,0,0.5003905570972474
2011-09-02,0,0.5035844778609513
2011-09-06,0,0.5046867208629253
2011-09-07,1,0.5226320574443851
2011-09-08,0,0.6971910383023509
2011-09-09,0,0.48220287588757066
2011-09-12,1,0.41365750221151093
2011-09-13,1,0.5512337656165118
2011-09-14,1,0.5304763686159053
2011-09-15,1,0.4838755654963879
2011-09-16,1,0.5266077129979643
2011-09-19,0,0.5319187298002722
2011-09-20,0,0.5665290337361736
2011-09-21,0,0.5454254841924425
