date,return_direction,prediction
2005-01-03,0,0.5943412318795723
2005-01-04,0,0.5129867722990757
2005-01-05,0,0.45535606030254516
2005-01-06,1,0.5193377257786865
2005-01-07,0,0.6181600781368566
2005-01-10,1,0.507601107595361
2005-01-11,0,0.5656678222670753
2005-01-12,1,0.501632761497586
2005-01-13,1,0.5562444902685922
2005-01-14,1,0.628932105376124
2005-01-18,1,0.5151872735349667
2005-01-19,0,0.5430520826257641
2005-01-20,0,0.4982810461252074
2005-01-21,1,0.5251222119862552
2005-01-24,1,0.5569349704233398
2005-01-25,1,0.5462417637736373
2005-01-26,1,0.5325319418205023
2005-01-27,1,0.5577107337000025
2005-01-28,0,0.6600591723555149
2005-01-31,1,0.5437129397528533
2005-02-01,1,0.5821053595791572
2005-02-02,1,0.4867151406390127
2005-02-03,1,0.5304656281186748
2005-02-04,1,0.6507761683987499
2005-02-07,0,0.5180081705354166
2005-02-08,1,0.5719914053109996
2005-02-09,0,0.4856953655331951
2005-02-10,1,0.5214723073490036
2005-02-11,1,0.6192045726042537
2005-02-14,0,0.5199656326778476
2005-02-15,1,0.5279351012510946
2005-02-16,1,0.49583321736154934
2005-02-17,0,0.5369042761044511
2005-02-18,1,0.6164758642450524
2005-02-22,0,0.5227859899232034
2005-02-23,1,0.4961879939333492
2005-02-24,1,0.4744428035791404
2005-02-25,1,0.5409734432144468
2005-02-28,0,0.5728978022334784
2005-03-01,0,0.5011248977528573
2005-03-02,1,0.4702195383103656
2005-03-03,1,0.5574205437122586
2005-03-04,1,0.5575439862902003
2005-03-07,0,0.5975545057191003
2005-03-08,0,0.5054599743856403
2005-03-09,0,0.46417278323739564
2005-03-10,0,0.5142855508292093
2005-03-11,1,0.5832518884711752
2005-03-14,1,0.5477094915173873
2005-03-15,0,0.5704738155976199
2005-03-16,1,0.5002081270041726
2005-03-17,1,0.5307565753374598
2005-03-18,1,0.5882127151375453
2005-03-21,0,0.5364148854719017
2005-03-22,0,0.4972706979639849
2005-03-23,0,0.5200760881538129
2005-03-24,1,0.5392862678049164
2005-03-28,1,0.6226858802985772
2005-03-29,0,0.4829607470225637
2005-03-30,1,0.5313186717882401
2005-03-31,1,0.5283066354465056
2005-04-01,1,0.5492947557180965
2005-04-04,0,0.634966843211588
2005-04-05,0,0.4910472632526136
2005-04-06,1,0.44033688361023465
2005-04-07,0,0.518932659531184
2005-04-08,0,0.6305715366922153
2005-04-11,1,0.5272264199693352
2005-04-12,0,0.5731417126079732
2005-04-13,0,0.49907172553261603
2005-04-14,0,0.5340165132911177
2005-04-15,0,0.5262740691436636
2005-04-18,1,0.5745603274598466
2005-04-19,1,0.6063077531203762
2005-04-20,0,0.5156246845659471
2005-04-21,1,0.5707835922744431
2005-04-22,0,0.6265564721630817
2005-04-25,1,0.5200783469101462
2005-04-26,0,0.4582300816165577
2005-04-27,0,0.47761570655907876
2005-04-28,0,0.5602742773633281
2005-04-29,1,0.5934513624130192
2005-05-02,1,0.4746080591905766
2005-05-03,0,0.5607001195589535
2005-05-04,1,0.5990564862037945
2005-05-05,1,0.5095263027920747
2005-05-06,1,0.6138100690698203
2005-05-09,1,0.5291417650071703
2005-05-10,0,0.48181303858795077
2005-05-11,1,0.49425964165976655
2005-05-12,0,0.5562581889643261
2005-05-13,0,0.648519609472753
2005-05-16,0,0.5192817100962741
2005-05-17,1,0.5127025289815128
2005-05-18,1,0.5050179203941575
2005-05-19,1,0.5295402101097958
2005-05-20,0,0.6158201796849042
2005-05-23,1,0.5014946986938149
2005-05-24,1,0.5495516916747601
2005-05-25,1,0.4931236325686632
2005-05-26,1,0.5583556340881015
2005-05-27,1,0.6231151376461794
2005-05-31,0,0.497303261680185
2005-06-01,1,0.444549820663378
2005-06-02,1,0.5296999599960203
2005-06-03,1,0.5911063653980864
2005-06-06,1,0.6451228020580652
2005-06-07,0,0.5046940187608929
2005-06-08,1,0.5050536174703483
2005-06-09,1,0.5260927337453507
2005-06-10,1,0.5828607418509236
2005-06-13,1,0.5730887960523355
2005-06-14,1,0.5061111204214521
2005-06-15,1,0.47819925859378626
2005-06-16,1,0.5414601680048609
2005-06-17,1,0.6133646573209157
2005-06-20,0,0.5271733085730798
2005-06-21,0,0.5600988031605939
2005-06-22,1,0.45460028715513673
2005-06-23,1,0.5172612837939962
2005-06-24,0,0.6300402837016806
2005-06-27,1,0.5051004210809417
2005-06-28,0,0.5227908248413271
2005-06-29,1,0.48571713807447897
2005-06-30,0,0.5698070013132369
2005-07-01,1,0.5825701033910236
2005-07-05,1,0.466858119457038
2005-07-06,0,0.5367080461483301
2005-07-07,1,0.5246810323930101
2005-07-08,0,0.5900970079885907
2005-07-11,1,0.6128161080145015
2005-07-12,1,0.5275593280472849
2005-07-13,0,0.48145771267675563
2005-07-14,0,0.5121227003356925
2005-07-15,0,0.599887368856462
2005-07-18,0,0.6020536979949367
2005-07-19,1,0.5973045299114631
2005-07-20,1,0.49367303011559194
2005-07-21,0,0.522417518496758
2005-07-22,1,0.6382214509786305
2005-07-25,1,0.49872355861142686
2005-07-26,1,0.5825351389185159
2005-07-27,1,0.4471001578834651
2005-07-28,1,0.522630036669916
2005-07-29,0,0.6056031682409018
2005-08-01,1,0.4938505977222795
2005-08-02,1,0.5654737966147892
2005-08-03,0,0.5199131444546925
2005-08-04,1,0.5253360160447708
2005-08-05,0,0.632722933117508
2005-08-08,1,0.5251433716280511
2005-08-09,0,0.5283676188973285
2005-08-10,1,0.49908155137518884
2005-08-11,1,0.4717709418122201
2005-08-12,0,0.595278941432097
