date,Recruitment
2004-01-04,82.0
2004-01-11,94.0
2004-01-18,89.0
2004-01-25,90.0
2004-02-01,97.0
2004-02-08,95.0
2004-02-15,94.0
2004-02-22,97.0
2004-02-29,94.0
2004-03-07,100.0
2004-03-14,79.0
2004-03-21,75.0
2004-03-28,83.0
2004-04-04,96.0
2004-04-11,96.0
2004-04-18,88.0
2004-04-25,89.0
2004-05-02,85.0
2004-05-09,75.0
2004-05-16,79.0
2004-05-23,81.0
2004-05-30,80.0
2004-06-06,93.0
2004-06-13,78.0
2004-06-20,84.0
2004-06-27,77.0
2004-07-04,93.0
2004-07-11,93.0
2004-07-18,88.0
2004-07-25,83.0
2004-08-01,91.0
2004-08-08,80.0
2004-08-15,84.0
2004-08-22,83.0
2004-08-29,77.0
2004-09-05,72.0
2004-09-12,85.0
2004-09-19,95.0
2004-09-26,91.0
2004-10-03,87.0
2004-10-10,81.0
2004-10-17,83.0
2004-10-24,89.0
2004-10-31,75.0
2004-11-07,80.0
2004-11-14,87.0
2004-11-21,79.0
2004-11-28,76.0
2004-12-05,75.0
2004-12-12,66.0
2004-12-19,60.0
2004-12-26,74.0
2005-01-02,84.0
2005-01-09,94.0
2005-01-16,100.0
2005-01-23,99.0
2005-01-30,93.0
2005-02-06,86.0
2005-02-13,86.0
2005-02-20,91.0
2005-02-27,92.0
2005-03-06,91.0
2005-03-13,93.0
2005-03-20,88.0
2005-03-27,96.0
2005-04-03,81.0
2005-04-10,94.0
2005-04-17,86.0
2005-04-24,100.0
2005-05-01,87.0
2005-05-08,97.0
2005-05-15,86.0
2005-05-22,89.0
2005-05-29,84.0
2005-06-05,89.0
2005-06-12,96.0
2005-06-19,94.0
2005-06-26,94.0
2005-07-03,86.0
2005-07-10,92.0
2005-07-17,86.0
2005-07-24,92.0
2005-07-31,86.0
2005-08-07,79.0
2005-08-14,85.0
2005-08-21,84.0
2005-08-28,87.0
2005-09-04,83.0
2005-09-11,83.0
2005-09-18,87.0
2005-09-25,83.0
2005-10-02,84.0
2005-10-09,89.0
2005-10-16,89.0
2005-10-23,81.0
2005-10-30,84.0
2005-11-06,93.0
2005-11-13,84.0
2005-11-20,74.0
2005-11-27,77.0
2005-12-04,75.0
2005-12-11,75.0
2005-12-18,62.0
2005-12-25,62.0
2006-01-01,84.0
2006-01-08,97.0
2006-01-15,95.0
2006-01-22,94.0
2006-01-29,99.0
2006-02-05,87.0
2006-02-12,87.0
2006-02-19,87.0
2006-02-26,85.0
2006-03-05,100.0
2006-03-12,88.0
2006-03-19,87.0
2006-03-26,85.0
2006-04-02,91.0
2006-04-09,81.0
2006-04-16,90.0
2006-04-23,93.0
2006-04-30,89.0
2006-05-07,89.0
2006-05-14,92.0
2006-05-21,87.0
2006-05-28,89.0
2006-06-04,88.0
2006-06-11,84.0
2006-06-18,85.0
2006-06-25,87.0
2006-07-02,81.0
2006-07-09,88.0
2006-07-16,96.0
2006-07-23,94.0
2006-07-30,94.0
2006-08-06,90.0
2006-08-13,87.0
2006-08-20,82.0
2006-08-27,83.0
2006-09-03,83.0
2006-09-10,86.0
2006-09-17,85.0
2006-09-24,87.0
2006-10-01,78.0
2006-10-08,92.0
2006-10-15,82.0
2006-10-22,85.0
2006-10-29,89.0
2006-11-05,79.0
2006-11-12,80.0
2006-11-19,65.0
2006-11-26,81.0
2006-12-03,72.0
2006-12-10,73.0
2006-12-17,63.0
2006-12-24,60.0
2006-12-31,81.0
2007-01-07,83.0
2007-01-14,84.0
2007-01-21,93.0
2007-01-28,84.0
2007-02-04,81.0
2007-02-11,74.0
2007-02-18,76.0
2007-02-25,80.0
2007-03-04,80.0
2007-03-11,80.0
2007-03-18,78.0
2007-03-25,84.0
2007-04-01,82.0
2007-04-08,83.0
2007-04-15,78.0
2007-04-22,82.0
2007-04-29,77.0
2007-05-06,80.0
2007-05-13,85.0
2007-05-20,84.0
2007-05-27,80.0
2007-06-03,84.0
2007-06-10,83.0
2007-06-17,89.0
2007-06-24,100.0
2007-07-01,80.0
2007-07-08,96.0
2007-07-15,89.0
2007-07-22,97.0
2007-07-29,84.0
2007-08-05,94.0
2007-08-12,89.0
2007-08-19,86.0
2007-08-26,86.0
2007-09-02,90.0
2007-09-09,94.0
2007-09-16,93.0
2007-09-23,91.0
2007-09-30,95.0
2007-10-07,87.0
2007-10-14,94.0
2007-10-21,90.0
2007-10-28,90.0
2007-11-04,88.0
2007-11-11,96.0
2007-11-18,74.0
2007-11-25,84.0
2007-12-02,85.0
2007-12-09,79.0
2007-12-16,62.0
2007-12-23,54.0
2007-12-30,67.0
2008-01-06,91.0
2008-01-13,87.0
2008-01-20,82.0
2008-01-27,90.0
2008-02-03,97.0
2008-02-10,81.0
2008-02-17,85.0
2008-02-24,91.0
2008-03-02,85.0
2008-03-09,81.0
2008-03-16,82.0
2008-03-23,86.0
2008-03-30,85.0
2008-04-06,91.0
2008-04-13,90.0
2008-04-20,84.0
2008-04-27,81.0
2008-05-04,80.0
2008-05-11,84.0
2008-05-18,87.0
2008-05-25,91.0
2008-06-01,96.0
2008-06-08,88.0
2008-06-15,87.0
2008-06-22,100.0
2008-06-29,89.0
2008-07-06,93.0
2008-07-13,93.0
2008-07-20,95.0
2008-07-27,90.0
2008-08-03,83.0
2008-08-10,91.0
2008-08-17,92.0
2008-08-24,90.0
2008-08-31,85.0
2008-09-07,93.0
2008-09-14,92.0
2008-09-21,96.0
2008-09-28,90.0
2008-10-05,92.0
2008-10-12,94.0
2008-10-19,95.0
2008-10-26,95.0
2008-11-02,88.0
2008-11-09,99.0
2008-11-16,97.0
2008-11-23,77.0
2008-11-30,91.0
2008-12-07,77.0
2008-12-14,67.0
2008-12-21,54.0
2008-12-28,66.0
2009-01-04,99.0
2009-01-11,95.0
2009-01-18,91.0
2009-01-25,97.0
2009-02-01,100.0
2009-02-08,88.0
2009-02-15,89.0
2009-02-22,88.0
2009-03-01,87.0
2009-03-08,88.0
2009-03-15,86.0
2009-03-22,90.0
2009-03-29,87.0
2009-04-05,84.0
2009-04-12,86.0
2009-04-19,87.0
2009-04-26,85.0
2009-05-03,82.0
2009-05-10,87.0
2009-05-17,89.0
2009-05-24,88.0
2009-05-31,93.0
2009-06-07,96.0
2009-06-14,99.0
2009-06-21,94.0
2009-06-28,85.0
2009-07-05,98.0
2009-07-12,99.0
2009-07-19,97.0
2009-07-26,97.0
2009-08-02,87.0
2009-08-09,96.0
2009-08-16,93.0
2009-08-23,89.0
2009-08-30,91.0
2009-09-06,87.0
2009-09-13,91.0
2009-09-20,92.0
2009-09-27,91.0
2009-10-04,91.0
2009-10-11,91.0
2009-10-18,95.0
2009-10-25,87.0
2009-11-01,90.0
2009-11-08,93.0
2009-11-15,95.0
2009-11-22,76.0
2009-11-29,84.0
2009-12-06,72.0
2009-12-13,68.0
2009-12-20,49.0
2009-12-27,68.0
2010-01-03,92.0
2010-01-10,87.0
2010-01-17,87.0
2010-01-24,87.0
2010-01-31,89.0
2010-02-07,76.0
2010-02-14,84.0
2010-02-21,83.0
2010-02-28,84.0
2010-03-07,82.0
2010-03-14,83.0
2010-03-21,87.0
2010-03-28,87.0
2010-04-04,88.0
2010-04-11,88.0
2010-04-18,88.0
2010-04-25,90.0
2010-05-02,82.0
2010-05-09,92.0
2010-05-16,91.0
2010-05-23,92.0
2010-05-30,89.0
2010-06-06,94.0
2010-06-13,94.0
2010-06-20,96.0
2010-06-27,90.0
2010-07-04,100.0
2010-07-11,94.0
2010-07-18,85.0
2010-07-25,91.0
2010-08-01,88.0
2010-08-08,96.0
2010-08-15,93.0
2010-08-22,92.0
2010-08-29,85.0
2010-09-05,85.0
2010-09-12,96.0
2010-09-19,82.0
2010-09-26,86.0
2010-10-03,89.0
2010-10-10,85.0
2010-10-17,87.0
2010-10-24,81.0
2010-10-31,82.0
2010-11-07,78.0
2010-11-14,83.0
2010-11-21,72.0
2010-11-28,74.0
