ticker,FE UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7548
2000-01-04,0.0
2000-01-05,3.6827
2000-01-06,0.2732
2000-01-07,0.545
2000-01-10,0.271
2000-01-11,1.0811
2000-01-12,0.2674
2000-01-13,-0.2667
2000-01-14,-0.5348
2000-01-18,-1.6129
2000-01-19,-0.2732
2000-01-20,-0.274
2000-01-21,1.0989
2000-01-24,0.5435
2000-01-25,-1.3514
2000-01-26,1.3699
2000-01-27,0.0
2000-01-28,-1.8919000000000001
2000-01-31,0.2755
2000-02-01,0.8242
2000-02-02,-0.2725
2000-02-03,1.6393
2000-02-04,-2.459
2000-02-07,-1.4006
2000-02-08,0.5682
2000-02-09,0.8475
2000-02-10,-1.4006
2000-02-11,-1.4205
2000-02-14,-0.2882
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-2.8902
2000-02-18,-2.6786
2000-02-22,-2.7523
2000-02-23,1.2579
2000-02-24,-2.795
2000-02-25,-2.8754
2000-02-28,0.9868
2000-02-29,-2.6059
2000-03-01,1.6722000000000001
2000-03-02,-0.3289
2000-03-03,1.3201
2000-03-06,-3.5831
2000-03-07,-1.6892
2000-03-08,0.0
2000-03-09,1.7182
2000-03-10,-1.0135
2000-03-13,-0.6826
2000-03-14,1.0309
2000-03-15,3.7415000000000003
2000-03-16,5.5738
2000-03-17,-3.1056
2000-03-20,0.3205
2000-03-21,1.278
2000-03-22,-1.5773000000000001
2000-03-23,0.0
2000-03-24,2.5641
2000-03-27,0.3125
2000-03-28,-1.8692
2000-03-29,2.2222
2000-03-30,2.1739
2000-03-31,0.304
2000-04-03,2.1212
2000-04-04,1.7804
2000-04-05,2.9154999999999998
2000-04-06,-0.8499
2000-04-07,-1.1429
2000-04-10,0.8671
2000-04-11,1.7191999999999998
2000-04-12,3.662
2000-04-13,5.9783
2000-04-14,-0.7692
2000-04-17,2.584
2000-04-18,1.5112999999999999
2000-04-19,-1.9851
2000-04-20,-1.0127
2000-04-24,5.3708
2000-04-25,1.6989999999999998
2000-04-26,2.148
2000-04-27,-3.5047
2000-04-28,-1.4527999999999999
2000-05-01,-0.9828
2000-05-02,-0.4963
2000-05-03,-0.7481
2000-05-04,-0.5102
2000-05-05,-1.7949000000000002
2000-05-08,2.0888
2000-05-09,-0.2558
2000-05-10,0.0
2000-05-11,0.7692
2000-05-12,-1.7812000000000001
2000-05-15,2.3316
2000-05-16,-0.5063
2000-05-17,-3.3079
2000-05-18,2.8947000000000003
2000-05-19,1.2788
