ticker,GPN UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-17,0.0
2001-01-18,10.0
2001-01-19,3.7879
2001-01-22,7.2993
2001-01-23,2.0408
2001-01-24,-1.3333
2001-01-25,1.3514
2001-01-26,-1.3333
2001-01-29,1.0811
2001-01-30,-0.5348
2001-01-31,0.8065
2001-02-01,11.4667
2001-02-02,-0.3349
2001-02-05,-3.9846
2001-02-06,-1.25
2001-02-07,1.2658
2001-02-08,-2.5
2001-02-09,1.2821
2001-02-12,-2.2785
2001-02-13,-0.2591
2001-02-14,-0.8831
2001-02-15,-4.0881
2001-02-16,-1.2568
2001-02-20,0.1107
2001-02-21,-0.0553
2001-02-22,-0.2765
2001-02-23,2.3295
2001-02-26,2.981
2001-02-27,-0.5263
2001-02-28,0.5291
2001-03-01,-1.3158
2001-03-02,0.0533
2001-03-05,1.3326
2001-03-06,-1.1047
2001-03-07,1.0106
2001-03-08,-1.0005
2001-03-09,-0.1064
2001-03-12,-0.426
2001-03-13,-1.3369
2001-03-14,-2.981
2001-03-15,-2.6257
2001-03-16,-0.459
2001-03-19,-0.8646
2001-03-20,-0.5814
2001-03-21,-2.6316
2001-03-22,7.2072
2001-03-23,2.521
2001-03-26,1.0929
2001-03-27,-0.8108
2001-03-28,-2.7248
2001-03-29,-3.0812
2001-03-30,6.9364
2001-04-02,-3.7838000000000003
2001-04-03,1.1236
2001-04-04,-0.0556
2001-04-05,0.7226
2001-04-06,4.0287
2001-04-09,-1.2732
2001-04-10,2.3643
2001-04-11,9.7113
2001-04-12,6.9378
2001-04-16,-3.8031
2001-04-17,0.0
2001-04-18,-1.0233
2001-04-19,-0.188
2001-04-20,-1.1299
2001-04-23,-0.4762
2001-04-24,0.0
2001-04-25,0.7177
2001-04-26,-0.3325
2001-04-27,0.0953
2001-04-30,0.7143
2001-05-01,12.8132
2001-05-02,2.5147
2001-05-03,-1.8806
2001-05-04,-0.0833
2001-05-07,1.7098
2001-05-08,3.198
2001-05-09,-3.6551
2001-05-10,-2.3093
2001-05-11,-2.8704
2001-05-14,4.6067
2001-05-15,2.7835
2001-05-16,1.417
2001-05-17,4.1916
2001-05-18,-0.3831
2001-05-21,1.1538
2001-05-22,0.7605
2001-05-23,-2.2641999999999998
2001-05-24,-3.0888
2001-05-25,1.1952
2001-05-29,0.1969
2001-05-30,2.0039
2001-05-31,1.3096999999999999
2001-06-01,-0.9506
2001-06-04,2.8791
2001-06-05,1.1194
2001-06-06,0.0369
2001-06-07,1.5124
