ticker,CERN UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.8095
2000-01-04,-1.8349
2000-01-05,0.0
2000-01-06,-0.6231
2000-01-07,1.8809
2000-01-10,3.3846
2000-01-11,7.7381
2000-01-12,-3.0387
2000-01-13,1.1396
2000-01-14,8.7324
2000-01-18,-2.5907
2000-01-19,-8.7766
2000-01-20,-0.2915
2000-01-21,-2.4854
2000-01-24,-5.2474
2000-01-25,-5.0633
2000-01-26,-2.0
2000-01-27,6.1224
2000-01-28,9.9359
2000-01-31,-7.2886
2000-02-01,3.4591
2000-02-02,8.8146
2000-02-03,3.6313
2000-02-04,2.965
2000-02-07,6.8063
2000-02-08,-3.799
2000-02-09,-2.1656
2000-02-10,3.125
2000-02-11,0.0
2000-02-14,21.2121
2000-02-15,5.8333
2000-02-16,-6.4961
2000-02-17,3.3684
2000-02-18,-4.6843
2000-02-22,2.1368
2000-02-23,4.6025
2000-02-24,3.4
2000-02-25,4.0619
2000-02-28,-0.7435
2000-02-29,6.1798
2000-03-01,-4.2328
2000-03-02,4.2357
2000-03-03,7.4205
2000-03-06,-5.4276
2000-03-07,-6.4348
2000-03-08,-3.1599
2000-03-09,0.9597
2000-03-10,-1.1407
2000-03-13,-1.5385
2000-03-14,-10.5469
2000-03-15,4.3668
2000-03-16,1.8828
2000-03-17,0.0
2000-03-20,-7.1869
2000-03-21,-8.1858
2000-03-22,-1.6867
2000-03-23,0.9804
2000-03-24,7.0388
2000-03-27,-1.8141
2000-03-28,-0.4619
2000-03-29,-1.1601
2000-03-30,-1.8779
2000-03-31,3.3493
2000-04-03,-2.3148
2000-04-04,-7.346
2000-04-05,2.046
2000-04-06,0.2506
2000-04-07,28.0
2000-04-10,-16.0156
2000-04-11,1.1628
2000-04-12,-1.6092
2000-04-13,-1.8692
2000-04-14,-7.381
2000-04-17,-2.8278
2000-04-18,6.8783
2000-04-19,6.6832
2000-04-20,-7.1926
2000-04-24,-9.5
2000-04-25,4.4199
2000-04-26,-4.2328
2000-04-27,2.7624
2000-04-28,-5.1075
2000-05-01,21.5297
2000-05-02,-12.3543
2000-05-03,1.0638
2000-05-04,2.1053
2000-05-05,-0.7732
2000-05-08,-9.0909
2000-05-09,5.7143
2000-05-10,-4.5946
2000-05-11,8.4986
2000-05-12,-1.5666
2000-05-15,6.6312999999999995
2000-05-16,-6.2189
2000-05-17,-2.122
2000-05-18,-0.271
2000-05-19,0.0
2000-05-22,4.3478
2000-05-23,-3.6458
