ticker,SLM UQ Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-13,0.936
2011-12-14,0.3091
2011-12-15,2.3112
2011-12-16,0.9789
2011-12-19,-2.3117
2011-12-20,3.6641
2011-12-21,-0.5155
2011-12-22,1.1843
2011-12-23,1.3899
2011-12-27,-2.1645
2011-12-28,-0.59
2011-12-29,0.5935
2011-12-30,-1.1799
2012-01-03,2.6866
2012-01-04,-2.2529
2012-01-05,1.7844
2012-01-06,0.6574
2012-01-09,0.2177
2012-01-10,-0.2896
2012-01-11,-0.0726
2012-01-12,-0.436
2012-01-13,-0.438
2012-01-17,0.0
2012-01-18,4.6188
2012-01-19,1.9622000000000002
2012-01-20,0.4811
2012-01-23,-0.342
2012-01-24,0.0686
2012-01-25,0.2743
2012-01-26,2.5991999999999997
2012-01-27,0.8667
2012-01-30,-1.1236
2012-01-31,-0.0668
2012-02-01,2.408
2012-02-02,1.1757
2012-02-03,3.2279
2012-02-06,-0.7192
2012-02-07,-0.3465
2012-02-08,-0.3793
2012-02-09,0.9518
2012-02-10,-0.1886
2012-02-13,0.8186
2012-02-14,0.3748
2012-02-15,-0.8712
2012-02-16,0.5022
2012-02-17,0.812
2012-02-21,0.8055
2012-02-22,-0.3688
2012-02-23,0.9254
2012-02-24,-1.0391
2012-02-27,0.2471
2012-02-28,-0.2465
2012-02-29,-1.8839000000000001
2012-03-01,3.0457
2012-03-02,-0.8005
2012-03-05,-0.807
2012-03-06,-2.1902
2012-03-07,2.1753
2012-03-08,1.1897
2012-03-09,1.2376
2012-03-12,-0.5501
2012-03-13,1.8439
2012-03-14,-2.8365
2012-03-15,0.3106
2012-03-16,0.743
2012-03-19,1.4136
2012-03-20,-0.1818
2012-03-21,-1.0929
2012-03-22,-1.7187999999999999
2012-03-23,0.6871
2012-03-26,1.0546
2012-03-27,-1.6575
2012-03-28,-0.9988
2012-03-29,-0.0631
2012-03-30,-0.5678
2012-04-02,0.3173
2012-04-03,0.1898
2012-04-04,-2.4621
2012-04-05,-1.2298
2012-04-09,-0.8519
2012-04-10,-1.8506
2012-04-11,0.5387
2012-04-12,2.0094
2012-04-13,-2.4951
2012-04-16,0.0
2012-04-17,1.4141
2012-04-18,-0.7304
2012-04-19,-0.2676
2012-04-20,1.1402
2012-04-23,-1.061
2012-04-24,0.3351
2012-04-25,-0.8016
2012-04-26,0.0673
2012-04-27,0.0
2012-04-30,-0.2019
2012-05-01,-0.5394
2012-05-02,-2.0339
2012-05-03,-1.7301
