ticker,PCAR UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8336000000000001
2000-01-04,-4.5977
2000-01-05,4.0663
2000-01-06,-1.3025
2000-01-07,3.8123
2000-01-10,4.096
2000-01-11,-7.4627
2000-01-12,-1.173
2000-01-13,3.5608
2000-01-14,0.2865
2000-01-18,1.4285999999999999
2000-01-19,-0.7042
2000-01-20,-2.4112999999999998
2000-01-21,0.0
2000-01-24,-3.9244
2000-01-25,1.059
2000-01-26,-1.7964
2000-01-27,2.1341
2000-01-28,-4.1791
2000-01-31,3.271
2000-02-01,2.2624
2000-02-02,-1.7699
2000-02-03,2.1021
2000-02-04,-1.1764999999999999
2000-02-07,0.744
2000-02-08,1.7725
2000-02-09,-1.1611
2000-02-10,0.7342
2000-02-11,-1.1297
2000-02-14,2.3222
2000-02-15,0.1441
2000-02-16,3.8561
2000-02-17,0.2789
2000-02-18,-0.4172
2000-02-22,1.1173
2000-02-23,-1.5192999999999999
2000-02-24,-1.5428
2000-02-25,-2.2792
2000-02-28,-1.0204
2000-02-29,1.4727999999999999
2000-03-01,0.0
2000-03-02,-0.4354
2000-03-03,11.9534
2000-03-06,-10.2865
2000-03-07,-4.9347
2000-03-08,4.4275
2000-03-09,0.731
2000-03-10,-1.1611
2000-03-13,-1.1747
2000-03-14,0.5944
2000-03-15,6.2038
2000-03-16,9.3185
2000-03-17,-3.0534
2000-03-20,-2.4934
2000-03-21,4.3069
2000-03-22,-3.2258
2000-03-23,4.4
2000-03-24,-1.0217
2000-03-27,-1.0323
2000-03-28,-3.1291
2000-03-29,2.288
2000-03-30,0.9211
2000-03-31,4.3025
2000-04-03,-0.25
2000-04-04,5.7644
2000-04-05,-3.7915
2000-04-06,-1.3547
2000-04-07,-6.3358
2000-04-10,1.2995999999999999
2000-04-11,4.6053
2000-04-12,-1.0063
2000-04-13,-3.4307
2000-04-14,-5.7895
2000-04-17,4.6089
2000-04-18,0.1335
2000-04-19,-4.8
2000-04-20,-0.2801
2000-04-24,1.264
2000-04-25,3.0513
2000-04-26,-1.2113
2000-04-27,2.4523
2000-04-28,1.1968
2000-05-01,-0.5256
2000-05-02,-7.3976
2000-05-03,-3.281
2000-05-04,2.9499
2000-05-05,-0.4298
2000-05-08,0.4317
2000-05-09,1.5758999999999999
2000-05-10,-2.6798
2000-05-11,0.2899
2000-05-12,1.1561
2000-05-15,1.8571
2000-05-16,0.533
2000-05-17,-1.9663
2000-05-18,-1.1461000000000001
2000-05-19,-0.5797
