ticker,CA UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0894
2000-01-04,-2.5
2000-01-05,-7.6923
2000-01-06,-5.1587
2000-01-07,-1.6736
2000-01-10,6.7021
2000-01-11,4.3868
2000-01-12,4.7755
2000-01-13,-4.1933
2000-01-14,-0.1903
2000-01-18,-2.2879
2000-01-19,-0.0976
2000-01-20,8.1055
2000-01-21,2.439
2000-01-24,3.7037
2000-01-25,1.8707
2000-01-26,-0.4174
2000-01-27,-2.4308
2000-01-28,-5.1546
2000-01-31,-0.4529
2000-02-01,2.4568
2000-02-02,0.8881
2000-02-03,-0.7042
2000-02-04,0.3546
2000-02-07,-2.0318
2000-02-08,1.8034
2000-02-09,-0.4429
2000-02-10,-2.3132
2000-02-11,1.6393
2000-02-14,-0.6272
2000-02-15,4.9594000000000005
2000-02-16,0.0
2000-02-17,-0.5155
2000-02-18,-1.5544
2000-02-22,-2.2807
2000-02-23,-2.6032
2000-02-24,0.0
2000-02-25,-2.9493
2000-02-28,-1.6143999999999998
2000-02-29,-0.6757
2000-03-01,3.1098
2000-03-02,-2.1678
2000-03-03,0.4817
2000-03-06,-2.1093
2000-03-07,-1.2732999999999999
2000-03-08,-4.3651
2000-03-09,9.5436
2000-03-10,0.7576
2000-03-13,-2.5376
2000-03-14,-3.9537
2000-03-15,0.9036
2000-03-16,1.8904999999999998
2000-03-17,2.4414
2000-03-20,-0.572
2000-03-21,1.2464
2000-03-22,0.0947
2000-03-23,-1.0407
2000-03-24,0.956
2000-03-27,-0.8523
2000-03-28,-3.7249
2000-03-29,-2.3810000000000002
2000-03-30,-7.1138
2000-03-31,3.6105
2000-04-03,-1.3728
2000-04-04,-2.3555
2000-04-05,0.1096
2000-04-06,2.4096
2000-04-07,6.8449
2000-04-10,-4.004
2000-04-11,-0.7299
2000-04-12,-6.8277
2000-04-13,-0.3382
2000-04-14,-4.7511
2000-04-17,-0.4751
2000-04-18,-1.6705999999999999
2000-04-19,-2.6699
2000-04-20,3.8653
2000-04-24,-3.9616
2000-04-25,1.875
2000-04-26,7.7301
2000-04-27,1.0251
2000-04-28,0.6764
2000-05-01,-1.5676999999999999
2000-05-02,-3.413
2000-05-03,-5.7715
2000-05-04,2.125
2000-05-05,3.9168
2000-05-08,-12.1319
2000-05-09,-1.6086
2000-05-10,-2.9973
2000-05-11,15.7303
2000-05-12,-3.8834999999999997
2000-05-15,2.904
2000-05-16,7.9755
2000-05-17,-2.6136
2000-05-18,-3.3839
