ticker,AWK UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-24,1.0194
2008-04-25,1.7299
2008-04-28,-0.803
2008-04-29,0.3333
2008-04-30,0.0
2008-05-01,3.9867
2008-05-02,0.4564
2008-05-05,-0.4543
2008-05-06,-1.6431
2008-05-07,-1.5777
2008-05-08,0.1886
2008-05-09,1.9765000000000001
2008-05-12,-0.7845
2008-05-13,-0.8372
2008-05-14,-0.0938
2008-05-15,-0.6573
2008-05-16,2.1739
2008-05-19,0.6013
2008-05-20,-0.4598
2008-05-21,-2.2633
2008-05-22,0.8979
2008-05-23,-0.9836
2008-05-27,0.4257
2008-05-28,0.8479
2008-05-29,-1.6348
2008-05-30,2.0893
2008-06-02,0.4651
2008-06-03,-1.2963
2008-06-04,1.1726
2008-06-05,1.0663
2008-06-06,1.3761
2008-06-09,1.0407
2008-06-10,-2.1496
2008-06-11,-0.6407
2008-06-12,0.6449
2008-06-13,2.4714
2008-06-16,1.6078999999999999
2008-06-17,1.8901
2008-06-18,-0.604
2008-06-19,-0.651
2008-06-20,0.4806
2008-06-23,-1.087
2008-06-24,0.5714
2008-06-25,2.1416
2008-06-26,-3.2092
2008-06-27,-0.4421
2008-06-30,-1.5098
2008-07-01,3.156
2008-07-02,-1.0052
2008-07-03,-3.7528
2008-07-07,-1.422
2008-07-08,0.9772
2008-07-09,-0.5069
2008-07-10,-1.5285
2008-07-11,-5.7855
2008-07-14,-1.5976
2008-07-15,-4.0589
2008-07-16,2.5911999999999997
2008-07-17,1.5464
2008-07-18,-0.7614
2008-07-21,0.8696
2008-07-22,1.0649
2008-07-23,-1.2042
2008-07-24,-4.1646
2008-07-25,1.4838
2008-07-28,-2.7154
2008-07-29,1.986
2008-07-30,2.4211
2008-07-31,-1.0791
2008-08-01,0.2078
2008-08-04,1.6071
2008-08-05,3.7755
2008-08-06,-1.1799
2008-08-07,0.2488
2008-08-08,-0.397
2008-08-11,3.4878
2008-08-12,0.4815
2008-08-13,2.0125
2008-08-14,-0.5216
2008-08-15,-1.0963
2008-08-18,1.9277
2008-08-19,3.6407
2008-08-20,-0.0912
2008-08-21,0.0
2008-08-22,0.2283
2008-08-25,-0.82
2008-08-26,-0.735
2008-08-27,0.509
2008-08-28,1.7955999999999999
2008-08-29,3.7992
2008-09-02,-0.6536
2008-09-03,-4.0789
2008-09-04,-1.829
2008-09-05,-2.3288
2008-09-08,-0.2861
2008-09-09,-1.2434
2008-09-10,2.0823
2008-09-11,-0.0474
2008-09-12,-0.1898
