ticker,EKDKQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5472
2000-01-04,-1.5489000000000002
2000-01-05,-1.3766
2000-01-06,1.7946
2000-01-07,-2.1548
2000-01-10,1.1011
2000-01-11,-2.5743
2000-01-12,-2.9472
2000-01-13,1.7801
2000-01-14,-0.3086
2000-01-18,-1.1352
2000-01-19,1.8789
2000-01-20,-0.2049
2000-01-21,-0.2053
2000-01-24,2.1605
2000-01-25,-0.5035
2000-01-26,-0.7085
2000-01-27,0.5097
2000-01-28,0.2028
2000-01-31,0.2024
2000-02-01,-1.3131
2000-02-02,-0.2047
2000-02-03,3.5897
2000-02-04,0.198
2000-02-07,-1.9763
2000-02-08,-0.6048
2000-02-09,-0.6085
2000-02-10,-2.9592
2000-02-11,-1.4721
2000-02-14,-0.7471
2000-02-15,-0.5376
2000-02-16,2.4865
2000-02-17,1.5823
2000-02-18,0.6231
2000-02-22,-1.032
2000-02-23,1.5641
2000-02-24,-2.7721
2000-02-25,-2.0063
2000-02-28,-1.3966
2000-02-29,0.9912
2000-03-01,4.6892
2000-03-02,-0.2083
2000-03-03,-0.4175
2000-03-06,-2.935
2000-03-07,-3.9957000000000003
2000-03-08,1.5748
2000-03-09,-2.6578
2000-03-10,-1.7065000000000001
2000-03-13,0.463
2000-03-14,-0.4608
2000-03-15,2.0833
2000-03-16,5.4422
2000-03-17,-1.1828
2000-03-20,0.5441
2000-03-21,0.0
2000-03-22,-2.9221
2000-03-23,-0.1115
2000-03-24,1.6741000000000001
2000-03-27,-2.3052
2000-03-28,-0.8989
2000-03-29,-0.5669
2000-03-30,1.4823
2000-03-31,-2.3596
2000-04-03,6.214
2000-04-04,4.442
2000-04-05,-0.4149
2000-04-06,1.6667
2000-04-07,1.2295
2000-04-10,1.417
2000-04-11,-0.7984
2000-04-12,2.0121
2000-04-13,-1.3807
2000-04-14,-1.8
2000-04-17,0.7128
2000-04-18,-4.7523
2000-04-19,0.6369
2000-04-20,-1.3713
2000-04-24,-1.2833999999999999
2000-04-25,2.7086
2000-04-26,-2.5316
2000-04-27,-0.6494
2000-04-28,-2.5054
2000-05-01,0.2235
2000-05-02,-1.2263
2000-05-03,-1.693
2000-05-04,-0.3444
2000-05-05,0.576
2000-05-08,-1.8328
2000-05-09,0.0
2000-05-10,0.8168
2000-05-11,2.662
2000-05-12,1.4656
2000-05-15,1.7778
2000-05-16,-0.4367
2000-05-17,1.3158
2000-05-18,-0.7576
2000-05-19,-0.4362
