ticker,CME UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-09,-2.0513
2002-12-10,1.7372999999999998
2002-12-11,5.4035
2002-12-12,-2.5522
2002-12-13,-0.5921
2002-12-16,-1.26
2002-12-17,0.3944
2002-12-18,-1.3866
2002-12-19,-0.8671
2002-12-20,5.0827
2002-12-23,-2.3622
2002-12-24,-0.6452
2002-12-26,-1.2059
2002-12-27,-1.4085
2002-12-30,0.7619
2002-12-31,3.1664
2003-01-02,0.0916
2003-01-03,4.8055
2003-01-06,5.0218
2003-01-07,-0.1663
2003-01-08,-0.0208
2003-01-09,2.1662
2003-01-10,-0.1223
2003-01-13,1.286
2003-01-14,-1.048
2003-01-15,-4.1752
2003-01-16,-3.5494
2003-01-17,-0.7933
2003-01-21,-1.2661
2003-01-22,-0.6749
2003-01-23,2.8992
2003-01-24,3.4339
2003-01-27,-1.5748
2003-01-28,-0.5189
2003-01-29,1.065
2003-01-30,-4.9462
2003-01-31,-3.8462
2003-02-03,-0.3529
2003-02-04,-0.8264
2003-02-05,-0.619
2003-02-06,-0.575
2003-02-07,1.4699
2003-02-10,2.1135
2003-02-11,-0.2093
2003-02-12,0.0
2003-02-13,1.375
2003-02-14,2.2989
2003-02-18,0.0449
2003-02-19,0.5615
2003-02-20,0.5807
2003-02-21,0.7328
2003-02-24,0.3968
2003-02-25,0.3953
2003-02-26,-0.8311
2003-02-27,-4.4993
2003-02-28,-0.5774
2003-03-03,0.1858
2003-03-04,-0.7188
2003-03-05,-1.3312
2003-03-06,0.5444
2003-03-07,-0.0236
2003-03-10,0.0709
2003-03-11,-0.2125
2003-03-12,0.2602
2003-03-13,0.3303
2003-03-14,1.5992
2003-03-17,6.3657
2003-03-18,0.2176
2003-03-19,1.9544000000000001
2003-03-20,-2.9819
2003-03-21,3.4029
2003-03-24,1.9108
2003-03-25,0.8958
2003-03-26,0.1445
2003-03-27,0.8247
2003-03-28,-0.5112
2003-03-31,-1.0277
2003-04-01,-0.3738
2003-04-02,0.3961
2003-04-03,0.2492
2003-04-04,0.2486
2003-04-07,-3.5124
2003-04-08,-0.5139
2003-04-09,0.6242
2003-04-10,0.7914
2003-04-11,-0.7428
2003-04-14,1.5822
2003-04-15,-0.021
2003-04-16,0.2316
2003-04-17,3.0036
2003-04-21,-0.6525
2003-04-22,2.1962
2003-04-23,1.426
2003-04-24,2.1782
2003-04-25,1.6473
2003-04-28,5.6244
2003-04-29,0.4513
2003-04-30,1.5993
2003-05-01,-1.3442
