ticker,ROP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.9504
2000-01-04,-4.5694
2000-01-05,-1.2891
2000-01-06,0.0
2000-01-07,1.4925
2000-01-10,0.9191
2000-01-11,-1.275
2000-01-12,0.7601
2000-01-13,-0.9174
2000-01-14,-0.1852
2000-01-18,-0.7421
2000-01-19,0.0
2000-01-20,3.3645
2000-01-21,5.6058
2000-01-24,-0.8562
2000-01-25,-3.7997
2000-01-26,2.693
2000-01-27,-3.3217
2000-01-28,0.1808
2000-01-31,-3.0686
2000-02-01,-0.3724
2000-02-02,2.0561
2000-02-03,4.7619
2000-02-04,0.8741
2000-02-07,-0.5199
2000-02-08,-1.2195
2000-02-09,-5.8201
2000-02-10,-0.7491
2000-02-11,-5.6604
2000-02-14,6.0
2000-02-15,0.3774
2000-02-16,0.188
2000-02-17,-0.5629
2000-02-18,-6.6038
2000-02-22,0.0
2000-02-23,2.4242
2000-02-24,-2.9586
2000-02-25,-6.0976
2000-02-28,-4.9784
2000-02-29,-0.6834
2000-03-01,-2.2936
2000-03-02,16.4319
2000-03-03,9.879
2000-03-06,-5.1376
2000-03-07,-2.7079
2000-03-08,-2.1869
2000-03-09,-1.0163
2000-03-10,4.5175
2000-03-13,3.5362999999999998
2000-03-14,-3.6052999999999997
2000-03-15,1.3780000000000001
2000-03-16,8.7379
2000-03-17,-2.5
2000-03-20,-1.0989
2000-03-21,0.1852
2000-03-22,-1.1091
2000-03-23,0.9346
2000-03-24,0.1852
2000-03-27,-0.9242
2000-03-28,1.8657
2000-03-29,-2.9304
2000-03-30,0.1887
2000-03-31,2.2599
2000-04-03,-3.8674
2000-04-04,-4.023
2000-04-05,-1.3972
2000-04-06,-0.8097
2000-04-07,-1.4285999999999999
2000-04-10,-0.6211
2000-04-11,3.3333
2000-04-12,-3.0
2000-04-13,0.8333
2000-04-14,-0.8264
2000-04-17,1.875
2000-04-18,2.454
2000-04-19,0.5988
2000-04-20,1.1905000000000001
2000-04-24,-5.6863
2000-04-25,2.2869
2000-04-26,-0.813
2000-04-27,2.2541
2000-04-28,1.002
2000-05-01,6.1508
2000-05-02,-1.1215
2000-05-03,-0.189
2000-05-04,-0.1894
2000-05-05,1.518
2000-05-08,-1.4953
2000-05-09,-1.518
2000-05-10,1.1561
2000-05-11,3.6189999999999998
2000-05-12,-1.1029
2000-05-15,0.1859
2000-05-16,0.9276
2000-05-17,2.7574
2000-05-18,-1.9678
2000-05-19,0.365
2000-05-22,-4.3636
