ticker,1448062D UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-04,-2.3294
2007-12-05,0.8787
2007-12-06,2.9863
2007-12-07,-0.7652
2007-12-10,-1.2581
2007-12-11,-3.247
2007-12-12,1.9541
2007-12-13,-0.0417
2007-12-14,-1.2088
2007-12-17,-1.5612
2007-12-18,0.3429
2007-12-19,1.5377999999999998
2007-12-20,2.1035
2007-12-21,0.3708
2007-12-24,-0.6158
2007-12-26,-1.6935
2007-12-27,-1.2605
2007-12-28,-0.4255
2007-12-31,-1.1966
2008-01-02,-2.6384
2008-01-03,-0.3998
2008-01-04,-3.6574
2008-01-07,0.0
2008-01-08,1.0185
2008-01-09,0.0917
2008-01-10,0.5495
2008-01-11,-1.0474
2008-01-14,-2.0249
2008-01-15,-3.9455
2008-01-16,-1.467
2008-01-17,-2.5806
2008-01-18,0.2038
2008-01-22,3.152
2008-01-23,5.2242
2008-01-24,4.8244
2008-01-25,-1.7426
2008-01-28,3.5925000000000002
2008-01-29,0.3512
2008-01-30,-2.3185000000000002
2008-01-31,1.1196
2008-02-01,6.2002
2008-02-04,-2.6272
2008-02-05,-2.2698
2008-02-06,-0.0438
2008-02-07,0.3507
2008-02-08,1.0485
2008-02-11,0.6485
2008-02-12,2.5773
2008-02-13,3.9782
2008-02-14,1.5304
2008-02-15,1.1107
2008-02-19,-0.1569
2008-02-20,0.3929
2008-02-21,-2.1918
2008-02-22,3.5214
2008-02-25,1.121
2008-02-26,0.4969
2008-02-27,0.7607
2008-02-28,-1.6987999999999999
2008-02-29,-3.8018
2008-03-03,1.7166000000000001
2008-03-04,2.551
2008-03-05,-1.3012000000000001
2008-03-06,-1.9386999999999999
2008-03-07,-2.1352
2008-03-10,-3.1111
2008-03-11,3.8365
2008-03-12,0.4418
2008-03-13,0.9596
2008-03-14,-1.9802
2008-03-17,-1.2121
2008-03-18,3.1084
2008-03-19,-3.808
2008-03-20,1.2371
2008-03-24,3.055
2008-03-25,-0.8696
2008-03-26,0.638
2008-03-27,-1.5848
2008-03-28,-0.8052
2008-03-31,0.6088
2008-04-01,3.8725
2008-04-02,0.9709
2008-04-03,1.6154
2008-04-04,0.0757
2008-04-07,-0.0378
2008-04-08,-0.6432
2008-04-09,-0.9901
2008-04-10,0.8077
2008-04-11,-1.7932000000000001
2008-04-14,-0.777
2008-04-15,-0.7048
2008-04-16,1.4984
2008-04-17,-1.1267
2008-04-18,1.336
2008-04-21,3.0244
2008-04-22,-1.8818000000000001
2008-04-23,0.6904
