ticker,CITGQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-07-03,-0.2273
2002-07-05,0.5467
2002-07-08,1.4952
2002-07-09,2.1429
2002-07-10,-0.1311
2002-07-11,2.0569
2002-07-12,2.0583
2002-07-15,-2.9412000000000003
2002-07-16,0.1732
2002-07-17,-3.6301
2002-07-18,0.1345
2002-07-19,-2.3735
2002-07-22,-2.2936
2002-07-23,-14.0845
2002-07-24,6.2842
2002-07-25,-2.3136
2002-07-26,2.6316
2002-07-29,6.4103
2002-07-30,3.759
2002-07-31,4.3196
2002-08-01,-2.9386
2002-08-02,-4.5872
2002-08-05,-2.4038
2002-08-06,-0.2463
2002-08-07,3.9506
2002-08-08,5.7957
2002-08-09,1.0328
2002-08-12,-0.1333
2002-08-13,-5.2069
2002-08-14,4.2254
2002-08-15,-0.4505
2002-08-16,-2.9412000000000003
2002-08-19,2.5641
2002-08-20,1.3636
2002-08-21,0.2242
2002-08-22,1.7896999999999998
2002-08-23,0.0
2002-08-26,1.0989
2002-08-27,-3.2609
2002-08-28,0.8989
2002-08-29,-0.8909
2002-08-30,-2.2472
2002-09-03,-2.7586
2002-09-04,-0.7092
2002-09-05,0.7143
2002-09-06,2.8369
2002-09-09,-0.9195
2002-09-10,0.232
2002-09-11,1.1574
2002-09-12,-1.5103
2002-09-13,-3.9032999999999998
2002-09-16,1.3056
2002-09-17,-4.4869
2002-09-18,-8.7456
2002-09-19,-1.4239
2002-09-20,5.5556
2002-09-23,-3.7895
2002-09-24,0.0
2002-09-25,5.0328
2002-09-26,-0.2604
2002-09-27,-5.5352
2002-09-30,-0.6081
2002-10-01,3.0033
2002-10-02,-7.0194
2002-10-03,-7.2009
2002-10-04,-0.6884
2002-10-07,-12.0983
2002-10-08,4.6594999999999995
2002-10-09,0.0
2002-10-10,3.7671
2002-10-11,8.3168
2002-10-14,2.9859999999999998
2002-10-15,1.5976
2002-10-16,1.1066
2002-10-17,-1.4977
2002-10-18,6.4327
2002-10-21,0.6593
2002-10-22,-2.5655
2002-10-23,1.5126
2002-10-24,-1.766
2002-10-25,-1.1236
2002-10-28,-4.3182
2002-10-29,8.5511
2002-10-30,-1.5316999999999998
2002-10-31,-1.0556
2002-11-01,-1.1791
2002-11-04,7.8977
2002-11-05,1.3691
2002-11-06,-1.039
2002-11-07,-3.6745
2002-11-08,-1.2534
2002-11-11,0.7726
2002-11-12,0.6572
2002-11-13,-0.4353
2002-11-14,6.4356
2002-11-15,6.5116
2002-11-18,-3.3479
