ticker,GOOGL UQ Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-20,7.9484
2004-08-23,1.0802
2004-08-24,-4.0921
2004-08-25,0.9524
2004-08-26,1.8018999999999998
2004-08-27,-1.631
2004-08-30,-3.9001
2004-08-31,0.4313
2004-09-01,-2.1474
2004-09-02,1.2569
2004-09-03,-1.4777
2004-09-07,1.4799
2004-09-08,0.7981
2004-09-09,0.0098
2004-09-10,2.8443
2004-09-13,2.1669
2004-09-14,3.7116
2004-09-15,0.4574
2004-09-16,1.7589000000000001
2004-09-17,3.0885
2004-09-20,1.8895
2004-09-21,-1.5621
2004-09-22,0.4582
2004-09-23,2.0612
2004-09-24,-0.8194
2004-09-27,-1.3102
2004-09-28,7.2721
2004-09-29,3.4053
2004-09-30,-1.2045
2004-10-01,2.2994
2004-10-04,1.8706
2004-10-05,2.4508
2004-10-06,-0.9323
2004-10-07,1.2912
2004-10-08,-0.8066
2004-10-11,-1.728
2004-10-12,1.5441
2004-10-13,2.5829
2004-10-14,0.7164
2004-10-15,1.5563
2004-10-18,3.4325
2004-10-19,-0.8179
2004-10-20,-5.0358
2004-10-21,6.3279
2004-10-22,15.5442
2004-10-25,8.5747
2004-10-26,-2.8655
2004-10-27,2.1974
2004-10-28,3.908
2004-10-29,-1.3425
2004-11-01,2.9076
2004-11-02,-0.7032
2004-11-03,-1.6421000000000001
2004-11-04,-3.4017
2004-11-05,-8.5336
2004-11-08,2.0667
2004-11-09,-2.4009
2004-11-10,-0.4979
2004-11-11,9.0313
2004-11-12,-0.5573
2004-11-15,1.6209
2004-11-16,-6.7072
2004-11-17,0.0319
2004-11-18,-2.9316
2004-11-19,1.1102
2004-11-22,-2.4793
2004-11-23,1.4588
2004-11-24,4.2659
2004-11-26,2.7580999999999998
2004-11-29,0.8464
2004-11-30,1.0491
2004-12-01,-1.6339000000000001
2004-12-02,-0.1444
2004-12-03,0.4562
2004-12-06,-2.254
2004-12-07,-2.8839
2004-12-08,-0.8226
2004-12-09,2.0176
2004-12-10,-0.9687
2004-12-13,-0.7569
2004-12-14,4.9105
2004-12-15,0.5369
2004-12-16,-1.8411
2004-12-17,2.2837
2004-12-20,2.4986
2004-12-21,-0.681
2004-12-22,1.3878
2004-12-23,0.8588
2004-12-27,2.0862
2004-12-28,0.5474
2004-12-29,0.0156
2004-12-30,2.4365
2004-12-31,-2.2773
2005-01-03,4.9871
2005-01-04,-4.3062000000000005
2005-01-05,-0.2526
2005-01-06,-2.6304
2005-01-07,2.8925
