ticker,BCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8914999999999997
2000-01-04,-1.1043
2000-01-05,3.598
2000-01-06,2.1557
2000-01-07,2.5791
2000-01-10,-1.6
2000-01-11,-0.2323
2000-01-12,-1.7462
2000-01-13,1.0664
2000-01-14,-1.8757000000000001
2000-01-18,-4.779
2000-01-19,-1.2547
2000-01-20,-2.0076
2000-01-21,-0.9115
2000-01-24,-3.8108
2000-01-25,2.8689
2000-01-26,-6.5073
2000-01-27,2.2727
2000-01-28,1.3889
2000-01-31,-1.9178
2000-02-01,1.1173
2000-02-02,-0.2762
2000-02-03,1.9391
2000-02-04,-1.2227999999999999
2000-02-07,-2.2008
2000-02-08,-2.9536
2000-02-09,-0.4348
2000-02-10,-3.9301
2000-02-11,-2.1212
2000-02-14,2.322
2000-02-15,0.7564
2000-02-16,-2.5526
2000-02-17,0.9245
2000-02-18,-2.4427
2000-02-22,-1.5649
2000-02-23,-3.0207
2000-02-24,0.3279
2000-02-25,0.3268
2000-02-28,2.2801
2000-02-29,0.6369
2000-03-01,0.4747
2000-03-02,0.4724
2000-03-03,1.8809
2000-03-06,-5.2308
2000-03-07,-8.4416
2000-03-08,0.5319
2000-03-09,5.6437
2000-03-10,-1.6694
2000-03-13,-1.8676
2000-03-14,1.2111
2000-03-15,5.1282
2000-03-16,3.9024
2000-03-17,1.7214
2000-03-20,1.6923
2000-03-21,-0.6051
2000-03-22,-1.3699
2000-03-23,-0.1543
2000-03-24,-1.391
2000-03-27,-0.627
2000-03-28,-1.8927
2000-03-29,-2.4116
2000-03-30,-0.1647
2000-03-31,2.1452
2000-04-03,1.2924
2000-04-04,3.5088
2000-04-05,2.1572
2000-04-06,-1.2066
2000-04-07,-0.1527
2000-04-10,1.3761
2000-04-11,1.81
2000-04-12,1.4815
2000-04-13,0.5839
2000-04-14,-3.193
2000-04-17,-6.4468
2000-04-18,5.7692
2000-04-19,0.303
2000-04-20,-1.0574
2000-04-24,4.1221
2000-04-25,3.9589
2000-04-26,-2.6798
2000-04-27,1.3333
2000-04-28,0.1437
2000-05-01,-0.7174
2000-05-02,-1.8786
2000-05-03,-1.62
2000-05-04,2.0958
2000-05-05,0.8798
2000-05-08,-0.436
2000-05-09,1.7518
2000-05-10,3.4433
2000-05-11,1.6644
2000-05-12,-3.2742
2000-05-15,0.0
2000-05-16,-0.7052
2000-05-17,0.7102
2000-05-18,1.6925
2000-05-19,-2.0804
2000-05-22,1.983
2000-05-23,0.2778
