ticker,WCG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-01,14.8824
2004-07-02,4.7107
2004-07-06,-2.2005
2004-07-07,0.5
2004-07-08,0.7463
2004-07-09,0.0494
2004-07-12,1.4314
2004-07-13,-1.8491
2004-07-14,-3.4209
2004-07-15,0.616
2004-07-16,0.3571
2004-07-19,-1.6268
2004-07-20,-0.5168
2004-07-21,-0.2597
2004-07-22,2.6042
2004-07-23,0.5076
2004-07-26,-0.1515
2004-07-27,-1.3657
2004-07-28,-0.7692
2004-07-29,1.8088
2004-07-30,-0.4569
2004-08-02,-3.0597
2004-08-03,0.2104
2004-08-04,0.1575
2004-08-05,0.1048
2004-08-06,-0.4188
2004-08-09,-2.8391
2004-08-10,-3.0303
2004-08-11,-0.0558
2004-08-12,4.2434
2004-08-13,1.8747
2004-08-16,0.5783
2004-08-17,-2.7705
2004-08-18,3.0108
2004-08-19,-0.9395
2004-08-20,-0.8957
2004-08-23,-1.6481
2004-08-24,-2.4324
2004-08-25,0.8864
2004-08-26,-0.0549
2004-08-27,0.0
2004-08-30,0.0
2004-08-31,0.2747
2004-09-01,0.9315
2004-09-02,1.2486
2004-09-03,-0.2681
2004-09-07,1.0753
2004-09-08,1.0638
2004-09-09,0.6316
2004-09-10,3.8703
2004-09-13,2.5176
2004-09-14,2.0138
2004-09-15,0.1444
2004-09-16,-1.25
2004-09-17,-2.2882
2004-09-20,1.6442
2004-09-21,0.6863
2004-09-22,0.2921
2004-09-23,-3.7864
2004-09-24,-2.6236
2004-09-27,0.5181
2004-09-28,-2.0619
2004-09-29,1.9474
2004-09-30,-2.1683
2004-10-01,1.1609
2004-10-04,4.747
2004-10-05,-0.6474
2004-10-06,1.7544
2004-10-07,-1.1823
2004-10-08,-0.2991
2004-10-11,0.0
2004-10-12,-0.4
2004-10-13,1.9076
2004-10-14,-1.2315
2004-10-15,-0.2494
2004-10-18,1.1
2004-10-19,-1.1869
2004-10-20,3.6536999999999997
2004-10-21,0.2414
2004-10-22,0.7707
2004-10-25,0.3346
2004-10-26,3.6684
2004-10-27,0.3217
2004-10-28,3.2524
2004-10-29,1.5972
2004-11-01,-0.262
2004-11-02,-0.394
2004-11-03,3.2967
2004-11-04,1.2766
2004-11-05,11.9748
2004-11-08,2.2514
2004-11-09,1.1376
2004-11-10,-2.6488
2004-11-11,-0.6336
2004-11-12,-1.3878
2004-11-15,0.3423
2004-11-16,0.0758
2004-11-17,7.0076
2004-11-18,2.0531
2004-11-19,-0.4509
