ticker,HPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0359
2000-01-04,-4.2056000000000004
2000-01-05,5.3659
2000-01-06,2.7778
2000-01-07,-6.5315
2000-01-10,-1.2048
2000-01-11,-4.878
2000-01-12,-3.3333
2000-01-13,-0.2653
2000-01-14,-1.0638
2000-01-18,-3.2258
2000-01-19,-1.1111
2000-01-20,-4.2135
2000-01-21,-10.8504
2000-01-24,-3.9474
2000-01-25,-3.0822
2000-01-26,-0.3534
2000-01-27,1.4184
2000-01-28,-5.5944
2000-01-31,1.4815
2000-02-01,2.9196999999999997
2000-02-02,-5.6738
2000-02-03,8.6466
2000-02-04,2.4221
2000-02-07,-1.6892
2000-02-08,-1.3746
2000-02-09,-3.4843
2000-02-10,-1.8051
2000-02-11,1.1029
2000-02-14,0.7273
2000-02-15,5.4152000000000005
2000-02-16,-1.7123
2000-02-17,0.3484
2000-02-18,-4.1667
2000-02-22,3.9855
2000-02-23,-4.5296
2000-02-24,-5.1095
2000-02-25,0.3846
2000-02-28,0.3831
2000-02-29,0.7634
2000-03-01,-1.3939
2000-03-02,-4.6875
2000-03-03,4.0984
2000-03-06,-5.5118
2000-03-07,-5.0
2000-03-08,5.7018
2000-03-09,0.8299
2000-03-10,2.0576
2000-03-13,-0.8065
2000-03-14,-0.4065
2000-03-15,5.3061
2000-03-16,6.2016
2000-03-17,-1.8248
2000-03-20,1.487
2000-03-21,-1.4652
2000-03-22,-4.8327
2000-03-23,-1.5625
2000-03-24,-4.7619
2000-03-27,-0.4167
2000-03-28,-2.5105
2000-03-29,3.0043
2000-03-30,5.8333
2000-03-31,1.5748
2000-04-03,-5.0388
2000-04-04,-2.449
2000-04-05,0.0
2000-04-06,0.0
2000-04-07,0.4184
2000-04-10,-0.4167
2000-04-11,6.6946
2000-04-12,5.098
2000-04-13,-1.1194
2000-04-14,-4.9056999999999995
2000-04-17,-1.5873
2000-04-18,0.4032
2000-04-19,-2.008
2000-04-20,0.4098
2000-04-24,1.6327
2000-04-25,3.2129
2000-04-26,-1.5564
2000-04-27,1.1858
2000-04-28,-2.7344
2000-05-01,2.4096
2000-05-02,2.7451
2000-05-03,0.7634
2000-05-04,0.3788
2000-05-05,-0.3774
2000-05-08,0.3788
2000-05-09,0.0
2000-05-10,-2.2641999999999998
2000-05-11,4.2471
2000-05-12,1.1111
2000-05-15,0.7326
2000-05-16,0.0
2000-05-17,0.7273
2000-05-18,1.8051
2000-05-19,-1.4184
2000-05-22,-1.0791
