ticker,IQV UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-10,0.6649
2013-05-13,2.1939
2013-05-14,2.5623
2013-05-15,2.4083
2013-05-16,0.7692
2013-05-17,-0.7197
2013-05-20,-0.3076
2013-05-21,-0.7272
2013-05-22,-0.8879
2013-05-23,0.7839
2013-05-24,0.0667
2013-05-28,0.8883
2013-05-29,-2.1131
2013-05-30,-0.4947
2013-05-31,-0.4746
2013-06-03,1.2262
2013-06-04,-3.118
2013-06-05,-0.7872
2013-06-06,0.8868
2013-06-07,-0.6014
2013-06-10,1.5592000000000001
2013-06-11,0.7104
2013-06-12,-2.1615
2013-06-13,-0.2326
2013-06-14,0.4429
2013-06-17,1.0211
2013-06-18,0.827
2013-06-19,-0.2278
2013-06-20,-1.0276
2013-06-21,1.9612
2013-06-24,-1.9687999999999999
2013-06-25,-0.7387
2013-06-26,-2.2791
2013-06-27,0.7377
2013-06-28,0.5433
2013-07-01,0.9164
2013-07-02,0.2561
2013-07-03,1.3005
2013-07-05,-0.8712
2013-07-08,1.5957
2013-07-09,-0.5463
2013-07-10,-0.1831
2013-07-11,-0.7796
2013-07-12,0.5315
2013-07-15,0.3448
2013-07-16,0.2062
2013-07-17,0.2058
2013-07-18,0.4791
2013-07-19,0.0681
2013-07-22,1.1346
2013-07-23,-0.5609
2013-07-24,-1.8051
2013-07-25,-0.0919
2013-07-26,-0.483
2013-07-29,0.4622
2013-07-30,-0.184
2013-07-31,3.3648
2013-08-01,3.2107
2013-08-02,-2.3115
2013-08-05,0.2433
2013-08-06,1.3677000000000001
2013-08-07,-0.8923
2013-08-08,-0.3513
2013-08-09,0.5729
2013-08-12,-0.1315
2013-08-13,-0.4388
2013-08-14,-0.1763
2013-08-15,-1.2141
2013-08-16,-1.3184
2013-08-19,0.3623
2013-08-20,-0.0677
2013-08-21,-0.6548
2013-08-22,-0.7727
2013-08-23,-0.2978
2013-08-26,-0.2297
2013-08-27,-0.7138
2013-08-28,1.9944
2013-08-29,-0.1819
2013-08-30,-1.4579
2013-09-03,-0.3699
2013-09-04,0.3016
2013-09-05,-0.0925
2013-09-06,-0.8567
2013-09-09,0.7707
2013-09-10,1.4368
2013-09-11,-0.0914
2013-09-12,1.6922000000000001
2013-09-13,-0.2249
2013-09-16,0.1803
2013-09-17,0.7199
2013-09-18,0.7148
2013-09-19,-2.4173999999999998
2013-09-20,1.6364
2013-09-23,0.3131
2013-09-24,-0.2229
2013-09-25,-0.1564
2013-09-26,0.9174
