ticker,AMP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-16,-1.1078000000000001
2005-09-19,0.2732
2005-09-20,0.0
2005-09-21,-0.8174
2005-09-22,2.1978
2005-09-23,1.2903
2005-09-26,0.1858
2005-09-27,-1.3245
2005-09-28,-0.6711
2005-09-29,-1.0811
2005-09-30,-2.1858
2005-10-03,-3.0726
2005-10-04,-2.3055
2005-10-05,-0.7375
2005-10-06,-0.8321
2005-10-07,0.6892
2005-10-10,-1.6964000000000001
2005-10-11,-0.0908
2005-10-12,-0.697
2005-10-13,-0.6713
2005-10-14,-0.4916
2005-10-17,0.2779
2005-10-18,-0.1539
2005-10-19,2.251
2005-10-20,1.2666
2005-10-21,1.2507
2005-10-24,6.7353
2005-10-25,2.4525
2005-10-26,-0.4841
2005-10-27,-1.9459
2005-10-28,2.2602
2005-10-31,0.3235
2005-11-01,-1.7732
2005-11-02,0.9573
2005-11-03,1.6848
2005-11-04,-0.6681
2005-11-07,-0.4036
2005-11-08,-0.1621
2005-11-09,2.4892
2005-11-10,2.7455
2005-11-11,-0.0257
2005-11-14,1.1051
2005-11-15,-0.3305
2005-11-16,1.5812
2005-11-17,0.4268
2005-11-18,-0.2
2005-11-21,4.1583
2005-11-22,1.3709
2005-11-23,3.1317
2005-11-25,-0.046
2005-11-28,1.0357
2005-11-29,-3.0752
2005-11-30,-1.1751
2005-12-01,2.9964
2005-12-02,-0.1847
2005-12-05,0.6708
2005-12-06,0.2068
2005-12-07,-0.5733
2005-12-08,0.6688
2005-12-09,0.252
2005-12-12,-1.4397
2005-12-13,-0.6956
2005-12-14,-3.0353
2005-12-15,-0.8187
2005-12-16,2.5977
2005-12-19,-2.248
2005-12-20,0.6294
2005-12-21,-0.0481
2005-12-22,0.9146
2005-12-23,0.0
2005-12-27,-2.4565
2005-12-28,0.3667
2005-12-29,-0.5116
2005-12-30,0.3918
2006-01-03,2.6829
2006-01-04,3.1354
2006-01-05,1.1746
2006-01-06,-0.7512
2006-01-09,3.4173999999999998
2006-01-10,-0.9536
2006-01-11,-1.03
2006-01-12,-0.0905
2006-01-13,-0.6341
2006-01-17,-0.7976
2006-01-18,-2.7797
2006-01-19,0.6616
2006-01-20,-0.939
2006-01-23,3.0806
2006-01-24,-0.046
2006-01-25,-0.621
2006-01-26,0.2083
2006-01-27,-2.0785
2006-01-30,-2.0047
2006-01-31,-1.8051
2006-02-01,1.3763
2006-02-02,3.0545
2006-02-03,0.2117
2006-02-06,1.7136
2006-02-07,0.5077
