ticker,LEHMQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.6421
2000-01-04,-5.9289
2000-01-05,-5.8824
2000-01-06,4.1071
2000-01-07,-2.5728999999999997
2000-01-10,4.4894
2000-01-11,-1.6007
2000-01-12,-1.113
2000-01-13,0.1732
2000-01-14,4.7537
2000-01-18,1.4851
2000-01-19,-0.4878
2000-01-20,-2.8595
2000-01-21,-5.1304
2000-01-24,-0.9752
2000-01-25,1.0743
2000-01-26,2.5686
2000-01-27,1.7271
2000-01-28,-5.348
2000-01-31,2.6009
2000-02-01,-2.0979
2000-02-02,3.2143
2000-02-03,-2.5087
2000-02-04,-0.7986
2000-02-07,2.9516999999999998
2000-02-08,1.1295
2000-02-09,-2.9210000000000003
2000-02-10,-2.7434
2000-02-11,-1.6597
2000-02-14,-0.7414
2000-02-15,-0.747
2000-02-16,-1.4111
2000-02-17,0.1908
2000-02-18,-3.6189999999999998
2000-02-22,-1.7787
2000-02-23,2.8169
2000-02-24,4.4031
2000-02-25,0.4686
2000-02-28,1.2127
2000-02-29,6.9124
2000-03-01,10.431
2000-03-02,-1.8735
2000-03-03,4.3755
2000-03-06,2.2104
2000-03-07,-4.4743
2000-03-08,-2.5761
2000-03-09,1.9231
2000-03-10,3.3019
2000-03-13,-1.9787
2000-03-14,-1.2422
2000-03-15,2.2013
2000-03-16,8.538499999999999
2000-03-17,3.6853
2000-03-20,-3.9645
2000-03-21,2.2064
2000-03-22,3.4819
2000-03-23,9.5559
2000-03-24,3.5627
2000-03-27,-6.0498
2000-03-28,2.904
2000-03-29,-0.6135
2000-03-30,-1.2346
2000-03-31,-3.0
2000-04-03,2.7062
2000-04-04,-10.1004
2000-04-05,3.0705
2000-04-06,4.7393
2000-04-07,-4.2017
2000-04-10,5.5331
2000-04-11,-2.4297
2000-04-12,-4.0629
2000-04-13,1.5027
2000-04-14,-18.7079
2000-04-17,3.8079
2000-04-18,9.9681
2000-04-19,-3.6258
2000-04-20,1.1287
2000-04-24,0.8929
2000-04-25,3.6873
2000-04-26,-0.9246
2000-04-27,-2.3689999999999998
2000-04-28,-3.4559
2000-05-01,6.626
2000-05-02,-4.9286
2000-05-03,-2.6296
2000-05-04,0.0772
2000-05-05,1.2336
2000-05-08,3.5796
2000-05-09,-2.7206
2000-05-10,-5.6689
2000-05-11,3.6667
2000-05-12,3.096
2000-05-15,5.2553
2000-05-16,-2.9957000000000003
2000-05-17,0.5882
2000-05-18,0.2193
2000-05-19,-4.4493
