ticker,UIS UP Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9646
2000-01-04,-4.2084
2000-01-05,-2.9289
2000-01-06,0.6466
2000-01-07,-1.7130999999999998
2000-01-10,4.1394
2000-01-11,-0.4184
2000-01-12,1.6806999999999999
2000-01-13,-2.0661
2000-01-14,2.9536
2000-01-18,-3.2787
2000-01-19,1.9068
2000-01-20,11.0187
2000-01-21,1.4981
2000-01-24,3.5055
2000-01-25,-3.0303
2000-01-26,-4.4118
2000-01-27,0.5769
2000-01-28,-4.9713
2000-01-31,1.8109
2000-02-01,4.9407
2000-02-02,-0.9416
2000-02-03,0.3802
2000-02-04,-2.4621
2000-02-07,-0.1942
2000-02-08,4.2802
2000-02-09,-3.9179
2000-02-10,-2.3301
2000-02-11,-1.7893
2000-02-14,-0.2024
2000-02-15,-1.8256000000000001
2000-02-16,10.9504
2000-02-17,4.0968
2000-02-18,-6.2612
2000-02-22,0.1908
2000-02-23,-0.7619
2000-02-24,-4.2226
2000-02-25,-0.6012
2000-02-28,0.4032
2000-02-29,-4.0161
2000-03-01,0.6276
2000-03-02,-2.079
2000-03-03,-5.0955
2000-03-06,-4.0268
2000-03-07,1.3986
2000-03-08,-1.6092
2000-03-09,7.7103
2000-03-10,-6.5076
2000-03-13,2.3202
2000-03-14,-5.2154
2000-03-15,-1.9139
2000-03-16,3.9024
2000-03-17,-0.7042
2000-03-20,-5.4374
2000-03-21,4.75
2000-03-22,2.6253
2000-03-23,-0.9302
2000-03-24,-4.6948
2000-03-27,9.8522
2000-03-28,-0.2242
2000-03-29,-2.9213
2000-03-30,-3.2407
2000-03-31,-1.6745999999999999
2000-04-03,-1.7032
2000-04-04,-7.6733
2000-04-05,0.8043
2000-04-06,6.383
2000-04-07,0.75
2000-04-10,-2.7295
2000-04-11,-2.0408
2000-04-12,-1.5625
2000-04-13,-4.2328
2000-04-14,-11.6022
2000-04-17,8.75
2000-04-18,10.6322
2000-04-19,-1.8182
2000-04-20,-0.5291
2000-04-24,-5.0532
2000-04-25,6.7227
2000-04-26,-1.5748
2000-04-27,-0.5333
2000-04-28,-0.2681
2000-05-01,6.4516
2000-05-02,-5.8081
2000-05-03,-5.8981
2000-05-04,4.2735
2000-05-05,6.8306000000000004
2000-05-08,-0.5115
2000-05-09,-2.8278
2000-05-10,-5.5556
2000-05-11,5.3221
2000-05-12,2.6596
2000-05-15,-0.2591
2000-05-16,7.5325
2000-05-17,-3.8647
2000-05-18,-2.2613
2000-05-19,-0.7712
