ticker,A UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.4373000000000005
2000-01-04,-8.3843
2000-01-05,-4.7664
2000-01-06,-5.7057
2000-01-07,10.4034
2000-01-10,6.0577
2000-01-11,-1.3599
2000-01-12,-2.0221
2000-01-13,1.5009000000000001
2000-01-14,1.1091
2000-01-18,4.5704
2000-01-19,-1.2238
2000-01-20,-3.5398
2000-01-21,0.9174
2000-01-24,-0.3636
2000-01-25,-1.4599
2000-01-26,1.2037
2000-01-27,0.4575
2000-01-28,-0.8197
2000-01-31,-2.7548
2000-02-01,7.271
2000-02-02,4.6655
2000-02-03,4.6257
2000-02-04,-1.9293
2000-02-07,4.2623
2000-02-08,-1.3365
2000-02-09,-3.4263
2000-02-10,1.2376
2000-02-11,-1.7115
2000-02-14,1.4096
2000-02-15,6.7048
2000-02-16,-0.5364
2000-02-17,1.849
2000-02-18,14.3722
2000-02-22,-3.0423
2000-02-23,8.0491
2000-02-24,6.8182
2000-02-25,2.4823
2000-02-28,-7.9008
2000-02-29,3.8823
2000-03-01,5.3647
2000-03-02,-5.4348
2000-03-03,5.0212
2000-03-06,39.2281
2000-03-07,-5.6682
2000-03-08,1.8420999999999998
2000-03-09,5.4264
2000-03-10,-6.8627
2000-03-13,-7.6316
2000-03-14,-7.7873
2000-03-15,-6.0762
2000-03-16,4.6601
2000-03-17,0.8905
2000-03-20,-5.5036000000000005
2000-03-21,-0.3297
2000-03-22,5.3473
2000-03-23,0.471
2000-03-24,-2.6563
2000-03-27,-1.8727
2000-03-28,3.9257999999999997
2000-03-29,-5.9811
2000-03-30,-6.0826
2000-03-31,-1.1289
2000-04-03,-6.0096
2000-04-04,-4.3478
2000-04-05,3.6765
2000-04-06,8.1238
2000-04-07,17.412
2000-04-10,-13.2047
2000-04-11,-5.5003
2000-04-12,-15.5418
2000-04-13,5.5718
2000-04-14,-8.1944
2000-04-17,-5.5976
2000-04-18,11.0577
2000-04-19,0.7215
2000-04-20,3.0802
2000-04-24,2.1543
2000-04-25,2.585
2000-04-26,-2.5199
2000-04-27,-0.9524
2000-04-28,-2.6099
2000-05-01,7.1227
2000-05-02,4.8716
2000-05-03,-8.0979
2000-05-04,-1.3660999999999999
2000-05-05,1.3158
2000-05-08,-7.0403
2000-05-09,-5.6618
2000-05-10,-4.1309
2000-05-11,-0.4065
2000-05-12,17.3878
2000-05-15,-1.8776000000000002
2000-05-16,8.3629
2000-05-17,-18.9012
2000-05-18,-4.5968
2000-05-19,-9.9746
