ticker,HPQ UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.0719
2000-01-04,-7.5572
2000-01-05,-0.6333
2000-01-06,-2.7231
2000-01-07,-0.536
2000-01-10,6.3473
2000-01-11,-2.3649
2000-01-12,3.6909
2000-01-13,0.3337
2000-01-14,-0.2217
2000-01-18,0.7222
2000-01-19,2.3166
2000-01-20,0.1617
2000-01-21,-2.3143000000000002
2000-01-24,0.4959
2000-01-25,-0.932
2000-01-26,-3.7077999999999998
2000-01-27,-0.2299
2000-01-28,0.4032
2000-01-31,-0.6311
2000-02-01,-2.2517
2000-02-02,4.4891
2000-02-03,2.7134
2000-02-04,3.9074999999999998
2000-02-07,8.8983
2000-02-08,-3.356
2000-02-09,0.6543
2000-02-10,0.7
2000-02-11,-3.6743
2000-02-14,2.4742
2000-02-15,0.7042
2000-02-16,3.1469
2000-02-17,-1.4527999999999999
2000-02-18,1.6216
2000-02-22,-0.3868
2000-02-23,1.1165
2000-02-24,-0.5281
2000-02-25,-3.7645
2000-02-28,3.3601
2000-02-29,4.4153
2000-03-01,-0.6506
2000-03-02,0.1403
2000-03-03,3.4563
2000-03-06,5.1467
2000-03-07,-1.5028000000000001
2000-03-08,-1.7437
2000-03-09,7.8083
2000-03-10,-3.3745
2000-03-13,-0.1704
2000-03-14,-4.6075
2000-03-15,-6.3506
2000-03-16,1.4327
2000-03-17,3.9548
2000-03-20,4.4638
2000-03-21,-1.4757
2000-03-22,3.0396
2000-03-23,0.7268
2000-03-24,-3.3106999999999998
2000-03-27,2.7656
2000-03-28,-3.7591
2000-03-29,-4.9268
2000-03-30,-2.0542
2000-03-31,1.0963
2000-04-03,0.2829
2000-04-04,3.6671
2000-04-05,3.5374
2000-04-06,3.7232
2000-04-07,3.4206
2000-04-10,-3.7975
2000-04-11,-0.9762
2000-04-12,-8.2726
2000-04-13,-1.4019
2000-04-14,-6.7299
2000-04-17,8.7398
2000-04-18,3.972
2000-04-19,-2.2022
2000-04-20,2.8952
2000-04-24,-5.4489
2000-04-25,5.2905
2000-04-26,0.8973
2000-04-27,-1.823
2000-04-28,-2.1739
2000-05-01,2.963
2000-05-02,-0.5845
2000-05-03,-4.1158
2000-05-04,-0.3302
2000-05-05,3.2182
2000-05-08,-0.4585
2000-05-09,-2.1188
2000-05-10,-4.9412
2000-05-11,3.6634
2000-05-12,0.5253
2000-05-15,-1.6627
2000-05-16,8.2126
2000-05-17,-7.0982
2000-05-18,1.2494
2000-05-19,-4.1291
