ticker,field,value
0111145D UN Equity,INDUSTRY_SECTOR,Utilities
0111145D UN Equity,INDUSTRY_GROUP,Gas
0202445Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
0202445Q UN Equity,INDUSTRY_GROUP,Biotechnology
0203524D UN Equity,INDUSTRY_SECTOR,Technology
0203524D UN Equity,INDUSTRY_GROUP,Semiconductors
0226226D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical"
0226226D UN Equity,INDUSTRY_GROUP,Home Builders
0544749D UN Equity,INDUSTRY_SECTOR,Energy
0544749D UN Equity,INDUSTRY_GROUP,Oil&Gas
0574018D UN Equity,INDUSTRY_SECTOR,Financial
0574018D UN Equity,INDUSTRY_GROUP,REITS
0772031D UN Equity,INDUSTRY_SECTOR,Communications
0772031D UN Equity,INDUSTRY_GROUP,Telecommunications
0848680D UN Equity,INDUSTRY_SECTOR,Communications
0848680D UN Equity,INDUSTRY_GROUP,Telecommunications
0867887D UN Equity,INDUSTRY_SECTOR,Communications
0867887D UN Equity,INDUSTRY_GROUP,Telecommunications
0867887D US Equity,INDUSTRY_SECTOR,Communications
0867887D US Equity,INDUSTRY_GROUP,Telecommunications
0910150D US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical"
0910150D US Equity,INDUSTRY_GROUP,Lodging
0948669D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical"
0948669D UN Equity,INDUSTRY_GROUP,Housewares
0961514D UN Equity,INDUSTRY_SECTOR,Utilities
0961514D UN Equity,INDUSTRY_GROUP,Electric
0964591D UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
0964591D UQ Equity,INDUSTRY_GROUP,Healthcare-Products
0964591D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
0964591D UW Equity,INDUSTRY_GROUP,Healthcare-Products
1028411Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
1028411Q UN Equity,INDUSTRY_GROUP,Cosmetics/Personal Care
1086832D UN Equity,INDUSTRY_SECTOR,Energy
1086832D UN Equity,INDUSTRY_GROUP,Oil&Gas
1255173D UN Equity,INDUSTRY_SECTOR,Financial
1255173D UN Equity,INDUSTRY_GROUP,Banks
1255459D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
1255459D UW Equity,INDUSTRY_GROUP,Healthcare-Products
1280712D UQ Equity,INDUSTRY_SECTOR,Technology
1280712D UQ Equity,INDUSTRY_GROUP,Semiconductors
1280712D UW Equity,INDUSTRY_SECTOR,Technology
1280712D UW Equity,INDUSTRY_GROUP,Semiconductors
1281683D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
1281683D UN Equity,INDUSTRY_GROUP,Cosmetics/Personal Care
1284849D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
1284849D UN Equity,INDUSTRY_GROUP,Pharmaceuticals
1288453D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical"
1288453D UW Equity,INDUSTRY_GROUP,Beverages
1288652D US Equity,INDUSTRY_SECTOR,Financial
