feature,mean_r2
DOW_JONES_25,0.0015701959104768015
act_2,0.0012221864681208228
DOW_JONES_26,0.0011022270064156236
DOW_JONES_19,0.0003414925162390059
BUY_AND_HOLD_14,0.00019949842702156052
BUY_AND_HOLD_11,0.0001805152361188833
act_4,0.00011567990145331387
BUY_AND_HOLD_9,-7.823781963987032e-05
BUY_AND_HOLD_19,-0.00017580080938019992
DOW_JONES_5,-0.0002004194229082268
act_22,-0.00024413939130880636
BUY_AND_HOLD_12,-0.00026030154339768964
act_10,-0.00027265048399593983
act_1,-0.00030906634877199136
DOW_JONES_22,-0.00032322912015894103
act_20,-0.00036408084712102884
BUY_AND_HOLD_10,-0.00038564088278731924
BUY_AND_HOLD_2,-0.000443266351215299
BUY_AND_HOLD_3,-0.0005120343214632727
BUY_AND_HOLD_16,-0.0005424401119323852
BUY_AND_HOLD_27,-0.0005645866313545023
act_11,-0.0005684035707318013
BUY_AND_HOLD_5,-0.0005732093332840637
DOW_JONES_6,-0.0005970742252853877
act_8,-0.0006003279771254588
BUY_AND_HOLD_8,-0.0006254100711676758
DOW_JONES_9,-0.0006375197583310621
act_12,-0.0006537445764392968
BUY_AND_HOLD_13,-0.0007264283810621385
act_9,-0.0007373277876936424
BUY_AND_HOLD_7,-0.000785464766795263
BUY_AND_HOLD_21,-0.0007914910355801164
BUY_AND_HOLD_26,-0.0007999817449014124
BUY_AND_HOLD_4,-0.0008030206428369935
act_19,-0.0008036193963946614
act_27,-0.0008329221867563908
DOW_JONES_18,-0.0008571970858664679
act_18,-0.0008698398949900099
DOW_JONES_14,-0.0008707740702926792
act_30,-0.0008760841433775646
BUY_AND_HOLD_25,-0.0008872968257067626
BUY_AND_HOLD_23,-0.000894073464327172
DOW_JONES_4,-0.0008954908389634753
act_15,-0.0009118810152504375
DOW_JONES_3,-0.000923466752414015
BUY_AND_HOLD_28,-0.0009386486071960798
BUY_AND_HOLD_6,-0.0009525631173654903
DOW_JONES_11,-0.0009619914120060358
BUY_AND_HOLD_17,-0.0010064043935839706
act_3,-0.0010617493487093288
BUY_AND_HOLD_22,-0.001103655514234103
act_5,-0.0011052028059277408
BUY_AND_HOLD_30,-0.0011318817373188405
act_6,-0.0011346992627102148
act_7,-0.001139593252250415
act_23,-0.0011428987184675776
DOW_JONES_8,-0.0011456352782574619
act_29,-0.001157305272174658
BUY_AND_HOLD_24,-0.0011623323316806821
BUY_AND_HOLD_20,-0.0011633178200440852
act_28,-0.0011737327338440019
DOW_JONES_1,-0.0012102800738117425
act_14,-0.0012200340499241458
DOW_JONES_16,-0.0012285082250526047
BUY_AND_HOLD_29,-0.001265662354865227
act_21,-0.0013277108911644575
BUY_AND_HOLD_18,-0.0013414481393317467
act_13,-0.0013870035350302067
DOW_JONES_30,-0.0015201497021172239
BUY_AND_HOLD_15,-0.0015924601255055792
act_25,-0.0016741661294915166
DOW_JONES_12,-0.0017740452397002615
DOW_JONES_13,-0.00197036148189913
DOW_JONES_2,-0.0019777357321527854
act_26,-0.001978055808550905
DOW_JONES_20,-0.0019933695256794557
act_17,-0.0020277756932007398
act_24,-0.002131995326115854
BUY_AND_HOLD_1,-0.0021708312202467495
DOW_JONES_27,-0.0026239064621402576
DOW_JONES_28,-0.002711028287143713
DOW_JONES_21,-0.0029180527655445097
DOW_JONES_7,-0.0031227126226229807
DOW_JONES_23,-0.0031267126164627344
act_16,-0.0032917575988397505
DOW_JONES_15,-0.0033297614085730175
DOW_JONES_10,-0.003836564068439374
DOW_JONES_17,-0.004575618123490455
DOW_JONES_29,-0.004595288872600278
DOW_JONES_24,-0.0063223040224821055
